,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DQKJ,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c0:e2:d9,74:da:da:c0:d7:19,0c:73:eb:d0:7f:18,74:da:da:c0:d7:b9,0c:73:eb:d0:7c:08,74:da:da:c0:f3:01,0c:73:eb:d0:11:e0,0c:73:eb:d0:7f:10,74:da:da:c0:f4:69,74:da:da:98:85:00,74:da:da:c1:56:a1,0c:73:eb:d0:7a:68,74:da:da:c1:48:bd,74:da:da:c0:d7:0d,0c:73:eb:d0:13:a8,74:da:da:c1:3a:dd,0c:73:eb:d0:7c:38,0c:73:eb:d0:13:d0,74:da:da:98:92:14,0c:73:eb:d0:7f:08,0c:73:eb:d0:7c:00,74:da:da:98:85:60,74:da:da:c1:6b:4d,74:da:da:c1:3a:81,74:da:da:c1:3c:cd,74:da:da:c0:d7:1a,0c:73:eb:d0:7e:f8,0c:73:eb:d0:11:e8,74:da:da:c0:d7:ba,ec:26:ca:0b:d4:1e,0c:73:eb:d0:11:f8,74:da:da:c0:f3:02,c0:61:18:93:35:28,74:da:da:c1:48:be,0c:73:eb:d0:19:b8,0c:73:eb:d0:7e:e8,74:da:da:c1:3b:c9,74:da:da:98:91:d5,74:da:da:c1:56:a2,0c:73:eb:d0:76:30,74:da:da:c1:3a:82,74:da:da:c1:3c:99,0c:73:eb:d0:7c:40,0c:73:eb:d0:7e:e0,74:da:da:c1:3a:8d,74:da:da:c1:3c:f6,74:da:da:98:85:01,74:da:da:c1:3b:69,0c:73:eb:d0:7c:30,74:da:da:c0:f4:6a,74:da:da:c0:d7:0e,74:da:da:c1:6b:4e,74:da:da:98:85:61,74:da:da:c1:56:ee,74:da:da:c1:3a:de,74:da:da:98:92:15,74:da:da:98:8f:34,0c:73:eb:d0:11:f0,74:da:da:98:91:d4,0c:73:eb:d0:13:d8,c0:61:18:93:3e:54,74:da:da:c1:56:ed,74:da:da:c1:3a:8e,0c:73:eb:d0:76:38,74:da:da:c1:3c:51,0c:73:eb:d0:7c:28,0c:73:eb:d0:76:48,0c:73:eb:d0:7c:18,74:da:da:c0:f6:15,74:da:da:c1:3c:f5
1526449303759,-27,-30,-31,-38,-41,-42,-42,-42,-46,-46,-47,-48,-48,-50,-50,-51,-52,-52,-52,-54,-54,-57,-58,-58,-59,-60,-60,-62,-63,-63,-64,-65,-65,-66,-66,-69,-69,-70,-71,-71,-72,-72,-74,-74,-75,-77,-77,-78,-78,-81,-82,-83,-86,-88,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449306790,-32,-35,-35,-42,-53,-38,-39,-38,-46,-51,-51,-56,-42,-54,-41,-56,-51,-48,-52,-54,-52,-57,-65,-57,-59,-60,-55,-64,-66,-67,-200,-59,-72,-68,-68,-65,-69,-70,-67,-71,-73,-72,-74,-74,-75,-84,-78,-78,-78,-86,-83,-80,-86,-88,-89,-91,-91,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449309814,-32,-35,-33,-42,-53,-40,-35,-41,-43,-52,-50,-54,-42,-54,-42,-57,-56,-46,-49,-55,-52,-57,-66,-57,-59,-60,-55,-64,-67,-68,-59,-59,-72,-64,-64,-62,-69,-66,-67,-200,-74,-72,-200,-74,-75,-80,-82,-200,-78,-86,-85,-80,-86,-88,-89,-200,-91,-80,-43,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449312848,-36,-35,-38,-41,-53,-38,-35,-37,-43,-52,-50,-54,-42,-54,-45,-57,-56,-42,-49,-55,-52,-57,-66,-57,-59,-60,-55,-64,-63,-68,-66,-63,-72,-60,-64,-62,-69,-66,-67,-200,-72,-72,-200,-74,-75,-82,-82,-200,-78,-86,-81,-82,-87,-88,-89,-200,-91,-80,-43,-77,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449315883,-36,-40,-40,-39,-52,-41,-42,-38,-50,-54,-50,-57,-50,-57,-45,-61,-56,-42,-47,-55,-54,-57,-66,-57,-59,-61,-51,-64,-63,-64,-66,-61,-72,-62,-68,-60,-69,-64,-70,-200,-68,-72,-200,-74,-75,-82,-83,-200,-78,-83,-85,-78,-87,-88,-88,-200,-91,-72,-43,-77,-72,-61,-200,-200,-200,-200,-200,-200,-200,-200
1526449318911,-46,-36,-33,-39,-54,-41,-38,-38,-52,-54,-50,-52,-42,-55,-49,-57,-50,-42,-47,-52,-48,-57,-66,-57,-58,-62,-57,-49,-64,-64,-66,-65,-72,-66,-68,-60,-65,-66,-71,-200,-68,-72,-200,-74,-75,-82,-83,-200,-78,-87,-83,-78,-86,-88,-85,-200,-91,-72,-43,-77,-72,-61,-87,-200,-200,-200,-200,-200,-200,-200
1526449321932,-34,-36,-35,-41,-54,-41,-38,-38,-47,-54,-50,-51,-42,-55,-49,-57,-50,-42,-47,-55,-48,-200,-66,-57,-62,-64,-57,-49,-62,-64,-66,-61,-68,-64,-68,-62,-65,-67,-67,-69,-70,-72,-200,-200,-200,-84,-80,-200,-200,-87,-83,-82,-87,-200,-85,-200,-200,-72,-43,-77,-75,-61,-91,-200,-200,-200,-200,-200,-200,-200
1526449324965,-34,-37,-35,-42,-51,-41,-36,-38,-46,-54,-50,-51,-42,-63,-47,-57,-46,-42,-47,-55,-58,-200,-66,-58,-62,-65,-57,-56,-66,-64,-66,-60,-68,-64,-68,-62,-72,-67,-69,-69,-70,-72,-200,-200,-200,-85,-79,-200,-200,-83,-83,-83,-88,-200,-85,-200,-200,-68,-43,-77,-75,-60,-91,-71,-72,-200,-200,-200,-200,-200
1526449327979,-34,-37,-39,-42,-53,-48,-38,-38,-45,-54,-53,-51,-42,-63,-47,-59,-43,-42,-47,-55,-58,-200,-66,-58,-62,-65,-54,-56,-66,-64,-66,-60,-68,-62,-65,-60,-72,-67,-69,-69,-67,-72,-200,-200,-200,-83,-80,-200,-200,-81,-89,-85,-88,-200,-88,-91,-200,-68,-43,-77,-75,-60,-91,-71,-72,-70,-200,-200,-200,-200
