,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:e8,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:f0,74:da:da:c1:3a:81,0c:73:eb:d0:13:d0,74:da:da:c1:4b:59,74:da:da:c0:e2:d9,74:da:da:c1:4b:05,0c:73:eb:d0:7f:18,74:da:da:c0:f4:69,0c:73:eb:d0:11:f8,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:10,74:da:da:c0:f3:01,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:08,74:da:da:c0:d7:19,74:da:da:c1:4b:01,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f6,0c:73:eb:d0:7a:68,0c:73:eb:d0:7c:40,0c:73:eb:d0:7e:f8,74:da:da:c1:3c:de,74:da:da:98:85:60,74:da:da:c1:4a:f5,0c:73:eb:d0:13:a8,0c:73:eb:d0:11:e0,0c:73:eb:d0:11:d8,0c:73:eb:d0:7c:28,0c:73:eb:d0:7e:e0,0c:73:eb:d0:7f:08,74:da:da:c1:4b:02,0c:73:eb:d0:13:d8,74:da:da:c1:3a:82,74:da:da:c0:f3:02,74:da:da:c0:f4:6a,74:da:da:c1:4a:f6,74:da:da:c1:3c:9a,74:da:da:c1:3b:4a,74:da:da:c1:4b:06,74:da:da:c1:4b:5a,74:da:da:c1:48:be,74:da:da:c0:d7:1a,74:da:da:c0:d7:ba,74:da:da:c1:3c:fa,74:da:da:c1:6b:4e,74:da:da:c1:3a:8e,0c:73:eb:d0:7c:38,74:da:da:98:91:d5,74:da:da:98:91:d4,ec:26:ca:0b:d4:1e,74:da:da:c1:3c:99,74:da:da:c0:d7:b9,0c:73:eb:d0:7f:10,74:da:da:c1:56:ed,74:da:da:c1:48:bd,74:da:da:c1:03:2d,74:da:da:c0:d7:0e,74:da:da:98:92:14,74:da:da:98:7a:68,74:da:da:c1:02:8d,74:da:da:c0:e0:71
1526453921362,-32,-35,-36,-42,-47,-47,-48,-49,-50,-50,-52,-52,-53,-53,-54,-54,-54,-55,-56,-56,-57,-57,-63,-63,-64,-67,-67,-67,-67,-67,-71,-72,-72,-72,-74,-75,-76,-77,-79,-79,-81,-83,-85,-86,-87,-87,-87,-88,-91,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453924400,-29,-38,-32,-42,-47,-47,-40,-49,-35,-63,-47,-52,-53,-53,-54,-52,-54,-55,-51,-58,-57,-57,-59,-200,-59,-84,-68,-67,-66,-67,-71,-72,-72,-71,-77,-75,-72,-82,-69,-82,-84,-83,-85,-86,-80,-82,-81,-88,-91,-94,-62,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453927410,-29,-38,-32,-42,-47,-200,-40,-49,-35,-63,-47,-52,-53,-53,-54,-52,-54,-55,-51,-58,-57,-57,-59,-200,-59,-84,-68,-67,-66,-67,-71,-72,-72,-71,-77,-75,-72,-82,-69,-82,-84,-83,-85,-200,-80,-82,-81,-88,-200,-94,-62,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453930436,-31,-38,-28,-53,-47,-46,-41,-49,-50,-63,-46,-53,-53,-53,-54,-52,-57,-62,-50,-60,-59,-57,-61,-200,-59,-87,-71,-67,-66,-67,-71,-72,-72,-70,-77,-75,-73,-74,-69,-83,-84,-83,-85,-200,-72,-80,-82,-86,-200,-94,-62,-85,-59,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453933460,-31,-38,-28,-53,-47,-46,-41,-49,-50,-63,-46,-53,-53,-53,-54,-52,-57,-62,-50,-60,-59,-57,-61,-200,-59,-87,-71,-67,-66,-67,-71,-72,-72,-70,-77,-75,-73,-74,-69,-83,-84,-83,-85,-200,-72,-80,-82,-86,-200,-94,-62,-85,-59,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453936499,-25,-35,-28,-53,-47,-46,-40,-49,-41,-63,-46,-50,-53,-53,-54,-46,-57,-59,-54,-60,-59,-59,-62,-200,-60,-87,-71,-67,-66,-67,-71,-200,-72,-66,-74,-75,-76,-75,-69,-83,-84,-200,-85,-200,-73,-75,-83,-86,-200,-94,-62,-85,-59,-72,-56,-57,-63,-72,-200,-200,-200,-200,-200,-200,-200
1526453939514,-25,-35,-28,-53,-47,-46,-40,-49,-41,-63,-46,-50,-53,-53,-54,-46,-57,-59,-54,-60,-59,-59,-62,-200,-60,-87,-71,-67,-66,-67,-71,-200,-72,-66,-74,-75,-76,-75,-69,-83,-84,-200,-85,-200,-73,-75,-83,-86,-200,-94,-62,-85,-59,-72,-56,-57,-63,-72,-200,-200,-200,-200,-200,-200,-200
1526453942550,-26,-35,-36,-53,-45,-42,-46,-49,-41,-63,-46,-50,-44,-53,-54,-46,-57,-59,-57,-58,-59,-58,-62,-57,-60,-87,-71,-200,-63,-66,-200,-200,-72,-66,-78,-200,-76,-78,-68,-83,-84,-200,-85,-200,-72,-79,-86,-86,-200,-94,-61,-85,-59,-72,-56,-56,-63,-72,-50,-71,-90,-200,-200,-200,-200
1526453945577,-26,-35,-36,-53,-45,-42,-46,-49,-41,-63,-46,-50,-44,-53,-54,-46,-57,-59,-57,-58,-59,-58,-62,-57,-60,-87,-71,-200,-63,-66,-200,-200,-72,-66,-78,-200,-76,-78,-68,-83,-84,-200,-85,-200,-72,-79,-86,-86,-200,-94,-61,-85,-59,-72,-56,-56,-63,-72,-50,-71,-90,-200,-200,-200,-200
