,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,NETWORK,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:98:74:94,74:da:da:c1:4a:f5,74:da:da:c1:4b:01,74:da:da:c1:4a:ed,0c:73:eb:d0:7c:48,74:da:da:98:8d:78,0c:73:eb:d0:7c:30,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:18,74:da:da:c1:3c:dd,74:da:da:98:74:95,74:da:da:c1:4b:05,0c:73:eb:d0:11:b0,74:da:da:98:8d:79,74:da:da:c1:4a:f6,bc:d1:77:5f:6a:b4,74:da:da:c1:4b:02,74:da:da:98:7a:6c,74:da:da:c1:4b:59,74:da:da:98:7a:50,74:da:da:98:7a:60,74:da:da:c1:3c:91,74:da:da:98:7a:4c,0c:73:eb:d0:7c:10,74:da:da:c1:4a:ee,74:da:da:c1:3c:de,74:da:da:c1:4b:06,0c:73:eb:d0:76:20,74:da:da:c1:3c:d1,74:da:da:c1:3c:fa,74:da:da:c0:e0:81,74:da:da:98:7a:68,74:da:da:c1:3c:99,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:b8,0c:73:eb:d0:11:e8,0c:73:eb:d0:19:b0,0c:73:eb:d0:13:c0,74:da:da:c1:3a:81,74:da:da:c1:3c:f5,74:da:da:c1:3b:e9
1526455786225,-32,-41,-42,-44,-50,-55,-56,-56,-57,-57,-59,-59,-59,-62,-63,-66,-68,-68,-69,-71,-71,-72,-74,-74,-75,-82,-82,-89,-89,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455789249,-32,-53,-47,-38,-36,-46,-50,-56,-57,-57,-55,-63,-59,-67,-71,-70,-75,-69,-74,-63,-79,-69,-74,-74,-76,-82,-83,-89,-89,-91,-74,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455792260,-32,-53,-47,-38,-36,-46,-52,-56,-57,-57,-55,-63,-59,-67,-71,-70,-75,-69,-74,-63,-79,-69,-74,-200,-76,-82,-83,-200,-200,-91,-74,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455795276,-32,-57,-47,-37,-32,-46,-53,-52,-65,-57,-62,-64,-57,-68,-70,-75,-70,-69,-74,-63,-79,-69,-74,-78,-77,-88,-83,-200,-200,-83,-74,-80,-61,-66,-80,-200,-200,-200,-200,-200,-200,-200
1526455798289,-32,-57,-47,-37,-32,-46,-51,-52,-65,-57,-62,-64,-57,-68,-70,-75,-70,-69,-74,-63,-79,-69,-74,-78,-77,-88,-83,-200,-200,-83,-74,-80,-61,-66,-80,-200,-200,-200,-200,-200,-200,-200
1526455801297,-35,-49,-49,-46,-35,-45,-49,-60,-68,-57,-54,-61,-61,-69,-70,-67,-71,-69,-74,-61,-72,-69,-74,-78,-72,-89,-84,-200,-200,-88,-68,-80,-61,-66,-80,-67,-75,-83,-200,-200,-200,-200
1526455804317,-35,-49,-49,-46,-35,-45,-53,-60,-68,-57,-54,-61,-61,-69,-70,-67,-71,-69,-74,-61,-72,-69,-74,-78,-72,-89,-84,-200,-200,-88,-68,-80,-61,-66,-80,-67,-75,-83,-200,-200,-200,-200
1526455807339,-36,-49,-49,-40,-13,-45,-52,-60,-68,-200,-60,-61,-56,-69,-69,-70,-71,-69,-76,-61,-72,-69,-74,-78,-75,-89,-80,-200,-200,-88,-68,-80,-61,-66,-80,-67,-75,-83,-200,-200,-200,-200
1526455810362,-36,-49,-49,-40,-13,-45,-51,-60,-68,-200,-60,-61,-56,-69,-69,-70,-71,-69,-76,-61,-72,-69,-74,-78,-75,-89,-80,-200,-200,-88,-68,-80,-61,-66,-80,-67,-75,-83,-200,-200,-200,-200
1526455813378,-37,-48,-46,-42,-29,-47,-52,-60,-68,-200,-57,-61,-55,-69,-70,-69,-71,-70,-80,-67,-72,-70,-74,-78,-72,-90,-85,-200,-200,-87,-68,-80,-61,-66,-80,-71,-76,-83,-75,-200,-200,-200
1526455816387,-37,-48,-46,-42,-29,-47,-54,-60,-68,-200,-57,-61,-55,-69,-70,-69,-71,-70,-80,-67,-72,-70,-74,-78,-72,-90,-85,-200,-200,-87,-68,-80,-61,-66,-80,-71,-76,-83,-75,-200,-200,-200
1526455819404,-37,-47,-48,-42,-28,-47,-52,-60,-67,-200,-57,-61,-55,-68,-69,-68,-71,-69,-80,-71,-72,-70,-200,-78,-75,-90,-83,-200,-200,-89,-68,-200,-61,-66,-80,-71,-76,-83,-75,-200,-200,-200
1526455822426,-37,-47,-48,-42,-28,-47,-52,-60,-67,-200,-57,-61,-55,-68,-69,-68,-71,-69,-80,-71,-72,-70,-200,-78,-75,-90,-83,-200,-200,-89,-68,-200,-61,-66,-80,-71,-76,-83,-75,-200,-200,-200
