,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:11:d0,74:da:da:98:7a:6c,74:da:da:c1:3c:d1,74:da:da:c1:3c:91,74:da:da:98:7a:50,74:da:da:c1:3c:d2,0c:73:eb:d0:11:b0,0c:73:eb:d0:13:c0,0c:73:eb:d0:7e:d8,74:da:da:c1:3c:92,74:da:da:c1:3c:6d,74:da:da:c1:3b:4d,74:da:da:c0:e0:71,74:da:da:98:7a:60,74:da:da:c1:3b:e9,74:da:da:98:7a:68,0c:73:eb:d0:7e:f0,0c:73:eb:d0:19:b0,74:da:da:c1:3c:e1,74:da:da:98:7a:6d,74:da:da:c1:61:69,74:da:da:98:7a:51,74:da:da:c1:3c:ad,0c:73:eb:d0:76:20,0c:73:eb:d0:11:b8,0c:73:eb:d0:7e:e0,74:da:da:c1:3b:85,0c:73:eb:d0:76:58,74:da:da:98:7a:4c,74:da:da:c1:3b:49,0c:73:eb:d0:2a:38,74:da:da:c0:e0:81,74:da:da:c1:4a:f5,74:da:da:98:8d:78,74:da:da:c1:3c:ae,74:da:da:c1:4b:01,74:da:da:98:74:94,74:da:da:c1:4a:a5,74:da:da:98:db:44,0c:73:eb:d0:7c:48,74:da:da:c1:4b:59,74:da:da:c0:e0:69,74:da:da:c0:d7:09,0c:73:eb:d0:13:a8,74:da:da:98:92:14,74:da:da:c1:3c:e2,74:da:da:98:8f:64,bc:d1:77:5f:6a:b4,74:da:da:c1:3c:dd,74:da:da:98:7a:4d,0c:73:eb:d0:7e:e8,74:da:da:c0:f3:01,0c:73:eb:d0:2a:18,74:da:da:c1:3c:51,74:da:da:c1:3b:79,0c:73:eb:d0:76:40,0c:73:eb:d0:19:98,74:da:da:c0:f2:fd,74:da:da:98:8f:3c,74:da:da:c1:4a:7d,0c:73:eb:d0:7f:10,74:da:da:c0:d8:7d,0c:73:eb:d0:2a:20,74:da:da:c0:d7:b9,74:da:da:c1:3b:45,74:da:da:c1:3b:9d,74:da:da:c1:48:bd,0c:73:eb:d0:7c:18,74:da:da:c1:3b:ea,0c:73:eb:d0:0e:a8,74:da:da:c0:d7:ed,0c:73:eb:d0:7c:30,0c:73:eb:d0:11:e0,74:da:da:c1:3d:09,0c:73:eb:d0:19:a8,0c:73:eb:d0:7c:38,74:da:da:c1:56:ed,74:da:da:c1:47:cd,0c:73:eb:d0:2a:48,0c:73:eb:d0:7c:10,74:da:da:c1:02:95,74:da:da:c1:4a:ed,74:da:da:c1:3b:69,74:da:da:c1:4b:05,0c:73:eb:d0:2a:28,74:da:da:98:7a:61,0c:73:eb:d0:76:48,74:da:da:98:85:4c,74:da:da:c1:14:99,74:da:da:c1:3c:f9,74:da:da:c1:4a:c9,0c:73:eb:d0:11:f0,0c:73:eb:d0:7e:f8,74:da:da:c0:f4:69,74:da:da:c1:3b:65,0c:73:eb:d0:0e:b8,74:da:da:c1:5e:ed,74:da:da:98:91:d4
1526443243268,-22,-29,-39,-40,-46,-49,-51,-54,-55,-57,-58,-58,-59,-62,-62,-64,-65,-65,-67,-68,-69,-70,-71,-73,-74,-74,-75,-76,-76,-76,-76,-76,-76,-77,-78,-78,-79,-80,-81,-82,-82,-83,-83,-84,-84,-86,-86,-86,-86,-87,-87,-87,-87,-87,-88,-89,-89,-89,-89,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-91,-92,-92,-92,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443246305,-34,-68,-37,-40,-58,-50,-42,-50,-47,-49,-53,-77,-62,-66,-52,-56,-69,-53,-65,-77,-69,-73,-47,-74,-55,-74,-77,-79,-62,-70,-79,-66,-200,-76,-72,-79,-88,-78,-65,-87,-85,-83,-71,-87,-84,-68,-86,-83,-83,-87,-82,-200,-87,-87,-88,-78,-200,-89,-89,-88,-89,-90,-90,-91,-86,-90,-90,-90,-90,-200,-92,-92,-93,-92,-91,-88,-88,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443249343,-32,-52,-35,-40,-49,-48,-47,-59,-47,-53,-55,-77,-55,-69,-54,-66,-69,-63,-60,-75,-66,-72,-52,-78,-67,-200,-77,-79,-71,-70,-78,-76,-200,-75,-76,-79,-85,-78,-70,-82,-89,-74,-71,-81,-200,-80,-86,-84,-83,-92,-85,-200,-200,-200,-200,-78,-200,-89,-200,-88,-89,-200,-200,-90,-90,-200,-200,-200,-200,-200,-89,-92,-93,-89,-91,-77,-88,-90,-93,-84,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443252377,-39,-64,-33,-47,-45,-44,-47,-60,-49,-53,-56,-74,-66,-61,-54,-52,-68,-56,-52,-72,-70,-74,-52,-75,-65,-200,-76,-73,-75,-58,-78,-64,-200,-73,-75,-76,-83,-78,-67,-81,-84,-75,-71,-81,-85,-73,-86,-81,-77,-92,-79,-200,-200,-200,-200,-79,-85,-93,-200,-88,-88,-200,-89,-90,-90,-91,-200,-200,-200,-200,-89,-86,-88,-88,-85,-77,-78,-90,-93,-84,-89,-89,-90,-74,-79,-87,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443255410,-33,-73,-34,-39,-55,-42,-58,-54,-51,-59,-57,-74,-59,-57,-82,-55,-58,-64,-52,-77,-70,-82,-58,-79,-66,-200,-72,-78,-67,-72,-77,-64,-200,-71,-78,-76,-88,-78,-77,-83,-82,-75,-72,-81,-85,-75,-86,-90,-77,-90,-81,-200,-200,-200,-200,-79,-85,-93,-200,-88,-88,-200,-89,-90,-90,-91,-200,-89,-200,-200,-89,-89,-89,-89,-85,-77,-78,-90,-93,-84,-88,-91,-90,-72,-79,-87,-91,-91,-84,-85,-89,-200,-200,-200,-200,-200,-200,-200
1526443258451,-33,-73,-41,-43,-51,-43,-57,-47,-46,-63,-53,-73,-54,-59,-71,-58,-64,-64,-52,-77,-70,-77,-53,-77,-67,-200,-73,-56,-72,-62,-78,-69,-200,-71,-75,-76,-88,-76,-69,-84,-85,-72,-66,-86,-85,-75,-75,-83,-84,-90,-84,-200,-200,-200,-200,-81,-81,-89,-89,-90,-88,-90,-89,-90,-90,-87,-88,-89,-200,-200,-90,-89,-89,-84,-85,-80,-78,-200,-93,-84,-88,-91,-90,-72,-82,-87,-91,-91,-85,-85,-89,-89,-200,-200,-200,-200,-200,-200
1526443261490,-33,-65,-41,-40,-46,-42,-58,-51,-46,-62,-54,-73,-54,-62,-69,-57,-62,-63,-52,-76,-82,-75,-54,-77,-67,-200,-76,-56,-68,-59,-80,-70,-200,-82,-76,-86,-84,-75,-66,-84,-86,-70,-73,-86,-85,-77,-77,-82,-84,-90,-83,-200,-85,-200,-200,-89,-81,-91,-89,-90,-88,-90,-88,-200,-88,-88,-88,-89,-200,-200,-89,-87,-89,-85,-85,-80,-82,-90,-200,-200,-88,-91,-90,-72,-82,-87,-91,-91,-82,-83,-89,-89,-84,-200,-200,-200,-200,-200
1526443264523,-31,-65,-39,-48,-51,-46,-52,-56,-46,-60,-53,-73,-55,-59,-66,-59,-61,-72,-54,-76,-80,-80,-52,-78,-71,-200,-76,-56,-70,-68,-76,-70,-200,-75,-75,-84,-87,-76,-65,-81,-86,-73,-73,-86,-200,-72,-77,-81,-84,-90,-86,-200,-85,-200,-200,-89,-81,-91,-89,-89,-200,-90,-89,-89,-88,-88,-88,-89,-200,-200,-89,-89,-88,-85,-200,-79,-86,-89,-200,-200,-88,-91,-89,-72,-82,-200,-200,-200,-83,-83,-89,-89,-84,-200,-200,-200,-200,-200
1526443267557,-33,-66,-39,-41,-52,-46,-48,-54,-46,-60,-52,-60,-55,-54,-72,-58,-59,-77,-59,-78,-79,-76,-51,-74,-72,-77,-76,-76,-62,-73,-76,-67,-200,-75,-74,-83,-87,-78,-70,-80,-84,-71,-74,-84,-200,-76,-77,-68,-85,-200,-86,-200,-85,-200,-200,-76,-80,-91,-88,-86,-200,-90,-89,-90,-88,-88,-88,-89,-200,-200,-89,-89,-88,-85,-200,-76,-82,-90,-200,-200,-200,-92,-89,-74,-82,-200,-200,-200,-86,-83,-200,-89,-84,-200,-200,-200,-200,-200
