,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
,0c:73:eb:d0:7e:e8,74:da:da:c0:e0:69,74:da:da:c0:e0:6a,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:e1,0c:73:eb:d0:7e:f0,74:da:da:c1:56:ee,74:da:da:c1:56:ed,74:da:da:c1:3c:51,0c:73:eb:d0:13:a8,74:da:da:c0:e0:81,74:da:da:98:8f:34,0c:73:eb:d0:7c:38,74:da:da:98:92:14,74:da:da:c0:d7:19,0c:73:eb:d0:11:e0,74:da:da:c0:e0:71,0c:73:eb:d0:76:48,74:da:da:98:7a:68,0c:73:eb:d0:7f:10,74:da:da:c1:3c:f5,74:da:da:c1:3c:e2,74:da:da:98:85:60,74:da:da:c1:3c:ad,0c:73:eb:d0:7e:d8,0c:73:eb:d0:13:c0,0c:73:eb:d0:11:e8,74:da:da:c0:e0:82,74:da:da:98:7a:60,74:da:da:98:7a:6c,0c:73:eb:d0:19:a8,74:da:da:98:7a:4c,74:da:da:c0:e2:d9,0c:73:eb:d0:76:58,74:da:da:c0:d7:b9,0c:73:eb:d0:7e:f8,74:da:da:98:91:d4,0c:73:eb:d0:7f:18,74:da:da:c0:f3:01,74:da:da:98:7a:50,74:da:da:98:85:00,0c:73:eb:d0:11:d0,0c:73:eb:d0:7c:00,74:da:da:c1:3c:8d,74:da:da:98:8f:30,74:da:da:c0:e0:72,0c:73:eb:d0:13:d0,0c:73:eb:d0:7f:08,74:da:da:98:85:4c,74:da:da:c1:56:a1,0c:73:eb:d0:7c:08,74:da:da:c1:3c:cd,74:da:da:98:8f:64,c0:61:18:93:35:28,74:da:da:c1:3c:52,0c:73:eb:d0:11:f0,74:da:da:c0:d7:dd,74:da:da:98:91:d5,74:da:da:c0:f4:69,74:da:da:c0:d7:1a,74:da:da:98:92:15,0c:73:eb:d0:11:b0,0c:73:eb:d0:2a:10,74:da:da:c1:48:bd,74:da:da:c0:d7:0d,74:da:da:98:ea:4c,0c:73:eb:d0:19:b8,74:da:da:c1:3c:dd,74:da:da:c1:3b:4a,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:b8,74:da:da:c1:3c:99,74:da:da:c1:3b:c9,74:da:da:c0:d7:ba,0c:73:eb:d0:13:b8,74:da:da:98:ea:5c,74:da:da:c0:f3:02,74:da:da:98:7a:51,74:da:da:c1:3c:91,74:da:da:98:db:44,74:da:da:98:8f:3c,74:da:da:c1:17:75,0c:73:eb:d0:76:30,74:da:da:c1:3a:81,0c:73:eb:d0:0e:c0,ec:26:ca:0b:d4:1e,74:da:da:c1:25:e5,74:da:da:98:7a:61,74:da:da:c1:3b:cd,0c:73:eb:d0:13:90,74:da:da:c0:d8:25,74:da:da:98:8f:35,74:da:da:c1:3c:ae,74:da:da:c0:d8:1d,74:da:da:c0:d7:e9,74:da:da:c1:03:61,74:da:da:c1:25:9d,0c:73:eb:d0:7a:68,74:da:da:c1:3a:dd,74:da:da:c1:3c:d1,0c:73:eb:d0:11:f8,0c:73:eb:d0:2a:30,74:da:da:c0:d8:59,74:da:da:c1:3b:85,0c:73:eb:d0:19:98,74:da:da:c0:d7:c5,74:da:da:c0:d7:ed,74:da:da:c1:3b:49,0c:73:eb:d0:19:a0,c0:61:18:93:3e:54,0c:73:eb:d0:2a:58,74:da:da:c1:3c:f9,0c:73:eb:d0:7c:30,74:da:da:c1:6b:4d,74:da:da:c1:4a:c9,74:da:da:c1:3b:45,0c:73:eb:d0:19:88,0c:73:eb:d0:2a:18,74:da:da:c1:3b:65,74:da:da:98:7a:69,74:da:da:c0:f6:15
1526452022114,-32,-38,-42,-44,-44,-45,-46,-46,-49,-51,-51,-54,-55,-55,-55,-56,-57,-61,-61,-62,-62,-62,-63,-63,-63,-63,-64,-64,-64,-65,-65,-65,-66,-66,-67,-67,-68,-69,-69,-69,-70,-70,-70,-70,-71,-71,-72,-72,-73,-73,-74,-74,-74,-74,-75,-77,-77,-78,-78,-79,-79,-79,-80,-80,-80,-81,-81,-82,-82,-82,-83,-83,-83,-84,-84,-84,-85,-85,-85,-85,-85,-85,-85,-86,-86,-87,-87,-88,-88,-88,-88,-89,-89,-89,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452025162,-41,-27,-46,-58,-44,-61,-47,-43,-54,-40,-42,-54,-61,-48,-200,-61,-50,-53,-61,-62,-62,-69,-59,-63,-63,-63,-69,-63,-64,-74,-200,-65,-66,-66,-74,-64,-52,-64,-69,-69,-58,-85,-69,-67,-69,-84,-79,-69,-80,-200,-81,-63,-74,-74,-68,-77,-200,-81,-79,-81,-79,-80,-67,-80,-80,-67,-79,-82,-82,-87,-83,-83,-200,-89,-85,-84,-90,-200,-200,-85,-200,-200,-83,-85,-86,-87,-200,-88,-200,-200,-200,-83,-89,-89,-200,-200,-92,-58,-81,-83,-85,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452028193,-43,-27,-46,-55,-200,-45,-47,-43,-52,-41,-47,-53,-50,-52,-57,-61,-58,-56,-56,-63,-200,-78,-59,-77,-200,-76,-67,-63,-73,-72,-62,-200,-66,-82,-66,-62,-50,-65,-200,-79,-58,-83,-75,-55,-69,-81,-79,-77,-80,-200,-72,-63,-200,-200,-81,-200,-200,-81,-80,-82,-79,-80,-61,-75,-79,-65,-82,-200,-200,-87,-200,-200,-80,-89,-85,-200,-90,-200,-77,-200,-83,-200,-81,-86,-200,-86,-200,-200,-200,-200,-200,-83,-200,-200,-92,-200,-200,-64,-80,-83,-85,-93,-65,-83,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452031236,-41,-27,-47,-56,-58,-47,-46,-41,-56,-42,-43,-54,-53,-51,-57,-63,-55,-54,-63,-64,-200,-78,-57,-76,-83,-74,-59,-63,-73,-71,-63,-200,-67,-71,-68,-62,-50,-64,-200,-79,-59,-83,-75,-59,-69,-81,-69,-73,-80,-200,-70,-61,-200,-78,-81,-200,-200,-81,-80,-84,-80,-87,-67,-75,-81,-66,-79,-88,-200,-87,-200,-80,-79,-89,-85,-92,-90,-200,-80,-200,-83,-200,-79,-86,-200,-86,-200,-200,-200,-200,-200,-82,-200,-200,-88,-200,-200,-62,-80,-83,-85,-93,-65,-83,-84,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452034281,-44,-27,-43,-49,-58,-46,-47,-43,-55,-39,-46,-54,-58,-49,-53,-61,-56,-52,-61,-61,-75,-77,-61,-76,-83,-74,-56,-64,-73,-74,-63,-200,-65,-71,-68,-62,-52,-63,-200,-79,-58,-85,-70,-58,-69,-80,-70,-65,-80,-200,-67,-61,-200,-78,-81,-200,-200,-81,-80,-85,-81,-80,-67,-74,-79,-66,-78,-88,-200,-87,-83,-81,-79,-89,-88,-93,-90,-200,-80,-200,-78,-200,-80,-86,-200,-85,-200,-200,-87,-200,-200,-82,-200,-200,-89,-200,-200,-60,-81,-83,-85,-93,-84,-83,-86,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452037314,-42,-8,-46,-50,-58,-46,-46,-42,-54,-40,-42,-53,-52,-52,-53,-61,-57,-53,-61,-64,-76,-77,-58,-74,-83,-68,-64,-63,-73,-72,-63,-200,-65,-80,-68,-62,-50,-65,-200,-80,-58,-83,-69,-60,-69,-83,-70,-68,-80,-200,-75,-63,-200,-77,-78,-200,-200,-80,-80,-85,-82,-79,-68,-74,-79,-66,-79,-88,-200,-200,-83,-81,-80,-88,-81,-93,-200,-200,-82,-200,-78,-200,-80,-86,-200,-87,-200,-200,-87,-200,-200,-82,-200,-200,-89,-200,-200,-62,-81,-200,-200,-200,-84,-83,-85,-80,-86,-78,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452040360,-44,-7,-47,-57,-66,-45,-47,-44,-55,-40,-50,-55,-51,-60,-60,-61,-55,-53,-62,-66,-76,-78,-59,-74,-83,-74,-57,-64,-200,-72,-62,-200,-65,-80,-68,-61,-83,-67,-54,-74,-50,-83,-69,-58,-69,-81,-79,-70,-80,-80,-76,-62,-200,-77,-82,-84,-200,-80,-80,-85,-80,-79,-68,-74,-79,-66,-84,-88,-200,-200,-84,-80,-78,-88,-81,-93,-91,-200,-82,-88,-82,-200,-82,-200,-200,-86,-200,-200,-93,-88,-200,-82,-200,-200,-88,-200,-200,-62,-81,-79,-200,-200,-84,-82,-85,-80,-86,-78,-88,-92,-79,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526452043397,-43,-26,-46,-49,-57,-45,-47,-42,-55,-39,-43,-53,-53,-51,-60,-66,-51,-58,-62,-63,-77,-65,-61,-77,-76,-73,-68,-64,-72,-72,-64,-200,-66,-70,-67,-62,-52,-64,-54,-74,-58,-83,-71,-58,-70,-82,-71,-66,-80,-80,-71,-64,-200,-78,-82,-84,-200,-80,-80,-84,-80,-78,-69,-74,-82,-65,-82,-91,-200,-200,-83,-82,-78,-88,-84,-93,-91,-200,-82,-88,-82,-200,-81,-200,-87,-86,-200,-200,-93,-88,-200,-82,-200,-200,-89,-200,-200,-62,-80,-79,-200,-200,-84,-84,-83,-80,-86,-78,-88,-92,-79,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526452046446,-43,-16,-45,-56,-57,-55,-47,-50,-55,-42,-51,-52,-60,-51,-50,-70,-56,-53,-62,-72,-78,-75,-61,-77,-76,-75,-68,-68,-72,-74,-60,-200,-66,-78,-67,-62,-52,-64,-54,-74,-58,-83,-76,-63,-70,-80,-69,-77,-200,-80,-83,-60,-200,-78,-78,-84,-200,-80,-80,-84,-81,-78,-67,-75,-80,-65,-79,-86,-200,-200,-86,-82,-78,-88,-83,-200,-89,-200,-87,-88,-82,-200,-88,-200,-87,-88,-200,-200,-93,-88,-200,-82,-200,-200,-89,-200,-200,-62,-80,-79,-200,-200,-200,-84,-85,-80,-89,-78,-88,-92,-79,-88,-89,-84,-90,-90,-200,-200,-200,-200,-200
