,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c0:e0:69,74:da:da:c1:56:ed,0c:73:eb:d0:7e:e8,0c:73:eb:d0:13:a8,0c:73:eb:d0:7e:f0,74:da:da:c0:e0:6a,74:da:da:c1:3c:51,0c:73:eb:d0:7c:38,74:da:da:98:7a:68,0c:73:eb:d0:7e:e0,74:da:da:c1:56:ee,74:da:da:c1:3c:8d,74:da:da:98:91:d4,0c:73:eb:d0:76:48,0c:73:eb:d0:11:e0,74:da:da:c0:e0:81,74:da:da:98:8f:34,74:da:da:c0:d7:19,74:da:da:98:85:00,0c:73:eb:d0:7e:f8,74:da:da:c0:d7:b9,74:da:da:98:8f:30,0c:73:eb:d0:13:c0,0c:73:eb:d0:7f:10,74:da:da:c0:e0:71,74:da:da:c1:3c:f5,74:da:da:c0:e2:d9,74:da:da:c1:3c:52,74:da:da:c0:f3:01,0c:73:eb:d0:11:e8,74:da:da:c1:3c:cd,0c:73:eb:d0:7c:00,74:da:da:c1:56:a1,74:da:da:98:92:15,0c:73:eb:d0:2a:58,74:da:da:98:92:14,0c:73:eb:d0:11:d0,74:da:da:c0:e0:72,74:da:da:c1:48:bd,0c:73:eb:d0:7a:68,74:da:da:98:91:d5,0c:73:eb:d0:2a:10,74:da:da:c1:3c:ad,74:da:da:98:ea:4c,74:da:da:98:7a:60,0c:73:eb:d0:19:a8,0c:73:eb:d0:7e:d8,74:da:da:c0:d7:0d,74:da:da:c1:3c:e2,74:da:da:c1:3b:9d,74:da:da:c0:d7:1a,74:da:da:c1:6b:4d,0c:73:eb:d0:19:b8,74:da:da:98:8f:64,0c:73:eb:d0:11:b0,74:da:da:c0:d7:e9,74:da:da:98:85:4c,74:da:da:c0:d7:ba,0c:73:eb:d0:11:f0,74:da:da:98:ea:5c,0c:73:eb:d0:19:98,0c:73:eb:d0:7f:18,74:da:da:c1:3c:f9,ec:26:ca:0b:d4:1e,74:da:da:c1:3b:cd,74:da:da:c0:f3:02,74:da:da:98:8f:35,74:da:da:98:85:60,74:da:da:c0:d8:25,0c:73:eb:d0:2a:30,74:da:da:c0:f3:05,0c:73:eb:d0:2a:48,0c:73:eb:d0:13:d0,0c:73:eb:d0:7f:08,74:da:da:c1:3b:85,74:da:da:c0:d8:59,74:da:da:c1:3c:99,74:da:da:c0:e0:82,0c:73:eb:d0:11:b8,74:da:da:c0:d8:3d,0c:73:eb:d0:76:30,0c:73:eb:d0:0e:90,74:da:da:c1:3c:6d,74:da:da:98:7a:6c,0c:73:eb:d0:7c:08,74:da:da:98:8f:3c,74:da:da:c0:f4:69,74:da:da:98:7a:50,0c:73:eb:d0:0e:d0,74:da:da:c1:04:45,74:da:da:c1:48:be,74:da:da:98:7a:4c,0c:73:eb:d0:19:88,0c:73:eb:d0:76:38,74:da:da:c1:3c:e1,0c:73:eb:d0:2a:98,74:da:da:c0:f2:fd,74:da:da:c1:3c:dd,0c:73:eb:d0:19:a0,0c:73:eb:d0:2a:18,74:da:da:c1:3b:65,c0:61:18:93:3e:54,74:da:da:c1:3b:49,74:da:da:c0:d8:05,0c:73:eb:d0:0e:c0,74:da:da:c1:3b:c9,74:da:da:c1:3d:85,74:da:da:c1:04:49,0c:73:eb:d0:7c:10,0c:73:eb:d0:11:c0,74:da:da:c1:3b:45,0c:73:eb:d0:7c:18,74:da:da:c1:56:a2,0c:73:eb:d0:76:20,0c:73:eb:d0:13:b8,74:da:da:c1:25:e5,c0:61:18:93:35:28,74:da:da:c1:25:9d,74:da:da:c1:3c:91,74:da:da:c0:f6:15,0c:73:eb:d0:76:58,74:da:da:c1:3a:81
1526453099872,-7,-16,-41,-43,-50,-51,-51,-52,-52,-53,-53,-53,-54,-55,-55,-55,-55,-57,-58,-58,-60,-63,-63,-64,-64,-66,-67,-68,-69,-70,-70,-71,-71,-71,-71,-72,-72,-73,-73,-73,-74,-75,-75,-77,-77,-78,-79,-79,-80,-80,-81,-81,-81,-81,-82,-82,-82,-83,-84,-84,-85,-86,-86,-87,-87,-87,-88,-88,-90,-90,-90,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453102888,-38,-34,-39,-46,-46,-50,-47,-51,-60,-54,-55,-62,-67,-53,-53,-49,-55,-55,-70,-58,-63,-63,-80,-63,-52,-77,-62,-57,-200,-77,-200,-80,-67,-80,-71,-56,-83,-87,-73,-73,-74,-71,-75,-73,-72,-76,-80,-79,-77,-200,-86,-200,-81,-83,-82,-200,-82,-82,-84,-84,-85,-86,-200,-87,-87,-82,-85,-74,-90,-85,-90,-92,-72,-72,-74,-77,-78,-80,-86,-87,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453105930,-40,-15,-21,-53,-63,-51,-47,-52,-60,-54,-55,-64,-67,-50,-53,-51,-55,-56,-68,-200,-63,-200,-72,-63,-55,-77,-69,-58,-200,-77,-79,-80,-67,-79,-200,-59,-79,-87,-73,-200,-200,-79,-75,-69,-72,-76,-80,-200,-76,-200,-85,-200,-200,-83,-82,-91,-87,-83,-200,-200,-86,-200,-200,-88,-200,-82,-85,-74,-200,-83,-200,-200,-72,-78,-75,-77,-79,-81,-86,-87,-88,-90,-90,-76,-80,-81,-82,-84,-85,-86,-87,-88,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453108969,-33,-32,-36,-43,-43,-50,-43,-47,-58,-55,-55,-62,-64,-56,-57,-51,-54,-56,-69,-200,-63,-200,-69,-57,-52,-81,-69,-57,-200,-70,-81,-83,-66,-80,-200,-57,-82,-85,-73,-200,-80,-71,-68,-71,-72,-79,-80,-86,-76,-83,-85,-200,-200,-83,-81,-91,-87,-82,-80,-86,-86,-68,-86,-88,-200,-82,-83,-74,-200,-85,-200,-200,-76,-78,-74,-78,-79,-81,-86,-88,-90,-90,-90,-75,-80,-82,-80,-84,-86,-86,-88,-88,-81,-92,-63,-81,-89,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453111987,-41,-38,-39,-46,-47,-50,-49,-45,-59,-62,-55,-65,-64,-54,-53,-52,-54,-64,-70,-73,-63,-200,-68,-63,-53,-82,-77,-57,-200,-75,-81,-83,-69,-80,-200,-55,-83,-84,-74,-200,-80,-70,-67,-71,-72,-66,-80,-86,-77,-81,-84,-200,-84,-83,-82,-91,-87,-82,-86,-87,-86,-66,-89,-88,-200,-82,-83,-76,-200,-85,-200,-89,-79,-79,-76,-80,-82,-80,-86,-88,-90,-90,-91,-75,-80,-82,-82,-84,-86,-87,-87,-88,-81,-92,-55,-81,-89,-89,-90,-90,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453115026,-31,-39,-35,-77,-49,-47,-51,-59,-57,-59,-55,-64,-64,-53,-65,-48,-62,-52,-64,-73,-62,-200,-79,-54,-48,-81,-61,-58,-200,-68,-81,-78,-66,-79,-200,-55,-75,-84,-71,-72,-78,-79,-66,-62,-75,-66,-200,-86,-75,-82,-85,-200,-80,-83,-77,-200,-200,-82,-86,-87,-82,-69,-89,-88,-200,-83,-86,-76,-200,-85,-200,-89,-72,-79,-73,-78,-82,-82,-200,-88,-88,-200,-89,-75,-87,-80,-82,-82,-83,-87,-87,-85,-80,-200,-61,-81,-89,-89,-90,-90,-84,-90,-69,-75,-86,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453118053,-36,-30,-35,-45,-47,-50,-46,-47,-59,-51,-54,-62,-65,-53,-55,-50,-53,-52,-64,-73,-65,-200,-78,-61,-53,-81,-61,-57,-77,-64,-81,-78,-67,-79,-200,-55,-75,-84,-71,-63,-78,-71,-65,-64,-71,-66,-200,-200,-76,-81,-85,-200,-80,-84,-77,-90,-88,-83,-82,-83,-83,-70,-89,-200,-200,-83,-86,-76,-200,-200,-200,-89,-73,-79,-73,-76,-82,-81,-200,-88,-88,-200,-90,-75,-83,-85,-80,-82,-83,-85,-87,-85,-80,-200,-63,-200,-200,-200,-200,-200,-84,-90,-67,-75,-86,-91,-91,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453121090,-38,-29,-36,-45,-41,-50,-44,-50,-59,-50,-55,-63,-63,-51,-57,-50,-53,-53,-68,-69,-60,-200,-70,-61,-48,-81,-61,-58,-77,-76,-200,-78,-69,-79,-200,-59,-75,-87,-71,-72,-78,-77,-67,-67,-71,-79,-79,-82,-75,-84,-85,-200,-79,-84,-77,-90,-88,-83,-81,-84,-84,-67,-200,-85,-200,-83,-85,-200,-200,-200,-200,-200,-69,-73,-72,-76,-80,-82,-200,-88,-88,-200,-88,-75,-78,-85,-82,-82,-83,-85,-85,-81,-80,-91,-54,-200,-200,-200,-200,-200,-200,-200,-67,-75,-89,-91,-91,-89,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453124150,-37,-31,-35,-45,-44,-51,-42,-46,-59,-52,-55,-61,-63,-52,-58,-50,-52,-53,-69,-69,-63,-200,-69,-50,-47,-81,-70,-58,-77,-69,-78,-78,-66,-80,-200,-59,-74,-87,-71,-72,-78,-67,-65,-69,-71,-75,-79,-82,-77,-83,-82,-200,-79,-82,-77,-90,-88,-81,-82,-83,-83,-67,-200,-85,-200,-80,-85,-74,-200,-200,-200,-200,-69,-77,-72,-76,-80,-82,-86,-84,-88,-200,-89,-200,-76,-85,-82,-82,-83,-85,-88,-81,-88,-91,-54,-200,-200,-88,-89,-91,-200,-200,-67,-78,-87,-200,-91,-89,-90,-91,-91,-76,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
