,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:98:85:4c,0c:73:eb:d0:13:b8,74:da:da:98:90:94,74:da:da:98:85:60,74:da:da:98:85:4d,74:da:da:98:85:1c,0c:73:eb:d0:7f:08,0c:73:eb:d0:13:90,0c:73:eb:d0:13:c8,0c:73:eb:d0:11:e0,74:da:da:c1:3d:2d,0c:73:eb:d0:11:c8,74:da:da:c1:56:a1,74:da:da:98:85:00,0c:73:eb:d0:19:90,74:da:da:98:74:80,74:da:da:c1:03:21,0c:73:eb:d0:7c:40,74:da:da:c0:d7:19,0c:73:eb:d0:11:c0,74:da:da:c1:3c:55,0c:73:eb:d0:19:a0,74:da:da:98:74:34,74:da:da:98:85:1d,0c:73:eb:d0:7f:00,0c:73:eb:d0:11:d8,74:da:da:c0:d7:b9,50:3a:a0:ea:01:66,74:da:da:98:ea:54,74:da:da:c1:3c:45,74:da:da:c0:f3:01,d8:15:0d:6c:13:98,0c:73:eb:d0:7c:38,74:da:da:98:85:61,0c:73:eb:d0:19:c8,74:da:da:98:85:01,74:da:da:c1:3c:51,74:da:da:c1:02:8d,0c:73:eb:d0:7c:28,0c:73:eb:d0:76:18,74:da:da:98:74:75,0c:73:eb:d0:19:c0,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7f:10,74:da:da:98:92:14,74:da:da:c1:3c:11,74:da:da:98:74:74,74:da:da:c1:56:a2,74:da:da:c0:d7:9d,0c:73:eb:d0:13:98,74:da:da:c1:3b:29,74:da:da:c1:48:bd,74:da:da:c0:e0:69,0c:73:eb:d0:7e:e0,74:da:da:c1:6b:4d,74:da:da:98:74:81,74:da:da:c1:3a:8d,74:da:da:98:ea:5c,74:da:da:c0:d8:3d,74:da:da:c0:d6:f5,0c:73:eb:d0:13:a8,0c:73:eb:d0:13:d8,0c:73:eb:d0:7c:00,0c:73:eb:d0:76:10,74:da:da:c0:e2:d9,74:da:da:c1:3c:85,0c:73:eb:d0:19:88,74:da:da:98:90:2c,74:da:da:c1:03:2d,74:da:da:c1:3d:2e,74:da:da:c1:56:ed,74:da:da:c0:d7:c5,0c:73:eb:d0:11:f8,74:da:da:c0:d8:1d,74:da:da:98:7a:60,0c:73:eb:d0:7f:18,74:da:da:c0:f4:69,74:da:da:c1:25:e5,74:da:da:c0:d7:11,74:da:da:c0:d7:0d,74:da:da:98:ea:50,0c:73:eb:d0:7a:68,0c:73:eb:d0:13:a0,0c:73:eb:d0:13:b0,0c:73:eb:d0:76:28,0c:73:eb:d0:7c:08,74:da:da:98:91:d4,74:da:da:c0:d6:ed,74:da:da:c1:3a:81,74:da:da:98:66:cc,74:da:da:c1:25:69,0c:73:eb:d0:76:30
1526456884862,-44,-46,-52,-54,-56,-56,-57,-61,-61,-63,-63,-66,-70,-70,-71,-71,-71,-72,-72,-73,-73,-73,-73,-74,-75,-75,-75,-76,-76,-76,-76,-77,-77,-79,-79,-80,-80,-80,-81,-81,-81,-81,-82,-82,-82,-82,-82,-82,-82,-83,-83,-83,-83,-83,-84,-84,-85,-85,-85,-85,-86,-86,-86,-86,-87,-87,-87,-87,-88,-88,-88,-88,-89,-89,-90,-90,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456887911,-50,-37,-62,-51,-55,-59,-59,-62,-69,-200,-200,-73,-65,-63,-66,-74,-77,-61,-72,-71,-80,-200,-83,-82,-86,-72,-75,-80,-85,-77,-86,-59,-78,-80,-85,-85,-200,-79,-87,-81,-200,-81,-82,-85,-86,-86,-86,-84,-86,-85,-81,-200,-87,-200,-200,-85,-89,-200,-86,-85,-84,-89,-200,-86,-86,-88,-200,-87,-88,-200,-200,-200,-88,-89,-200,-88,-200,-89,-85,-86,-88,-91,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526456890932,-51,-38,-60,-53,-55,-56,-60,-61,-66,-80,-200,-73,-66,-63,-66,-74,-78,-61,-74,-68,-78,-200,-75,-82,-74,-65,-75,-79,-82,-77,-86,-61,-78,-79,-85,-85,-200,-79,-87,-80,-200,-81,-81,-84,-86,-87,-86,-85,-83,-78,-79,-200,-86,-200,-82,-85,-87,-200,-86,-85,-86,-86,-91,-81,-87,-88,-200,-87,-83,-200,-200,-200,-89,-89,-200,-90,-200,-89,-71,-86,-89,-91,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526456893980,-50,-37,-56,-52,-55,-58,-61,-65,-71,-80,-200,-72,-61,-60,-68,-74,-77,-61,-68,-69,-78,-200,-75,-81,-75,-81,-200,-81,-84,-76,-86,-58,-78,-80,-83,-85,-200,-80,-89,-80,-200,-79,-81,-82,-85,-88,-83,-85,-85,-81,-79,-200,-86,-200,-83,-85,-87,-200,-86,-200,-86,-85,-91,-82,-86,-88,-87,-92,-83,-200,-200,-200,-88,-200,-200,-90,-200,-88,-75,-90,-89,-91,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526456897018,-48,-37,-58,-52,-56,-56,-61,-63,-68,-62,-200,-70,-64,-61,-67,-74,-77,-60,-73,-71,-78,-200,-77,-82,-67,-69,-200,-81,-86,-73,-86,-63,-78,-80,-83,-85,-200,-80,-89,-78,-200,-81,-81,-79,-85,-86,-84,-84,-85,-85,-79,-200,-86,-200,-83,-85,-88,-200,-86,-200,-82,-90,-91,-82,-84,-89,-87,-92,-81,-200,-200,-200,-87,-200,-200,-90,-200,-88,-78,-88,-89,-91,-200,-92,-90,-91,-200,-200,-200,-200,-200,-200
1526456900049,-57,-37,-63,-53,-56,-56,-55,-65,-66,-89,-200,-69,-64,-65,-73,-82,-77,-61,-71,-68,-80,-200,-86,-82,-67,-75,-200,-84,-82,-87,-87,-60,-200,-79,-83,-200,-200,-82,-89,-78,-200,-80,-81,-79,-85,-86,-84,-84,-85,-85,-81,-200,-86,-200,-83,-200,-88,-200,-200,-200,-82,-87,-91,-83,-87,-89,-87,-92,-86,-200,-200,-200,-87,-200,-200,-90,-200,-88,-78,-88,-89,-200,-200,-200,-90,-91,-80,-92,-200,-200,-200,-200
1526456903079,-45,-37,-60,-51,-56,-55,-59,-60,-68,-89,-200,-69,-63,-61,-69,-73,-84,-61,-75,-69,-80,-200,-78,-83,-75,-83,-200,-81,-82,-87,-87,-62,-82,-79,-85,-200,-200,-82,-85,-78,-200,-80,-200,-81,-85,-87,-79,-84,-83,-84,-81,-200,-86,-200,-83,-200,-88,-200,-200,-200,-87,-85,-200,-82,-86,-89,-87,-92,-82,-200,-200,-200,-89,-200,-200,-88,-200,-88,-80,-88,-89,-200,-200,-200,-90,-91,-80,-92,-200,-200,-200,-200
1526456906112,-49,-39,-57,-51,-55,-55,-55,-59,-70,-75,-200,-69,-63,-64,-66,-73,-84,-61,-73,-72,-80,-200,-80,-85,-75,-83,-200,-80,-84,-76,-87,-64,-82,-79,-88,-200,-200,-82,-82,-74,-200,-85,-200,-81,-200,-87,-83,-84,-83,-78,-81,-200,-86,-200,-83,-200,-88,-200,-200,-200,-86,-85,-200,-83,-86,-89,-200,-200,-87,-200,-200,-200,-88,-200,-200,-88,-200,-200,-80,-88,-89,-200,-200,-200,-90,-91,-80,-92,-83,-200,-200,-200
1526456909146,-47,-38,-58,-51,-55,-56,-61,-59,-67,-77,-200,-67,-64,-62,-66,-71,-80,-61,-74,-71,-80,-200,-80,-85,-74,-81,-200,-80,-86,-73,-87,-62,-82,-79,-89,-200,-200,-82,-84,-79,-200,-85,-200,-71,-200,-86,-83,-200,-84,-78,-82,-200,-88,-200,-80,-200,-86,-200,-200,-200,-85,-85,-200,-89,-86,-89,-200,-200,-85,-200,-200,-200,-89,-200,-200,-88,-200,-89,-80,-200,-200,-200,-200,-200,-90,-200,-80,-92,-83,-88,-200,-200
