,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WIFI_RTT_08,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WIFI_RTT_03,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
,0c:73:eb:d0:7c:38,a0:ab:1b:a0:b1:e0,0c:73:eb:d0:11:e0,74:da:da:c0:d7:b9,0c:73:eb:d0:7f:10,74:da:da:c0:e2:d9,0c:73:eb:d0:7f:18,74:da:da:98:92:14,0c:73:eb:d0:7e:e0,74:da:da:c1:56:ed,a4:34:d9:da:37:8e,0c:73:eb:d0:7e:f8,74:da:da:c1:3c:51,0c:73:eb:d0:7f:08,0c:73:eb:d0:7e:e8,74:da:da:c0:e0:69,44:85:00:14:ac:a3,74:da:da:c0:d7:ba,0c:73:eb:d0:13:c0,0c:73:eb:d0:7e:f0,74:da:da:c0:e0:71,0c:73:eb:d0:13:d0,0c:73:eb:d0:7a:68,74:da:da:98:7a:60,0c:73:eb:d0:7c:08,0c:73:eb:d0:76:30,0c:73:eb:d0:76:38,0c:73:eb:d0:13:b8,74:da:da:c0:f3:02,0c:73:eb:d0:19:b8,74:da:da:c1:3b:69,0c:73:eb:d0:7c:00,74:da:da:98:ea:5c,0c:73:eb:d0:11:b0,74:da:da:c0:e0:81,0c:73:eb:d0:11:b8,74:da:da:c0:d7:1a,74:da:da:c1:3b:cd,74:da:da:c1:56:a2,74:da:da:98:92:15,74:da:da:c1:48:be,74:da:da:c1:3c:e1,74:da:da:c0:f4:6a,74:da:da:c0:e0:72,74:da:da:c1:3c:91,0c:73:eb:d0:19:98,74:da:da:98:91:d5,74:da:da:c0:e0:6a,74:da:da:98:85:4d,74:da:da:c1:3b:c9,74:da:da:c1:3c:52,74:da:da:c0:e2:da,74:da:da:98:74:34,74:da:da:c1:3a:82,0c:73:eb:d0:11:c0,74:da:da:98:85:01,74:da:da:c1:56:ee,74:da:da:c0:d7:0e,74:da:da:c1:3d:2d,74:da:da:c1:3c:e2,74:da:da:c1:6b:4e,74:da:da:98:85:1d,74:da:da:98:7a:69,74:da:da:98:7a:51,74:da:da:98:7a:61,74:da:da:c1:56:a1,74:da:da:c0:d7:19,74:da:da:98:85:00,74:da:da:98:85:1c,74:da:da:c1:3c:f5,74:da:da:98:85:61,74:da:da:c1:3c:f6,74:da:da:c0:f4:69,0c:73:eb:d0:11:f8,74:da:da:98:85:60,74:da:da:c1:3a:dd,0c:73:eb:d0:0e:d8,74:da:da:98:7a:4c,0c:73:eb:d0:76:48,74:da:da:c1:3c:85,0c:73:eb:d0:19:90,74:da:da:c0:f3:01,74:da:da:c1:48:bd,0c:73:eb:d0:7c:28,ec:26:ca:0b:d4:1e,74:da:da:c1:3a:81,74:da:da:c0:e0:82
1540969161209,-32,-33,-36,-36,-39,-41,-45,-45,-46,-47,-47,-48,-49,-52,-52,-52,-53,-54,-55,-55,-55,-58,-58,-58,-59,-59,-60,-61,-62,-62,-62,-63,-63,-63,-64,-66,-68,-68,-70,-70,-71,-71,-72,-73,-73,-73,-74,-74,-75,-75,-76,-77,-77,-78,-79,-81,-84,-84,-84,-85,-86,-86,-86,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540969164244,-32,-37,-45,-34,-43,-41,-46,-38,-47,-46,-47,-49,-49,-54,-50,-52,-46,-54,-56,-55,-55,-58,-57,-62,-59,-63,-66,-61,-62,-64,-62,-63,-63,-63,-61,-77,-64,-68,-66,-80,-72,-71,-78,-78,-73,-73,-68,-78,-71,-75,-76,-72,-77,-78,-75,-79,-83,-84,-84,-85,-86,-86,-86,-88,-89,-40,-46,-46,-68,-81,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540969167269,-32,-37,-45,-34,-43,-200,-46,-38,-47,-46,-47,-47,-49,-54,-50,-52,-46,-54,-56,-55,-55,-58,-57,-62,-59,-63,-66,-61,-62,-64,-62,-63,-63,-63,-61,-77,-64,-68,-66,-80,-72,-71,-78,-78,-73,-73,-68,-78,-71,-75,-76,-72,-77,-78,-75,-79,-83,-84,-84,-85,-86,-86,-86,-88,-89,-40,-46,-46,-68,-81,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540969170299,-32,-37,-37,-35,-39,-200,-46,-40,-49,-46,-50,-48,-49,-54,-50,-52,-46,-58,-56,-55,-55,-58,-57,-62,-53,-63,-66,-61,-61,-64,-58,-63,-63,-63,-61,-77,-62,-68,-62,-73,-71,-71,-76,-82,-73,-73,-74,-77,-71,-75,-76,-73,-77,-78,-75,-79,-79,-88,-84,-85,-86,-86,-86,-88,-89,-40,-46,-46,-68,-81,-80,-88,-47,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540969173337,-32,-37,-37,-35,-39,-200,-46,-40,-49,-46,-50,-45,-49,-54,-50,-200,-46,-58,-56,-55,-200,-58,-57,-62,-53,-63,-66,-61,-61,-64,-58,-63,-63,-63,-61,-77,-62,-68,-62,-73,-71,-200,-76,-82,-200,-73,-74,-77,-71,-75,-76,-73,-200,-78,-75,-79,-79,-88,-200,-85,-86,-86,-86,-88,-89,-40,-46,-46,-68,-81,-80,-88,-47,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540969176370,-32,-38,-33,-35,-38,-200,-49,-40,-50,-44,-50,-47,-49,-54,-50,-200,-46,-58,-56,-65,-200,-54,-57,-62,-59,-57,-62,-61,-63,-56,-60,-66,-200,-63,-61,-77,-62,-63,-65,-81,-71,-200,-77,-82,-200,-200,-74,-75,-75,-75,-76,-74,-200,-83,-75,-78,-78,-88,-200,-84,-200,-86,-200,-200,-200,-40,-43,-46,-68,-79,-81,-88,-47,-67,-48,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540969179393,-32,-38,-33,-35,-38,-200,-49,-40,-50,-44,-50,-45,-49,-54,-50,-200,-46,-58,-56,-65,-200,-54,-57,-62,-59,-57,-62,-61,-63,-56,-60,-66,-200,-63,-61,-77,-62,-63,-65,-81,-71,-200,-77,-82,-200,-200,-74,-75,-75,-75,-76,-74,-200,-83,-75,-78,-78,-88,-200,-84,-200,-86,-200,-200,-200,-40,-43,-46,-68,-79,-81,-88,-47,-67,-48,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1540969182430,-34,-36,-33,-35,-37,-42,-49,-40,-51,-44,-50,-52,-49,-57,-50,-200,-46,-60,-56,-65,-200,-57,-57,-62,-51,-57,-62,-63,-60,-57,-60,-66,-64,-63,-61,-77,-59,-63,-65,-74,-73,-200,-78,-80,-83,-200,-70,-76,-76,-75,-76,-76,-90,-78,-75,-79,-78,-88,-200,-84,-200,-200,-200,-200,-200,-40,-43,-46,-68,-79,-81,-88,-47,-67,-48,-62,-63,-68,-69,-76,-88,-200,-200,-200,-200,-200,-200
1540969185453,-34,-36,-33,-35,-37,-42,-49,-40,-51,-44,-50,-51,-49,-57,-50,-200,-46,-60,-56,-65,-200,-57,-57,-62,-51,-57,-62,-63,-60,-57,-60,-66,-64,-63,-61,-77,-59,-63,-65,-74,-73,-200,-78,-80,-83,-200,-70,-76,-76,-75,-76,-76,-90,-78,-75,-79,-78,-88,-200,-84,-200,-200,-200,-200,-200,-40,-43,-46,-68,-79,-81,-88,-47,-67,-48,-62,-63,-68,-69,-76,-88,-200,-200,-200,-200,-200,-200
1540969188486,-34,-53,-42,-35,-41,-42,-50,-37,-51,-44,-49,-48,-200,-60,-56,-200,-46,-52,-58,-65,-200,-57,-57,-62,-51,-57,-63,-63,-58,-57,-53,-66,-64,-66,-61,-77,-63,-68,-69,-70,-71,-200,-76,-85,-83,-200,-69,-74,-76,-73,-69,-76,-90,-79,-75,-80,-84,-88,-200,-80,-200,-200,-200,-200,-200,-45,-43,-46,-68,-79,-86,-88,-47,-64,-52,-62,-63,-68,-69,-76,-88,-49,-54,-66,-200,-200,-200
