,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:19:a8,74:da:da:98:8f:30,74:da:da:98:ea:4c,0c:73:eb:d0:2a:98,0c:73:eb:d0:76:48,74:da:da:98:ea:4d,74:da:da:c1:3c:8d,74:da:da:98:8f:35,74:da:da:98:8f:34,74:da:da:98:8f:64,74:da:da:c1:3c:6d,0c:73:eb:d0:76:40,74:da:da:c0:d8:05,74:da:da:98:db:44,0c:73:eb:d0:2a:58,74:da:da:c0:d8:59,0c:73:eb:d0:76:58,74:da:da:c1:3b:4d,74:da:da:c1:47:cd,0c:73:eb:d0:19:b8,0c:73:eb:d0:19:b0,0c:73:eb:d0:76:30,74:da:da:c1:3b:e9,74:da:da:c1:3c:cd,74:da:da:c1:3b:9d,0c:73:eb:d0:7e:f0,74:da:da:c1:3b:c9,0c:73:eb:d0:2a:10,74:da:da:c1:61:69,0c:73:eb:d0:0e:c0,0c:73:eb:d0:2a:48,74:da:da:c0:e0:81,74:da:da:c0:e0:71,74:da:da:98:8f:65,0c:73:eb:d0:2a:28,74:da:da:c0:e0:69,74:da:da:c1:61:6a,74:da:da:c1:17:75,74:da:da:c0:d7:ed,74:da:da:c1:3b:4e,74:da:da:c1:3c:8e,74:da:da:c1:3c:e1,0c:73:eb:d0:76:20,74:da:da:c0:d7:09,0c:73:eb:d0:2a:18,74:da:da:c1:3b:ea,74:da:da:c1:3b:9e,74:da:da:c0:d7:dd,74:da:da:98:8f:31,74:da:da:c1:3c:ad,c0:61:18:93:3e:54,74:da:da:c1:3c:6e,74:da:da:c0:d8:25,74:da:da:98:ea:5c,0c:73:eb:d0:7e:e8,c0:61:18:93:35:28,0c:73:eb:d0:19:98,74:da:da:98:7a:68,0c:73:eb:d0:19:90,74:da:da:c1:04:49,0c:73:eb:d0:2a:88,0c:73:eb:d0:2a:30,74:da:da:c1:3b:85,0c:73:eb:d0:13:c0,0c:73:eb:d0:0e:d8,74:da:da:98:ea:5d,0c:73:eb:d0:0e:d0,0c:73:eb:d0:76:18,74:da:da:c1:3c:ce,74:da:da:c1:3b:cd,74:da:da:c1:3b:65,74:da:da:c1:3b:69,0c:73:eb:d0:2a:60,74:da:da:98:ea:50,0c:73:eb:d0:76:38,0c:73:eb:d0:19:a0,0c:73:eb:d0:0e:90,74:da:da:c1:3b:86,74:da:da:c1:4a:c9,74:da:da:c1:3b:45,0c:73:eb:d0:7c:30,74:da:da:c1:14:99,74:da:da:c1:3c:91,74:da:da:c0:d7:c5,0c:73:eb:d0:2a:20,74:da:da:c0:d7:e9,74:da:da:98:8f:3c,74:da:da:c1:56:ed,74:da:da:98:7a:60,74:da:da:c1:3d:09,74:da:da:98:7a:4c,0c:73:eb:d0:11:b8,0c:73:eb:d0:11:e8,74:da:da:c0:d7:81,0c:73:eb:d0:7e:d8,74:da:da:c1:02:95,0c:73:eb:d0:19:88,74:da:da:c1:3c:4d
1526450251654,-32,-37,-39,-45,-46,-46,-46,-47,-51,-54,-54,-59,-59,-60,-60,-60,-61,-61,-62,-66,-67,-67,-67,-67,-68,-68,-68,-68,-69,-70,-72,-72,-75,-76,-76,-77,-78,-78,-78,-79,-79,-79,-80,-81,-82,-83,-83,-83,-84,-84,-84,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450254695,-40,-48,-41,-49,-46,-47,-45,-67,-47,-54,-69,-73,-63,-61,-58,-60,-59,-54,-62,-69,-76,-67,-200,-67,-200,-200,-75,-68,-200,-200,-200,-200,-75,-72,-80,-200,-89,-80,-78,-79,-79,-200,-73,-81,-87,-200,-86,-83,-84,-200,-84,-200,-200,-59,-71,-72,-76,-77,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450257748,-44,-47,-41,-47,-43,-47,-45,-62,-50,-55,-69,-68,-61,-60,-56,-200,-55,-53,-62,-72,-73,-72,-72,-66,-74,-200,-75,-200,-200,-71,-74,-84,-200,-47,-80,-71,-89,-80,-200,-78,-76,-200,-63,-200,-87,-200,-86,-200,-85,-86,-200,-78,-200,-59,-71,-72,-73,-77,-84,-77,-78,-80,-82,-83,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450260795,-44,-49,-43,-48,-77,-50,-44,-61,-47,-54,-70,-68,-62,-59,-82,-200,-54,-52,-200,-72,-87,-75,-70,-66,-74,-200,-200,-200,-200,-87,-74,-81,-200,-70,-200,-71,-200,-75,-200,-78,-76,-200,-63,-200,-200,-87,-86,-200,-86,-86,-200,-86,-200,-58,-200,-200,-73,-200,-200,-77,-78,-80,-82,-83,-85,-89,-82,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450263803,-38,-48,-41,-82,-43,-51,-43,-61,-46,-68,-71,-70,-60,-59,-58,-67,-60,-54,-63,-85,-87,-72,-70,-80,-87,-72,-88,-200,-200,-87,-70,-81,-200,-70,-75,-70,-200,-77,-200,-79,-75,-200,-74,-200,-200,-85,-86,-200,-82,-86,-200,-86,-200,-58,-200,-200,-88,-80,-200,-77,-78,-80,-88,-83,-85,-89,-81,-88,-90,-68,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450266807,-39,-47,-38,-51,-43,-47,-44,-61,-46,-54,-71,-70,-57,-59,-65,-68,-56,-55,-66,-70,-200,-86,-200,-68,-87,-73,-76,-71,-200,-74,-72,-200,-84,-71,-75,-66,-88,-87,-75,-76,-76,-200,-64,-200,-86,-85,-200,-200,-79,-200,-200,-200,-200,-61,-200,-200,-76,-80,-200,-200,-200,-200,-88,-200,-200,-200,-83,-200,-200,-68,-89,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450269812,-29,-52,-43,-51,-48,-53,-48,-63,-37,-52,-71,-66,-58,-60,-74,-68,-59,-51,-63,-70,-200,-86,-200,-68,-87,-73,-76,-71,-200,-74,-74,-200,-84,-73,-75,-66,-89,-69,-75,-79,-76,-81,-76,-200,-86,-85,-200,-83,-63,-200,-200,-200,-200,-58,-71,-200,-69,-80,-200,-200,-200,-200,-76,-200,-200,-200,-83,-200,-200,-68,-89,-83,-87,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450272816,-32,-52,-47,-52,-48,-52,-52,-57,-38,-56,-200,-66,-61,-60,-85,-68,-60,-66,-71,-70,-200,-86,-200,-67,-85,-73,-76,-71,-79,-74,-74,-75,-87,-79,-200,-66,-89,-69,-83,-77,-86,-81,-76,-200,-86,-83,-200,-83,-84,-200,-200,-200,-200,-59,-69,-200,-69,-200,-200,-200,-200,-200,-76,-200,-200,-200,-82,-200,-200,-200,-200,-83,-87,-82,-79,-84,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450275855,-38,-52,-43,-52,-49,-50,-50,-57,-36,-56,-61,-200,-60,-60,-54,-200,-61,-51,-64,-200,-200,-200,-76,-69,-76,-73,-78,-200,-79,-73,-67,-75,-87,-57,-200,-200,-200,-69,-86,-75,-86,-200,-200,-200,-200,-87,-76,-200,-80,-200,-200,-83,-200,-59,-73,-200,-70,-82,-200,-200,-200,-200,-76,-77,-80,-200,-82,-200,-200,-200,-200,-200,-200,-200,-74,-84,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
