,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:19:a8,74:da:da:c1:3b:4d,74:da:da:98:8f:30,74:da:da:98:ea:4c,74:da:da:98:8f:34,74:da:da:c1:3c:6d,0c:73:eb:d0:2a:98,74:da:da:c1:47:cd,74:da:da:98:ea:5c,74:da:da:98:ea:4d,74:da:da:98:8f:64,0c:73:eb:d0:76:20,0c:73:eb:d0:76:48,0c:73:eb:d0:76:58,74:da:da:c0:d8:59,74:da:da:c1:3c:8d,0c:73:eb:d0:2a:58,74:da:da:c0:e0:71,74:da:da:98:db:44,0c:73:eb:d0:7e:f0,74:da:da:c1:3b:9d,0c:73:eb:d0:76:40,74:da:da:c0:d7:ed,74:da:da:c1:3b:cd,0c:73:eb:d0:19:b0,0c:73:eb:d0:76:30,74:da:da:c1:3c:cd,74:da:da:c0:d8:05,74:da:da:c1:3b:e9,74:da:da:98:8f:35,74:da:da:98:8f:31,0c:73:eb:d0:2a:28,74:da:da:c1:61:69,74:da:da:98:8f:65,74:da:da:c1:3b:9e,74:da:da:c1:3b:69,74:da:da:c1:3b:65,0c:73:eb:d0:7e:d8,0c:73:eb:d0:0e:c0,74:da:da:c1:3b:4e,0c:73:eb:d0:76:38,0c:73:eb:d0:19:a0,74:da:da:c1:3c:8e,74:da:da:98:ea:5d,0c:73:eb:d0:19:98,74:da:da:98:8f:3c,0c:73:eb:d0:2a:48,74:da:da:c1:17:75,0c:73:eb:d0:2a:20,0c:73:eb:d0:76:18,74:da:da:98:db:45,0c:73:eb:d0:11:b0,74:da:da:c0:d7:81,74:da:da:c1:3b:c9,74:da:da:c0:d7:c5,0c:73:eb:d0:11:e0,74:da:da:c1:14:99,74:da:da:c1:3b:ea,0c:73:eb:d0:19:b8,74:da:da:c1:61:6a,0c:73:eb:d0:2a:88,74:da:da:c1:3c:6e,74:da:da:98:ea:50,74:da:da:c0:f3:59,74:da:da:98:90:94,74:da:da:c0:e0:72,74:da:da:c1:3b:86,0c:73:eb:d0:13:c8,0c:73:eb:d0:0e:d0,74:da:da:c1:3b:85,0c:73:eb:d0:0e:d8,0c:73:eb:d0:13:a8,74:da:da:c0:d7:09,74:da:da:98:7a:68,74:da:da:c1:02:95,c0:61:18:93:35:28,74:da:da:c0:e0:81,74:da:da:c1:3c:ad,74:da:da:98:7a:60,0c:73:eb:d0:13:c0,0c:73:eb:d0:19:90,74:da:da:c1:3c:55,74:da:da:c1:3c:ce,74:da:da:98:8f:3d,74:da:da:c1:4a:c9,0c:73:eb:d0:2a:60,0c:73:eb:d0:7c:38,0c:73:eb:d0:2a:30,74:da:da:c1:3c:11,0c:73:eb:d0:7e:e8,74:da:da:c1:3d:0d,74:da:da:c0:d7:dd,74:da:da:c1:3c:d1,74:da:da:c1:3c:45,74:da:da:c1:3d:85,0c:73:eb:d0:11:b8,0c:73:eb:d0:7f:10,0c:73:eb:d0:19:88,74:da:da:c1:3c:e1,74:da:da:c1:3c:56,74:da:da:c1:4a:7d,74:da:da:c0:d7:e9,74:da:da:c0:e0:69,0c:73:eb:d0:13:b0
1526451030169,-28,-32,-37,-42,-44,-46,-48,-49,-49,-50,-51,-52,-53,-54,-56,-57,-59,-60,-61,-61,-61,-62,-63,-63,-65,-66,-66,-66,-67,-68,-68,-70,-70,-71,-72,-72,-72,-73,-73,-74,-74,-74,-75,-75,-76,-76,-77,-77,-77,-78,-80,-80,-81,-81,-81,-82,-82,-83,-84,-85,-86,-87,-87,-88,-88,-89,-90,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451033194,-27,-37,-39,-43,-43,-200,-46,-58,-44,-56,-51,-51,-62,-60,-72,-59,-75,-60,-56,-200,-61,-59,-200,-63,-65,-64,-200,-75,-69,-72,-76,-70,-200,-56,-84,-72,-72,-200,-66,-79,-72,-74,-73,-82,-89,-200,-77,-200,-200,-78,-81,-200,-200,-81,-81,-200,-82,-200,-200,-85,-86,-84,-200,-200,-88,-89,-200,-94,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451036226,-33,-35,-33,-42,-47,-200,-48,-58,-43,-56,-49,-51,-62,-60,-57,-62,-75,-66,-56,-200,-61,-59,-200,-63,-68,-68,-67,-69,-66,-70,-79,-68,-73,-66,-84,-72,-70,-200,-66,-76,-72,-78,-73,-82,-89,-200,-68,-64,-200,-77,-78,-200,-200,-81,-81,-87,-82,-200,-200,-85,-86,-83,-200,-200,-88,-89,-200,-82,-89,-69,-74,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451039277,-31,-32,-39,-41,-45,-62,-50,-59,-48,-57,-50,-51,-57,-63,-61,-56,-67,-78,-56,-200,-200,-76,-200,-200,-75,-68,-67,-69,-66,-69,-80,-68,-73,-70,-84,-70,-70,-200,-66,-77,-72,-78,-73,-82,-89,-200,-75,-64,-200,-82,-80,-200,-73,-200,-81,-87,-200,-82,-68,-83,-79,-83,-200,-200,-200,-200,-200,-82,-89,-69,-74,-84,-80,-80,-80,-83,-86,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451042286,-32,-33,-38,-40,-47,-62,-75,-57,-42,-62,-49,-50,-56,-53,-68,-56,-63,-63,-62,-200,-62,-60,-68,-67,-75,-67,-200,-200,-67,-72,-70,-200,-200,-64,-86,-71,-200,-200,-200,-74,-200,-200,-78,-77,-69,-200,-66,-65,-200,-82,-80,-200,-73,-200,-80,-200,-200,-82,-68,-86,-79,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-80,-80,-78,-86,-86,-90,-71,-73,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451045290,-33,-31,-38,-40,-48,-62,-49,-57,-42,-67,-47,-51,-57,-53,-68,-56,-59,-61,-62,-200,-62,-59,-65,-66,-79,-67,-66,-200,-66,-71,-70,-67,-200,-65,-85,-70,-68,-200,-200,-75,-80,-200,-75,-79,-68,-200,-72,-64,-200,-82,-80,-200,-73,-200,-80,-89,-200,-82,-70,-86,-79,-85,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-80,-80,-80,-78,-86,-86,-90,-71,-71,-81,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451048345,-32,-31,-37,-38,-53,-200,-49,-58,-41,-67,-49,-52,-57,-53,-64,-52,-59,-61,-62,-200,-62,-64,-67,-66,-79,-59,-66,-200,-66,-64,-67,-75,-200,-63,-85,-70,-68,-200,-69,-79,-71,-200,-79,-79,-70,-200,-72,-65,-200,-200,-82,-200,-200,-70,-80,-89,-200,-200,-73,-82,-200,-85,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-83,-200,-71,-71,-81,-89,-91,-77,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451051393,-38,-36,-35,-41,-48,-200,-51,-52,-42,-55,-49,-58,-56,-52,-64,-52,-200,-200,-64,-200,-69,-63,-61,-60,-200,-59,-200,-65,-200,-68,-71,-75,-75,-65,-200,-70,-70,-200,-69,-74,-77,-75,-81,-200,-77,-200,-68,-65,-200,-200,-82,-200,-200,-70,-200,-200,-200,-82,-76,-81,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-83,-200,-77,-200,-200,-200,-200,-77,-90,-78,-83,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451054398,-39,-37,-31,-41,-53,-200,-52,-56,-45,-56,-200,-53,-55,-52,-200,-52,-56,-64,-64,-70,-69,-62,-61,-78,-200,-59,-64,-66,-200,-67,-73,-71,-75,-64,-200,-70,-72,-200,-200,-74,-77,-75,-78,-200,-77,-200,-68,-68,-200,-200,-84,-200,-80,-72,-200,-200,-200,-81,-76,-83,-74,-200,-200,-200,-200,-200,-200,-200,-76,-72,-75,-200,-200,-66,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-78,-83,-83,-77,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
