,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,DLINK_D00EB8,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A58,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68
,0c:73:eb:d0:19:98,74:da:da:c1:3b:65,74:da:da:98:8f:3c,74:da:da:c1:3b:66,0c:73:eb:d0:76:38,74:da:da:c1:3b:69,74:da:da:98:8f:3d,74:da:da:98:8f:30,0c:73:eb:d0:2a:18,74:da:da:c1:3b:cd,74:da:da:c0:d8:25,0c:73:eb:d0:7e:e0,74:da:da:98:8f:65,74:da:da:98:8f:64,74:da:da:98:ea:5c,74:da:da:c1:3b:6a,74:da:da:c1:3d:05,74:da:da:c1:3d:09,0c:73:eb:d0:0e:b0,0c:73:eb:d0:76:48,74:da:da:c1:3b:ce,c0:61:18:93:3e:54,74:da:da:c1:3b:c9,0c:73:eb:d0:76:58,74:da:da:c1:3c:8d,74:da:da:98:8f:31,74:da:da:c0:d7:e9,0c:73:eb:d0:19:88,0c:73:eb:d0:13:a8,0c:73:eb:d0:0e:b8,74:da:da:c1:3b:85,c0:61:18:93:35:28,74:da:da:98:8f:35,74:da:da:c1:61:69,0c:73:eb:d0:76:20,74:da:da:98:92:14,74:da:da:c1:3b:45,0c:73:eb:d0:19:b8,74:da:da:c1:5e:ed,0c:73:eb:d0:0e:c0,0c:73:eb:d0:2a:10,74:da:da:c0:d7:c5,74:da:da:c1:3b:4d,74:da:da:c1:3c:e1,74:da:da:98:db:44,74:da:da:98:8f:34,74:da:da:c1:17:75,0c:73:eb:d0:7c:38,74:da:da:c0:d7:81,74:da:da:c1:3d:0d,74:da:da:c1:03:61,74:da:da:98:ea:4c,0c:73:eb:d0:76:30,0c:73:eb:d0:0e:d8,74:da:da:c1:3c:ce,0c:73:eb:d0:11:e0,74:da:da:c1:3b:ca,74:da:da:98:ea:5d,74:da:da:c1:3c:cd,74:da:da:c1:3c:51,0c:73:eb:d0:19:a8,0c:73:eb:d0:0e:90,0c:73:eb:d0:2a:58,0c:73:eb:d0:2a:28,74:da:da:c0:d8:7d,74:da:da:c1:14:99,74:da:da:c1:3d:85,0c:73:eb:d0:76:40,74:da:da:c1:3c:8e,0c:73:eb:d0:19:a0,0c:73:eb:d0:2a:60,74:da:da:c1:3c:4d,74:da:da:c0:d7:b9,74:da:da:c1:3c:6d,74:da:da:c1:3c:ad,74:da:da:c1:3b:49,74:da:da:c0:d7:dd,0c:73:eb:d0:2a:68
1526465730443,-37,-49,-52,-58,-61,-64,-65,-65,-65,-66,-71,-73,-74,-75,-75,-76,-77,-77,-77,-79,-80,-80,-80,-81,-81,-82,-83,-84,-85,-86,-87,-88,-88,-88,-90,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465733480,-34,-48,-53,-64,-63,-66,-63,-65,-54,-52,-65,-73,-85,-63,-64,-75,-82,-72,-79,-200,-77,-71,-75,-67,-81,-82,-71,-75,-200,-79,-87,-200,-200,-200,-200,-200,-93,-73,-75,-77,-79,-85,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465736512,-41,-51,-53,-62,-59,-64,-62,-69,-52,-53,-64,-76,-85,-63,-60,-75,-83,-74,-80,-200,-75,-71,-75,-64,-77,-200,-74,-75,-200,-79,-200,-200,-200,-200,-200,-200,-200,-74,-75,-77,-79,-85,-87,-89,-77,-80,-81,-82,-83,-84,-87,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465739516,-41,-53,-52,-62,-64,-67,-62,-69,-55,-53,-64,-74,-87,-63,-65,-75,-83,-75,-82,-200,-78,-73,-200,-68,-77,-82,-67,-200,-200,-79,-200,-200,-90,-200,-200,-200,-200,-71,-200,-200,-79,-82,-200,-200,-77,-80,-81,-82,-83,-84,-87,-92,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465742560,-42,-48,-48,-65,-64,-59,-67,-63,-49,-54,-65,-69,-87,-200,-65,-77,-83,-74,-83,-72,-78,-73,-200,-66,-73,-68,-70,-87,-200,-78,-200,-200,-90,-200,-200,-200,-84,-71,-200,-76,-200,-82,-86,-200,-200,-200,-200,-87,-200,-83,-200,-200,-72,-80,-88,-89,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465745620,-35,-52,-51,-64,-67,-62,-67,-59,-54,-52,-66,-72,-87,-200,-65,-77,-81,-74,-85,-72,-78,-73,-200,-66,-76,-80,-70,-87,-83,-78,-200,-84,-90,-74,-200,-200,-84,-71,-200,-76,-81,-82,-86,-200,-200,-200,-200,-87,-200,-83,-200,-200,-72,-80,-90,-89,-89,-91,-72,-75,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465748670,-43,-46,-50,-62,-73,-61,-63,-63,-48,-53,-65,-76,-83,-66,-200,-77,-82,-75,-81,-71,-77,-73,-74,-67,-78,-80,-70,-84,-80,-77,-200,-83,-200,-77,-85,-200,-200,-72,-200,-79,-81,-200,-85,-88,-82,-200,-79,-200,-200,-200,-200,-200,-69,-80,-88,-200,-89,-200,-72,-75,-84,-90,-77,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465751725,-34,-46,-50,-62,-67,-62,-65,-62,-51,-51,-65,-72,-87,-65,-200,-78,-80,-75,-81,-71,-78,-72,-74,-64,-77,-81,-68,-84,-87,-77,-200,-83,-200,-78,-83,-200,-200,-72,-200,-78,-81,-200,-85,-88,-82,-79,-79,-85,-200,-200,-200,-90,-71,-79,-88,-200,-89,-200,-72,-75,-84,-90,-77,-85,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465754748,-41,-47,-58,-75,-67,-65,-62,-62,-45,-56,-59,-69,-90,-65,-200,-78,-80,-74,-200,-200,-78,-69,-72,-63,-75,-62,-68,-77,-87,-75,-200,-76,-200,-76,-83,-200,-200,-75,-72,-78,-85,-200,-200,-200,-200,-79,-200,-85,-200,-82,-200,-90,-71,-79,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-89,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465757805,-37,-40,-58,-62,-200,-61,-59,-57,-51,-58,-63,-69,-90,-74,-200,-78,-79,-72,-79,-200,-82,-69,-72,-62,-70,-78,-200,-76,-200,-81,-200,-76,-200,-76,-200,-200,-79,-75,-74,-200,-85,-200,-200,-200,-80,-200,-78,-81,-200,-82,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465760810,-34,-54,-52,-62,-65,-56,-59,-64,-72,-56,-75,-69,-81,-65,-69,-69,-73,-73,-86,-200,-79,-200,-74,-68,-82,-80,-74,-200,-200,-79,-200,-200,-200,-200,-85,-88,-87,-72,-200,-200,-200,-200,-200,-200,-88,-200,-81,-200,-200,-83,-200,-200,-68,-200,-200,-200,-200,-200,-72,-200,-89,-200,-81,-200,-200,-200,-200,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
