,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
,74:da:da:98:8f:34,0c:73:eb:d0:76:48,74:da:da:c1:3c:8d,74:da:da:98:8f:30,0c:73:eb:d0:2a:58,74:da:da:98:8f:35,74:da:da:c1:3c:ce,0c:73:eb:d0:19:a8,74:da:da:c1:3c:8e,74:da:da:c1:3c:cd,74:da:da:c0:e0:69,0c:73:eb:d0:76:58,0c:73:eb:d0:7e:e8,74:da:da:c0:d8:05,74:da:da:c0:d7:e9,0c:73:eb:d0:19:98,74:da:da:98:8f:64,0c:73:eb:d0:19:b8,0c:73:eb:d0:19:a0,0c:73:eb:d0:2a:10,0c:73:eb:d0:76:30,74:da:da:c1:56:ed,74:da:da:c1:3d:09,74:da:da:98:ea:4c,74:da:da:c1:3b:4d,0c:73:eb:d0:0e:c0,c0:61:18:93:35:28,74:da:da:c1:3d:85,74:da:da:98:8f:65,74:da:da:98:8f:31,74:da:da:c0:d7:dd,0c:73:eb:d0:2a:98,74:da:da:c1:3b:ca,0c:73:eb:d0:76:38,74:da:da:c1:3b:65,74:da:da:c1:3c:4d,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:6d,74:da:da:c1:3d:35,0c:73:eb:d0:7c:38,74:da:da:c1:3c:51,74:da:da:c0:d8:59,74:da:da:c1:17:75,0c:73:eb:d0:7e:f0,74:da:da:c1:3b:69,74:da:da:c1:3b:cd,74:da:da:c1:3b:86,74:da:da:98:db:44,0c:73:eb:d0:2a:18,74:da:da:c0:e0:81,74:da:da:98:ea:4d,74:da:da:c0:d7:19,0c:73:eb:d0:2a:48,74:da:da:c0:d7:81,74:da:da:c0:d7:c5,74:da:da:98:8f:3d,74:da:da:98:ea:5d,74:da:da:c1:56:ee,74:da:da:98:ea:5c,74:da:da:c1:3b:c9,0c:73:eb:d0:13:a8,0c:73:eb:d0:0e:90,74:da:da:c1:61:69,74:da:da:c0:e0:6a,74:da:da:98:8f:3c,74:da:da:98:ea:50,0c:73:eb:d0:0e:d8,0c:73:eb:d0:76:20,0c:73:eb:d0:76:40,74:da:da:c1:3c:55,0c:73:eb:d0:76:18,74:da:da:c1:3b:66,74:da:da:c0:d7:ed,74:da:da:c0:d8:25,0c:73:eb:d0:19:b0,74:da:da:c1:3b:85,0c:73:eb:d0:2a:30,74:da:da:c0:d7:9d,0c:73:eb:d0:0e:98,74:da:da:c1:3b:46,74:da:da:c1:04:45,74:da:da:c1:3b:45,0c:73:eb:d0:0e:d0,0c:73:eb:d0:2a:28,74:da:da:c1:47:cd,0c:73:eb:d0:7f:10,74:da:da:98:92:14,74:da:da:c1:3c:e1,0c:73:eb:d0:13:a0,0c:73:eb:d0:19:88,74:da:da:c1:3c:99,74:da:da:c1:3c:85,74:da:da:c1:04:4d,74:da:da:c0:e0:71,74:da:da:c1:25:9d,0c:73:eb:d0:11:e0,74:da:da:98:7a:68,74:da:da:c0:d7:de
1526452125461,-36,-38,-40,-44,-45,-46,-49,-51,-52,-52,-53,-54,-57,-57,-57,-60,-62,-64,-64,-64,-65,-66,-66,-68,-68,-68,-68,-69,-70,-70,-71,-73,-73,-73,-73,-75,-76,-76,-77,-77,-77,-77,-77,-78,-78,-79,-80,-80,-80,-80,-81,-83,-84,-84,-88,-88,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452128481,-59,-40,-41,-44,-49,-46,-66,-53,-49,-47,-60,-54,-57,-52,-200,-61,-79,-59,-70,-66,-67,-57,-84,-68,-67,-63,-64,-88,-72,-72,-71,-200,-74,-73,-73,-200,-87,-76,-92,-88,-200,-80,-77,-72,-89,-72,-200,-69,-75,-200,-73,-200,-200,-84,-90,-89,-88,-90,-63,-70,-73,-75,-81,-85,-85,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452131493,-42,-33,-41,-52,-47,-47,-68,-52,-49,-47,-59,-46,-57,-59,-62,-60,-61,-64,-73,-60,-68,-53,-73,-52,-69,-82,-64,-88,-73,-73,-71,-68,-73,-73,-200,-69,-87,-200,-92,-88,-200,-82,-75,-72,-89,-74,-200,-69,-75,-200,-73,-200,-200,-200,-84,-89,-86,-200,-63,-56,-73,-75,-81,-85,-73,-86,-91,-67,-70,-86,-87,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452134516,-45,-32,-40,-49,-48,-45,-70,-52,-49,-47,-61,-46,-59,-55,-58,-62,-61,-64,-73,-62,-68,-80,-73,-53,-70,-64,-65,-69,-71,-71,-71,-68,-74,-73,-200,-69,-87,-200,-92,-80,-84,-82,-75,-73,-79,-71,-200,-68,-75,-70,-70,-200,-200,-200,-84,-89,-86,-200,-63,-61,-69,-75,-81,-85,-73,-86,-91,-67,-70,-86,-87,-89,-89,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452137522,-41,-39,-40,-48,-49,-46,-70,-51,-49,-45,-61,-49,-59,-56,-62,-59,-61,-57,-200,-62,-68,-56,-73,-53,-70,-63,-65,-73,-71,-71,-72,-70,-74,-200,-200,-200,-200,-200,-200,-80,-84,-200,-65,-70,-79,-71,-81,-68,-200,-70,-69,-200,-200,-200,-84,-89,-86,-200,-62,-62,-71,-200,-200,-200,-73,-200,-200,-75,-200,-200,-200,-88,-200,-77,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452140539,-44,-33,-39,-48,-69,-46,-70,-54,-49,-46,-56,-46,-200,-55,-60,-59,-200,-57,-200,-62,-68,-56,-74,-61,-73,-63,-62,-73,-47,-71,-72,-66,-74,-77,-200,-200,-75,-200,-78,-200,-200,-200,-65,-69,-77,-200,-70,-200,-200,-200,-72,-200,-200,-200,-200,-88,-200,-200,-60,-62,-71,-76,-200,-200,-200,-200,-200,-65,-200,-200,-200,-88,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452143543,-46,-32,-40,-49,-48,-46,-70,-51,-49,-46,-59,-49,-54,-55,-79,-61,-77,-57,-89,-62,-82,-72,-84,-61,-72,-65,-64,-73,-72,-72,-72,-76,-76,-77,-200,-200,-75,-200,-78,-200,-200,-89,-87,-85,-88,-72,-73,-68,-75,-200,-72,-200,-200,-200,-92,-88,-200,-200,-75,-62,-71,-76,-200,-200,-85,-200,-90,-66,-200,-200,-200,-88,-200,-89,-84,-84,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452146550,-43,-32,-39,-50,-70,-46,-70,-51,-50,-45,-57,-46,-64,-55,-61,-57,-77,-200,-89,-64,-82,-52,-84,-53,-72,-64,-64,-72,-71,-71,-73,-69,-75,-200,-200,-200,-200,-200,-200,-79,-200,-89,-76,-85,-88,-72,-81,-68,-83,-200,-73,-200,-200,-200,-92,-200,-88,-200,-75,-58,-200,-200,-200,-200,-85,-69,-90,-66,-200,-200,-200,-88,-200,-89,-82,-84,-85,-88,-83,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452149555,-43,-33,-39,-47,-48,-46,-69,-50,-50,-45,-57,-49,-54,-54,-61,-57,-77,-55,-79,-63,-82,-58,-84,-53,-72,-64,-64,-72,-71,-72,-73,-68,-75,-200,-200,-200,-200,-200,-200,-79,-200,-89,-76,-85,-88,-72,-81,-66,-74,-73,-69,-200,-200,-200,-92,-89,-88,-200,-62,-58,-73,-200,-200,-200,-85,-69,-90,-66,-200,-200,-200,-88,-200,-80,-82,-84,-85,-88,-86,-89,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452152606,-34,-29,-39,-48,-46,-47,-71,-53,-51,-45,-63,-50,-54,-59,-61,-57,-200,-54,-79,-63,-200,-83,-200,-53,-72,-64,-66,-200,-70,-76,-67,-64,-76,-200,-200,-200,-200,-200,-200,-200,-200,-79,-78,-71,-73,-68,-79,-70,-77,-73,-76,-200,-200,-200,-200,-89,-200,-200,-66,-200,-73,-200,-200,-200,-200,-76,-200,-64,-200,-200,-200,-200,-200,-80,-200,-89,-200,-200,-86,-200,-78,-73,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452155616,-43,-36,-39,-50,-49,-47,-68,-53,-51,-47,-62,-71,-73,-64,-60,-60,-200,-55,-200,-200,-68,-60,-200,-52,-200,-200,-66,-71,-70,-76,-70,-64,-76,-200,-200,-200,-200,-200,-200,-200,-200,-79,-78,-70,-73,-68,-76,-63,-77,-73,-74,-200,-200,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-76,-78,-65,-70,-85,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-73,-84,-86,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
