,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,DQKJ,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro
,0c:73:eb:d0:76:48,74:da:da:98:8f:34,74:da:da:c1:3c:8d,0c:73:eb:d0:2a:10,0c:73:eb:d0:7e:e8,74:da:da:c1:3c:cd,74:da:da:c0:e0:69,0c:73:eb:d0:19:a8,0c:73:eb:d0:2a:58,74:da:da:98:8f:35,74:da:da:c0:d7:dd,74:da:da:98:8f:30,74:da:da:98:ea:4c,74:da:da:c1:3c:8e,74:da:da:c0:d8:05,0c:73:eb:d0:2a:98,74:da:da:98:8f:64,74:da:da:c1:3b:cd,74:da:da:c1:56:ed,0c:73:eb:d0:19:b8,74:da:da:c1:3b:c9,0c:73:eb:d0:76:30,c0:61:18:93:35:28,0c:73:eb:d0:19:98,0c:73:eb:d0:76:58,0c:73:eb:d0:7e:f0,74:da:da:c1:3b:4d,74:da:da:c1:3d:85,0c:73:eb:d0:0e:90,c0:61:18:93:3e:54,74:da:da:c1:3c:ce,74:da:da:98:8f:31,74:da:da:98:ea:4d,74:da:da:c1:3c:55,0c:73:eb:d0:13:a0,0c:73:eb:d0:2a:18,74:da:da:98:92:14,74:da:da:c0:d7:19,74:da:da:c1:3b:ca,74:da:da:c1:3c:51,74:da:da:c0:d8:59,74:da:da:c0:e0:71,74:da:da:98:8f:65,0c:73:eb:d0:7f:10,74:da:da:c0:d7:de,74:da:da:c1:3b:65,0c:73:eb:d0:13:a8,0c:73:eb:d0:19:a0,74:da:da:98:8f:3c,0c:73:eb:d0:7e:e0,74:da:da:98:7a:68,74:da:da:c1:17:75,74:da:da:c0:d8:25,0c:73:eb:d0:19:90,74:da:da:c1:3c:4d,0c:73:eb:d0:76:38,74:da:da:c0:d7:e9,0c:73:eb:d0:11:e0,0c:73:eb:d0:7c:38,74:da:da:98:db:44,74:da:da:c1:25:9d,74:da:da:c1:3b:e9,74:da:da:c0:e0:81,74:da:da:c1:3d:09,0c:73:eb:d0:0e:d8,74:da:da:c1:3c:6d,74:da:da:98:ea:50,74:da:da:c1:3b:66,74:da:da:c1:3d:35,0c:73:eb:d0:19:88,74:da:da:c1:3b:69,74:da:da:c1:3b:79,74:da:da:98:ea:5c,74:da:da:c1:04:49,0c:73:eb:d0:0e:b0,0c:73:eb:d0:0e:c0,ec:26:ca:0b:d4:1e,0c:73:eb:d0:76:40,74:da:da:98:8f:3d,74:da:da:c1:47:cd,74:da:da:c0:d7:c5,74:da:da:c1:3b:85,0c:73:eb:d0:13:c0,74:da:da:c1:3b:9d,0c:73:eb:d0:2a:48,0c:73:eb:d0:76:20,74:da:da:c0:d7:ed,0c:73:eb:d0:7a:68,0c:73:eb:d0:2a:30,74:da:da:c0:d7:81
1526452202798,-31,-46,-49,-50,-51,-52,-52,-53,-53,-56,-56,-57,-57,-59,-59,-60,-60,-61,-62,-62,-62,-63,-65,-66,-68,-70,-70,-71,-75,-76,-78,-78,-78,-78,-79,-80,-80,-80,-83,-83,-83,-83,-85,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452205817,-29,-47,-50,-48,-51,-52,-62,-53,-51,-56,-58,-52,-53,-59,-60,-72,-200,-200,-61,-62,-66,-75,-65,-67,-66,-200,-200,-71,-74,-75,-78,-77,-78,-78,-79,-80,-200,-200,-84,-82,-83,-83,-85,-88,-200,-71,-71,-74,-76,-81,-85,-85,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452208822,-32,-45,-49,-51,-50,-50,-64,-59,-51,-57,-71,-56,-56,-59,-62,-72,-200,-81,-61,-55,-66,-58,-65,-67,-67,-200,-89,-72,-74,-75,-78,-78,-78,-88,-79,-80,-200,-82,-83,-82,-73,-83,-83,-88,-200,-71,-73,-85,-76,-81,-85,-86,-83,-87,-68,-74,-78,-79,-81,-81,-82,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452211830,-29,-45,-53,-51,-53,-68,-64,-53,-51,-57,-56,-56,-56,-59,-60,-66,-200,-81,-62,-61,-200,-62,-65,-68,-67,-200,-89,-72,-200,-75,-79,-77,-77,-77,-200,-80,-200,-82,-84,-200,-73,-200,-85,-200,-200,-200,-73,-72,-200,-78,-200,-86,-83,-200,-68,-74,-78,-79,-69,-81,-81,-89,-90,-75,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452214839,-29,-44,-49,-48,-52,-50,-63,-58,-53,-57,-54,-55,-55,-59,-58,-66,-200,-81,-62,-61,-200,-62,-65,-70,-68,-76,-74,-72,-200,-75,-77,-77,-78,-77,-200,-80,-200,-82,-84,-200,-73,-83,-59,-200,-200,-200,-73,-72,-76,-78,-200,-86,-83,-200,-68,-75,-78,-79,-69,-79,-81,-89,-64,-75,-78,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452217843,-30,-45,-49,-56,-52,-50,-64,-54,-51,-57,-57,-56,-55,-59,-58,-71,-200,-200,-62,-57,-61,-85,-65,-70,-66,-71,-76,-200,-200,-74,-77,-77,-75,-76,-200,-200,-200,-88,-58,-200,-73,-83,-84,-90,-200,-200,-73,-200,-76,-80,-200,-200,-200,-200,-200,-74,-74,-200,-200,-79,-200,-200,-88,-200,-78,-85,-75,-77,-78,-80,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452220859,-29,-46,-49,-52,-51,-50,-63,-59,-51,-57,-57,-58,-55,-59,-58,-71,-200,-200,-62,-61,-61,-58,-65,-68,-67,-71,-76,-71,-200,-74,-79,-77,-79,-76,-200,-200,-200,-78,-84,-200,-73,-200,-57,-90,-200,-200,-72,-200,-200,-80,-200,-200,-200,-200,-200,-75,-74,-78,-70,-79,-200,-200,-82,-78,-200,-200,-79,-77,-78,-80,-85,-89,-72,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452223870,-29,-45,-48,-49,-51,-52,-63,-54,-51,-57,-58,-57,-59,-59,-58,-71,-200,-200,-77,-62,-61,-58,-65,-68,-81,-71,-76,-71,-91,-90,-79,-77,-78,-88,-200,-200,-200,-90,-77,-200,-73,-200,-84,-90,-200,-200,-72,-200,-200,-80,-200,-200,-87,-200,-200,-75,-74,-78,-70,-79,-200,-200,-82,-78,-200,-200,-79,-77,-78,-80,-85,-89,-70,-90,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452226874,-29,-46,-46,-48,-66,-51,-200,-58,-52,-57,-54,-55,-56,-59,-59,-73,-200,-200,-61,-60,-200,-200,-65,-70,-81,-73,-76,-200,-91,-77,-57,-77,-78,-88,-200,-200,-200,-78,-77,-200,-74,-200,-84,-200,-200,-200,-200,-72,-75,-200,-200,-200,-87,-89,-200,-75,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-74,-200,-200,-200,-200,-200,-69,-200,-86,-90,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
