,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DQKJ,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz
,74:da:da:c1:3c:8d,0c:73:eb:d0:76:48,74:da:da:c1:3c:cd,74:da:da:98:8f:34,0c:73:eb:d0:7e:e8,74:da:da:c1:56:ed,74:da:da:98:8f:3c,74:da:da:98:8f:35,74:da:da:c1:3c:8e,74:da:da:98:8f:30,0c:73:eb:d0:2a:58,0c:73:eb:d0:19:98,0c:73:eb:d0:19:b8,74:da:da:c1:3b:c9,74:da:da:c1:3d:85,c0:61:18:93:35:28,74:da:da:c0:d7:dd,0c:73:eb:d0:2a:98,74:da:da:98:8f:31,74:da:da:c1:3d:35,74:da:da:98:ea:5c,74:da:da:98:ea:4c,0c:73:eb:d0:76:58,0c:73:eb:d0:76:38,74:da:da:c1:3c:ce,0c:73:eb:d0:19:a8,74:da:da:98:8f:64,0c:73:eb:d0:13:a8,74:da:da:98:8f:65,74:da:da:c1:3b:cd,0c:73:eb:d0:0e:d8,0c:73:eb:d0:2a:10,74:da:da:c0:d8:59,0c:73:eb:d0:76:30,74:da:da:c1:3d:09,0c:73:eb:d0:7c:38,74:da:da:c1:3b:66,74:da:da:c1:3b:85,74:da:da:c0:d8:25,74:da:da:c0:d7:19,74:da:da:98:8f:3d,74:da:da:98:ea:4d,74:da:da:c1:3b:ca,74:da:da:c0:e0:69,c0:61:18:93:3e:54,74:da:da:c1:17:75,74:da:da:c1:3d:05,74:da:da:c0:d8:05,74:da:da:c0:d7:de,74:da:da:c0:e2:d9,0c:73:eb:d0:0e:90,0c:73:eb:d0:19:a0,0c:73:eb:d0:19:88,ec:26:ca:0b:d4:1e,0c:73:eb:d0:13:d0,0c:73:eb:d0:7a:68,74:da:da:98:92:14,74:da:da:c1:3b:4d,0c:73:eb:d0:2a:18,74:da:da:c0:d7:e9,74:da:da:c1:3b:69,74:da:da:c1:3b:e9,74:da:da:c1:56:ee,74:da:da:c0:d7:c5,74:da:da:c1:3c:6d,74:da:da:c1:3c:4d,0c:73:eb:d0:7e:f0,0c:73:eb:d0:0e:98,74:da:da:98:85:60,74:da:da:98:ea:5d,74:da:da:98:85:00,0c:73:eb:d0:76:20,0c:73:eb:d0:13:a0,0c:73:eb:d0:7e:e0,74:da:da:c1:25:9d,0c:73:eb:d0:19:b0,0c:73:eb:d0:7c:00,74:da:da:c0:e0:81,74:da:da:c1:04:4d,74:da:da:c0:e0:71,0c:73:eb:d0:7f:08,74:da:da:c1:3b:65,74:da:da:c0:d7:b9,0c:73:eb:d0:11:e0,0c:73:eb:d0:2a:28,74:da:da:98:ea:50,0c:73:eb:d0:0e:c0,74:da:da:c0:d7:81,0c:73:eb:d0:7f:18,0c:73:eb:d0:2a:60,0c:73:eb:d0:19:90,74:da:da:c0:d8:1d,0c:73:eb:d0:7e:f8,0c:73:eb:d0:76:18,0c:73:eb:d0:0e:b0,74:da:da:c0:e0:6a
1526453414353,-32,-38,-49,-52,-55,-56,-58,-59,-59,-59,-60,-60,-61,-62,-63,-66,-67,-69,-72,-72,-72,-72,-73,-73,-74,-74,-74,-74,-75,-75,-75,-76,-76,-77,-77,-77,-78,-78,-78,-78,-79,-80,-80,-80,-81,-81,-82,-83,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453417394,-19,-33,-41,-49,-54,-46,-58,-61,-57,-52,-59,-60,-50,-53,-56,-65,-67,-62,-62,-200,-72,-72,-73,-75,-70,-58,-74,-67,-75,-75,-69,-47,-76,-49,-76,-69,-76,-200,-200,-75,-80,-80,-68,-68,-200,-200,-82,-81,-200,-200,-69,-70,-76,-80,-80,-81,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453420400,-36,-33,-42,-49,-54,-45,-200,-61,-57,-52,-62,-200,-50,-51,-59,-72,-67,-62,-62,-200,-200,-61,-72,-75,-70,-57,-200,-71,-200,-66,-69,-46,-200,-56,-74,-70,-76,-200,-200,-75,-80,-200,-69,-68,-200,-200,-78,-81,-200,-80,-69,-70,-76,-80,-80,-81,-84,-66,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453423405,-36,-33,-56,-51,-71,-46,-200,-61,-58,-53,-60,-62,-79,-56,-62,-65,-68,-64,-62,-200,-70,-65,-72,-75,-70,-58,-88,-65,-200,-66,-73,-55,-200,-53,-76,-70,-77,-83,-200,-75,-79,-200,-69,-68,-200,-200,-78,-74,-200,-80,-65,-66,-76,-80,-80,-81,-84,-66,-71,-69,-83,-85,-86,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453426454,-36,-33,-37,-51,-71,-46,-65,-60,-58,-52,-70,-62,-49,-55,-62,-65,-68,-74,-62,-200,-70,-65,-200,-75,-69,-57,-88,-65,-200,-70,-73,-55,-73,-56,-76,-70,-76,-83,-200,-76,-79,-200,-68,-200,-200,-200,-200,-74,-200,-200,-65,-66,-76,-200,-76,-200,-200,-82,-200,-69,-83,-84,-86,-75,-90,-73,-74,-80,-86,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453429465,-36,-33,-41,-68,-55,-45,-68,-63,-58,-52,-61,-62,-49,-55,-59,-65,-61,-64,-62,-200,-70,-65,-73,-75,-69,-57,-88,-65,-200,-71,-73,-48,-73,-56,-76,-70,-76,-83,-200,-76,-80,-80,-69,-200,-78,-200,-79,-76,-200,-200,-65,-66,-76,-200,-76,-200,-83,-82,-74,-69,-83,-84,-86,-75,-90,-73,-74,-80,-86,-91,-91,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453432506,-36,-32,-40,-68,-54,-46,-69,-60,-58,-52,-61,-56,-51,-51,-60,-65,-61,-70,-62,-200,-200,-62,-78,-200,-70,-57,-77,-200,-200,-71,-70,-54,-73,-51,-77,-72,-76,-200,-200,-76,-80,-80,-69,-72,-78,-200,-79,-72,-200,-200,-64,-200,-76,-80,-76,-200,-83,-64,-74,-200,-200,-84,-86,-74,-78,-73,-74,-83,-86,-90,-91,-86,-86,-77,-82,-84,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453435559,-36,-38,-41,-50,-67,-44,-69,-61,-57,-54,-61,-56,-50,-68,-55,-66,-68,-62,-61,-200,-68,-62,-73,-73,-70,-55,-77,-200,-200,-70,-70,-54,-200,-51,-77,-72,-78,-200,-200,-200,-80,-200,-69,-71,-77,-200,-200,-78,-86,-200,-64,-67,-76,-80,-200,-200,-83,-70,-200,-65,-200,-83,-86,-73,-78,-200,-200,-83,-200,-90,-200,-200,-200,-77,-82,-84,-89,-89,-86,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453438568,-36,-29,-40,-47,-82,-50,-69,-61,-58,-53,-62,-57,-64,-55,-55,-65,-67,-62,-59,-200,-68,-65,-73,-85,-68,-58,-77,-82,-200,-73,-85,-50,-200,-72,-77,-84,-68,-91,-200,-87,-80,-200,-68,-74,-77,-83,-81,-78,-86,-83,-65,-71,-76,-80,-200,-200,-81,-83,-200,-65,-81,-83,-86,-73,-80,-72,-200,-79,-200,-90,-200,-200,-200,-77,-82,-84,-89,-89,-86,-85,-90,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453441586,-36,-38,-41,-51,-52,-50,-69,-62,-57,-53,-61,-61,-49,-56,-59,-64,-68,-73,-63,-200,-200,-65,-200,-74,-64,-59,-77,-82,-200,-66,-71,-49,-200,-51,-71,-71,-69,-91,-200,-87,-200,-80,-68,-74,-77,-82,-81,-78,-200,-82,-65,-71,-200,-200,-200,-200,-83,-69,-200,-68,-81,-83,-200,-200,-80,-72,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-79,-84,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453444655,-36,-31,-41,-49,-52,-51,-59,-61,-57,-52,-62,-62,-49,-53,-59,-65,-68,-62,-63,-77,-69,-65,-200,-74,-70,-60,-77,-71,-200,-69,-71,-48,-200,-51,-74,-71,-76,-91,-200,-75,-79,-80,-69,-76,-77,-82,-81,-77,-86,-82,-65,-71,-200,-200,-200,-200,-83,-71,-200,-68,-81,-83,-200,-200,-80,-72,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-79,-84,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453447665,-36,-37,-40,-49,-52,-51,-59,-61,-57,-49,-60,-57,-53,-55,-59,-66,-68,-63,-63,-77,-69,-65,-200,-73,-69,-59,-200,-71,-87,-71,-72,-48,-200,-51,-74,-73,-75,-80,-200,-74,-81,-79,-69,-76,-76,-82,-200,-77,-86,-82,-63,-66,-200,-200,-200,-200,-83,-69,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-64,-200,-75,-87,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453450730,-36,-33,-40,-49,-200,-50,-69,-61,-58,-53,-61,-61,-49,-56,-59,-66,-68,-63,-61,-200,-69,-200,-200,-73,-70,-58,-200,-200,-69,-71,-72,-48,-73,-50,-200,-73,-76,-80,-84,-74,-81,-79,-69,-200,-77,-200,-200,-200,-200,-200,-66,-68,-200,-200,-87,-200,-200,-69,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-71,-200,-200,-200,-200,-200,-200,-66,-200,-75,-200,-66,-82,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526453453784,-36,-33,-41,-51,-54,-46,-69,-61,-58,-54,-64,-52,-53,-52,-58,-67,-67,-71,-62,-200,-69,-65,-74,-73,-69,-57,-200,-65,-69,-72,-70,-49,-71,-51,-200,-83,-77,-80,-84,-76,-81,-79,-62,-72,-79,-200,-200,-200,-200,-91,-78,-80,-89,-200,-87,-200,-200,-82,-200,-200,-200,-200,-200,-73,-200,-85,-200,-200,-200,-91,-200,-79,-200,-91,-71,-200,-200,-200,-200,-200,-200,-66,-200,-75,-200,-89,-91,-87,-89,-90,-91,-91,-92,-200,-200,-200
1526453456835,-36,-33,-40,-51,-55,-46,-200,-60,-58,-53,-61,-61,-48,-54,-59,-67,-68,-71,-61,-200,-200,-63,-72,-73,-63,-59,-200,-65,-200,-72,-69,-69,-71,-80,-73,-72,-77,-200,-200,-76,-79,-80,-68,-72,-79,-200,-75,-200,-200,-91,-78,-68,-89,-200,-200,-87,-84,-70,-200,-200,-68,-200,-200,-200,-200,-85,-200,-200,-200,-91,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200,-89,-91,-200,-89,-90,-91,-91,-92,-200,-200,-200
1526453459887,-36,-34,-41,-51,-82,-43,-70,-61,-57,-53,-62,-61,-48,-53,-59,-88,-67,-65,-63,-200,-200,-64,-72,-73,-70,-57,-200,-64,-200,-70,-69,-49,-73,-80,-73,-69,-76,-200,-200,-76,-79,-80,-68,-72,-79,-200,-75,-81,-64,-81,-78,-64,-89,-200,-200,-87,-84,-67,-200,-65,-68,-200,-200,-200,-200,-85,-200,-200,-200,-91,-200,-200,-200,-91,-200,-200,-200,-200,-87,-200,-200,-65,-200,-200,-200,-89,-91,-200,-89,-90,-91,-91,-92,-90,-200,-200
