,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:19:b8,74:da:da:c1:3b:c9,0c:73:eb:d0:19:a0,c0:61:18:93:35:28,0c:73:eb:d0:76:30,74:da:da:c1:3b:ca,74:da:da:c1:3c:4d,74:da:da:c1:3c:8d,0c:73:eb:d0:0e:90,74:da:da:c1:3d:35,74:da:da:c1:3c:cd,0c:73:eb:d0:19:88,74:da:da:98:ea:50,74:da:da:c1:3c:ce,74:da:da:98:8f:30,74:da:da:98:ea:5c,74:da:da:c1:3b:cd,0c:73:eb:d0:76:48,0c:73:eb:d0:13:a0,74:da:da:c0:d7:c5,74:da:da:c0:d7:19,c0:61:18:93:3e:54,0c:73:eb:d0:76:38,0c:73:eb:d0:11:e0,74:da:da:c1:3b:69,0c:73:eb:d0:19:98,74:da:da:c1:3d:85,74:da:da:c1:3c:55,0c:73:eb:d0:2a:10,74:da:da:c1:3c:8e,0c:73:eb:d0:7f:10,74:da:da:c0:e2:d9,74:da:da:98:85:00,74:da:da:98:ea:51,74:da:da:c1:3c:4e,74:da:da:c1:3d:09,74:da:da:98:85:60,74:da:da:c1:3d:0d,0c:73:eb:d0:19:90,0c:73:eb:d0:7c:38,74:da:da:98:ea:5d,74:da:da:98:8f:31,74:da:da:c1:3b:ce,0c:73:eb:d0:19:a8,74:da:da:c0:d7:dd,74:da:da:c0:d7:e9,74:da:da:c0:d8:1d,74:da:da:98:8f:35,74:da:da:c1:3b:6a,74:da:da:c1:3d:05,74:da:da:c1:3b:4d,0c:73:eb:d0:76:58,74:da:da:98:91:d4,74:da:da:c0:d7:c6,74:da:da:c1:3c:56,74:da:da:98:ea:4c,0c:73:eb:d0:13:a8,0c:73:eb:d0:13:d0,74:da:da:c0:d7:b9,0c:73:eb:d0:0e:d8,0c:73:eb:d0:7e:f8,74:da:da:98:8f:64,74:da:da:98:8f:3c,0c:73:eb:d0:2a:98,74:da:da:98:8f:34,0c:73:eb:d0:76:50,74:da:da:c1:3b:66,74:da:da:98:90:94,74:da:da:c1:3c:85,0c:73:eb:d0:76:28,74:da:da:c1:56:ed,74:da:da:c0:d7:9d,0c:73:eb:d0:2a:58,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7c:08,0c:73:eb:d0:7f:18,0c:73:eb:d0:7a:68,74:da:da:98:92:14,ec:26:ca:0b:d4:1e,0c:73:eb:d0:0e:b0,74:da:da:c0:d8:25,74:da:da:c1:3b:65,74:da:da:c1:3c:11,0c:73:eb:d0:0e:98,74:da:da:c0:d8:3d,74:da:da:c1:56:a1
1526454393310,-30,-43,-45,-47,-48,-48,-48,-49,-49,-50,-52,-54,-54,-55,-55,-56,-57,-57,-59,-59,-61,-62,-62,-62,-62,-64,-66,-67,-68,-70,-71,-71,-71,-72,-72,-73,-74,-74,-75,-76,-76,-77,-77,-77,-78,-78,-79,-80,-81,-82,-82,-83,-84,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454396325,-28,-38,-62,-46,-47,-51,-56,-51,-58,-52,-46,-47,-50,-55,-58,-200,-48,-67,-67,-66,-200,-56,-68,-67,-66,-73,-200,-63,-200,-81,-62,-200,-71,-72,-72,-78,-74,-74,-200,-76,-79,-77,-79,-75,-74,-78,-200,-200,-78,-200,-82,-83,-200,-83,-200,-67,-75,-79,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454399368,-28,-43,-53,-45,-46,-58,-52,-47,-60,-56,-47,-46,-48,-55,-60,-50,-48,-61,-67,-57,-62,-59,-68,-68,-60,-73,-200,-63,-200,-77,-66,-200,-200,-68,-86,-78,-200,-200,-200,-76,-77,-80,-78,-75,-75,-200,-200,-77,-80,-200,-200,-200,-200,-78,-200,-67,-75,-79,-81,-63,-78,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454402374,-31,-32,-77,-48,-43,-53,-57,-46,-60,-57,-41,-53,-48,-50,-55,-47,-47,-61,-65,-57,-62,-66,-68,-66,-60,-68,-200,-63,-200,-79,-60,-200,-200,-72,-81,-78,-200,-82,-200,-76,-77,-54,-75,-75,-75,-200,-200,-77,-83,-200,-200,-200,-200,-76,-200,-67,-75,-79,-81,-67,-78,-80,-70,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454405379,-27,-29,-49,-53,-48,-49,-56,-46,-66,-53,-43,-50,-46,-58,-55,-47,-52,-55,-61,-73,-200,-58,-60,-67,-200,-68,-200,-57,-200,-72,-61,-200,-200,-71,-83,-200,-78,-82,-200,-74,-49,-84,-77,-200,-200,-200,-200,-72,-81,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-69,-200,-200,-70,-82,-82,-69,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454408384,-28,-30,-45,-53,-50,-53,-56,-50,-55,-55,-46,-51,-46,-54,-55,-200,-49,-56,-65,-58,-57,-49,-69,-67,-200,-200,-200,-57,-200,-75,-61,-200,-200,-72,-83,-86,-78,-200,-200,-74,-75,-54,-78,-200,-200,-200,-200,-75,-76,-81,-200,-200,-200,-77,-200,-58,-200,-200,-200,-69,-200,-200,-200,-200,-73,-69,-89,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454411425,-28,-36,-45,-48,-45,-50,-60,-50,-55,-56,-43,-57,-50,-51,-55,-200,-50,-55,-66,-66,-56,-59,-69,-69,-200,-200,-200,-57,-200,-72,-73,-200,-200,-72,-74,-87,-78,-200,-84,-80,-74,-83,-80,-200,-200,-200,-200,-75,-80,-81,-200,-200,-200,-80,-200,-58,-200,-200,-200,-69,-200,-77,-200,-200,-73,-69,-89,-75,-76,-77,-77,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454414433,-29,-39,-45,-51,-46,-49,-60,-52,-55,-54,-42,-52,-52,-51,-66,-200,-56,-56,-52,-55,-56,-61,-62,-69,-200,-72,-68,-56,-200,-76,-71,-200,-200,-73,-77,-87,-200,-200,-76,-80,-78,-81,-77,-200,-200,-75,-200,-200,-78,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-67,-200,-77,-200,-200,-200,-200,-200,-77,-77,-77,-77,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454417493,-30,-39,-51,-49,-54,-55,-61,-55,-56,-64,-41,-49,-50,-51,-51,-55,-48,-58,-60,-67,-56,-55,-61,-76,-68,-72,-68,-65,-200,-73,-67,-200,-200,-70,-74,-87,-79,-82,-76,-75,-78,-82,-80,-79,-200,-75,-200,-200,-75,-200,-200,-200,-200,-78,-200,-200,-76,-200,-200,-67,-200,-77,-200,-200,-61,-200,-200,-78,-77,-77,-77,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
