,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:98:ea:50,74:da:da:c0:d7:c5,74:da:da:c1:3c:cd,74:da:da:c1:3c:8d,0c:73:eb:d0:76:38,74:da:da:c1:3b:c9,74:da:da:c1:3d:35,c0:61:18:93:35:28,0c:73:eb:d0:76:30,c0:61:18:93:3e:54,0c:73:eb:d0:19:a0,74:da:da:98:ea:5c,74:da:da:98:8f:30,0c:73:eb:d0:19:88,0c:73:eb:d0:0e:90,74:da:da:c1:3c:4d,74:da:da:c0:d7:19,0c:73:eb:d0:76:48,74:da:da:c1:3c:ce,74:da:da:c1:3d:85,74:da:da:c1:3b:ca,74:da:da:c1:3b:cd,74:da:da:c1:3b:69,0c:73:eb:d0:0e:d8,0c:73:eb:d0:11:e0,0c:73:eb:d0:19:98,74:da:da:c1:3b:ce,0c:73:eb:d0:0e:b0,0c:73:eb:d0:7f:08,0c:73:eb:d0:7f:10,0c:73:eb:d0:7c:38,74:da:da:c0:d7:81,0c:73:eb:d0:19:a8,74:da:da:c0:d7:dd,74:da:da:98:ea:51,74:da:da:98:8f:64,0c:73:eb:d0:19:90,74:da:da:98:8f:35,74:da:da:c1:3d:0d,74:da:da:c1:3c:4e,74:da:da:c1:3b:6a,74:da:da:c1:3c:8e,74:da:da:c0:d7:c6,74:da:da:98:8f:31,0c:73:eb:d0:76:28,74:da:da:c1:25:9d,0c:73:eb:d0:19:b8,0c:73:eb:d0:13:a0,74:da:da:98:8f:34,74:da:da:c1:3c:55,0c:73:eb:d0:2a:10,74:da:da:c0:d8:1d,0c:73:eb:d0:7e:f8,0c:73:eb:d0:13:a8,0c:73:eb:d0:13:d0,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7f:18,0c:73:eb:d0:0e:98,74:da:da:98:ea:4c,74:da:da:98:8f:3c,74:da:da:98:ea:5d,0c:73:eb:d0:76:50,74:da:da:98:85:60,0c:73:eb:d0:76:40,74:da:da:c0:d7:b9,74:da:da:c1:56:ed,74:da:da:98:92:14,74:da:da:c0:f3:01,74:da:da:c1:3d:09,0c:73:eb:d0:2a:18,74:da:da:c1:3b:66,74:da:da:98:8f:3d,74:da:da:c1:56:a1,0c:73:eb:d0:2a:58,74:da:da:c1:25:e5,74:da:da:98:90:94,74:da:da:c0:d7:e9,74:da:da:c1:3d:05,0c:73:eb:d0:2a:40,74:da:da:c0:d8:25,74:da:da:c1:3c:45,0c:73:eb:d0:76:58,74:da:da:c1:3c:85,74:da:da:c1:3c:11
1526454543968,-36,-37,-41,-42,-46,-49,-49,-50,-50,-50,-51,-52,-53,-54,-54,-56,-58,-58,-59,-59,-60,-63,-63,-63,-64,-66,-67,-68,-68,-70,-72,-72,-72,-73,-74,-74,-75,-75,-75,-78,-79,-80,-80,-82,-84,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454546990,-35,-83,-49,-63,-57,-32,-65,-56,-57,-52,-63,-55,-53,-60,-53,-57,-86,-58,-56,-78,-49,-63,-75,-200,-71,-84,-70,-200,-200,-60,-200,-83,-200,-200,-72,-200,-82,-200,-200,-80,-76,-78,-83,-84,-200,-200,-44,-70,-73,-76,-79,-80,-84,-86,-86,-86,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454549995,-35,-67,-54,-63,-53,-31,-59,-52,-56,-53,-55,-55,-56,-59,-59,-57,-75,-58,-57,-78,-46,-64,-75,-200,-68,-84,-68,-200,-200,-64,-200,-83,-87,-200,-74,-200,-77,-200,-200,-86,-77,-79,-78,-46,-200,-200,-45,-74,-73,-76,-79,-77,-87,-86,-85,-86,-81,-91,-70,-81,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454553000,-34,-62,-54,-51,-58,-34,-59,-54,-53,-53,-55,-51,-57,-71,-53,-81,-73,-58,-55,-78,-50,-67,-75,-72,-68,-84,-69,-200,-77,-64,-200,-83,-83,-200,-70,-200,-77,-200,-200,-52,-76,-84,-70,-74,-200,-200,-47,-71,-73,-76,-79,-77,-86,-86,-85,-86,-81,-85,-70,-81,-87,-80,-82,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454556004,-36,-56,-49,-51,-53,-33,-65,-50,-53,-52,-53,-55,-57,-60,-57,-60,-73,-57,-58,-200,-49,-59,-63,-74,-79,-200,-65,-200,-77,-68,-200,-200,-79,-200,-65,-200,-200,-200,-200,-81,-81,-80,-81,-75,-200,-200,-37,-71,-200,-76,-200,-200,-86,-89,-200,-200,-200,-85,-200,-200,-79,-80,-82,-88,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454559036,-36,-56,-51,-48,-57,-32,-74,-50,-69,-54,-52,-55,-62,-60,-57,-64,-63,-57,-56,-84,-47,-58,-67,-74,-79,-72,-66,-85,-200,-62,-200,-79,-79,-200,-69,-200,-200,-200,-200,-81,-76,-82,-82,-48,-200,-200,-34,-78,-200,-76,-200,-200,-82,-89,-200,-200,-200,-200,-70,-200,-79,-200,-200,-200,-86,-84,-88,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454562041,-33,-59,-47,-45,-53,-39,-60,-47,-49,-54,-51,-59,-62,-63,-55,-59,-63,-56,-51,-74,-47,-55,-70,-67,-79,-72,-63,-82,-76,-64,-81,-79,-200,-200,-67,-200,-200,-84,-80,-87,-77,-82,-83,-47,-200,-200,-37,-71,-200,-200,-200,-200,-82,-83,-200,-200,-200,-200,-69,-200,-78,-200,-200,-200,-200,-84,-88,-87,-81,-83,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454565083,-38,-62,-43,-49,-54,-40,-56,-48,-48,-52,-51,-59,-63,-63,-59,-53,-200,-90,-56,-74,-47,-53,-70,-74,-79,-75,-63,-82,-76,-62,-79,-200,-200,-200,-69,-200,-200,-84,-80,-78,-81,-79,-80,-78,-200,-200,-37,-71,-200,-200,-76,-200,-200,-83,-200,-200,-200,-200,-68,-200,-79,-200,-200,-200,-200,-200,-200,-87,-81,-83,-87,-90,-74,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454568092,-37,-59,-42,-52,-53,-34,-62,-49,-48,-52,-52,-59,-60,-63,-59,-53,-200,-54,-53,-74,-47,-52,-70,-78,-79,-75,-64,-82,-76,-63,-81,-200,-200,-200,-47,-76,-200,-84,-80,-79,-79,-79,-80,-77,-200,-200,-41,-71,-200,-80,-76,-85,-200,-76,-200,-200,-85,-200,-68,-200,-47,-200,-200,-200,-200,-83,-200,-87,-81,-83,-87,-90,-74,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454571138,-38,-59,-42,-52,-58,-35,-59,-50,-63,-52,-52,-200,-60,-65,-200,-57,-81,-58,-54,-72,-50,-56,-68,-78,-200,-200,-64,-200,-200,-59,-81,-200,-200,-200,-70,-76,-200,-87,-200,-71,-80,-79,-80,-72,-200,-200,-40,-200,-64,-80,-200,-85,-200,-76,-200,-200,-85,-200,-200,-200,-78,-200,-200,-200,-200,-83,-200,-200,-85,-200,-200,-200,-200,-200,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526454574158,-35,-59,-43,-65,-55,-31,-62,-43,-63,-52,-59,-200,-56,-63,-63,-57,-80,-54,-56,-76,-46,-64,-68,-72,-78,-200,-68,-200,-200,-64,-200,-89,-78,-85,-70,-200,-200,-87,-200,-81,-77,-83,-81,-74,-200,-200,-52,-65,-75,-200,-200,-200,-200,-82,-200,-200,-200,-79,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526454577162,-34,-63,-45,-54,-56,-31,-62,-44,-56,-49,-62,-58,-50,-67,-62,-57,-80,-54,-58,-76,-45,-61,-200,-71,-72,-200,-63,-200,-200,-70,-200,-89,-78,-85,-73,-200,-77,-82,-200,-80,-79,-81,-80,-80,-200,-200,-50,-74,-75,-200,-200,-200,-200,-82,-200,-200,-200,-80,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526454580225,-34,-58,-44,-52,-55,-29,-67,-44,-48,-49,-58,-58,-50,-62,-59,-63,-80,-54,-55,-73,-49,-60,-200,-71,-72,-75,-65,-200,-200,-81,-200,-89,-78,-85,-68,-200,-77,-82,-200,-49,-77,-81,-81,-75,-83,-200,-51,-72,-68,-200,-200,-80,-200,-83,-88,-200,-200,-80,-71,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-82,-87,-200,-81,-84,-87,-88,-90,-200,-200,-200
1526454583246,-35,-58,-58,-52,-56,-28,-65,-44,-50,-51,-58,-200,-58,-61,-65,-63,-200,-200,-55,-76,-47,-63,-200,-70,-200,-72,-68,-80,-200,-81,-200,-200,-200,-200,-69,-200,-83,-89,-200,-82,-76,-67,-81,-57,-83,-200,-47,-66,-68,-79,-200,-80,-200,-83,-88,-200,-200,-79,-71,-200,-80,-77,-200,-200,-200,-82,-200,-200,-200,-85,-91,-200,-200,-82,-200,-200,-81,-84,-87,-88,-90,-200,-200,-200
1526454586283,-28,-58,-42,-48,-73,-30,-62,-48,-52,-51,-59,-55,-57,-58,-72,-64,-200,-62,-48,-77,-48,-63,-200,-67,-73,-72,-66,-80,-200,-66,-200,-200,-200,-200,-69,-200,-78,-89,-200,-78,-74,-66,-70,-78,-88,-200,-42,-66,-60,-79,-200,-80,-200,-83,-88,-200,-200,-79,-64,-200,-81,-77,-200,-200,-200,-82,-200,-200,-200,-85,-91,-200,-200,-82,-200,-200,-81,-84,-87,-88,-90,-200,-200,-200
1526454589295,-35,-200,-59,-50,-56,-27,-61,-46,-58,-52,-58,-55,-56,-58,-72,-64,-68,-62,-56,-77,-47,-62,-66,-66,-77,-72,-66,-200,-84,-66,-200,-200,-200,-200,-71,-200,-78,-87,-200,-47,-76,-66,-85,-77,-88,-200,-39,-200,-60,-78,-200,-86,-200,-80,-200,-200,-200,-87,-64,-200,-81,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-82,-85,-200,-200,-200,-200,-200,-200
