,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,0c:73:eb:d0:19:b8,c0:61:18:93:35:28,74:da:da:c1:3c:cd,74:da:da:c1:3b:c9,74:da:da:c1:3b:ca,0c:73:eb:d0:76:30,74:da:da:c1:3c:ce,74:da:da:98:8f:31,74:da:da:c1:3c:8d,74:da:da:c1:3c:4d,c0:61:18:93:3e:54,0c:73:eb:d0:19:88,0c:73:eb:d0:76:48,0c:73:eb:d0:19:a0,0c:73:eb:d0:0e:90,74:da:da:98:8f:30,74:da:da:c1:3b:cd,74:da:da:c0:d7:c5,74:da:da:c1:3d:35,0c:73:eb:d0:0e:d8,74:da:da:98:8f:34,74:da:da:c1:3b:6a,74:da:da:c1:3d:85,74:da:da:c1:3b:69,74:da:da:c1:3c:8e,74:da:da:c1:3b:ce,74:da:da:98:ea:4c,0c:73:eb:d0:11:e0,74:da:da:98:ea:5d,74:da:da:c0:d7:c6,74:da:da:98:ea:51,74:da:da:98:8f:35,74:da:da:98:8f:3c,0c:73:eb:d0:7f:08,0c:73:eb:d0:13:a8,74:da:da:c0:d7:19,0c:73:eb:d0:19:a8,0c:73:eb:d0:2a:58,74:da:da:c0:f3:01,0c:73:eb:d0:7f:18,0c:73:eb:d0:76:28,74:da:da:c0:d8:1d,74:da:da:c1:56:ed,74:da:da:98:85:60,74:da:da:c1:3d:09,74:da:da:98:ea:50,0c:73:eb:d0:76:38,0c:73:eb:d0:19:98,0c:73:eb:d0:13:a0,74:da:da:c1:3c:4e,74:da:da:c1:3d:0d,74:da:da:c0:e0:69,0c:73:eb:d0:7f:10,74:da:da:c1:3b:65,0c:73:eb:d0:76:40,74:da:da:c0:d7:e9,74:da:da:c1:3b:4d,0c:73:eb:d0:2a:10,74:da:da:c0:d7:81,74:da:da:c1:3b:66,74:da:da:98:ea:5c,0c:73:eb:d0:76:58,0c:73:eb:d0:7e:e8,0c:73:eb:d0:13:d0,0c:73:eb:d0:0e:98,74:da:da:c0:d7:9d,74:da:da:c1:3c:55,0c:73:eb:d0:0e:b0,0c:73:eb:d0:76:18,74:da:da:c1:25:e5,0c:73:eb:d0:19:90,74:da:da:98:8f:3d,74:da:da:98:8f:64,0c:73:eb:d0:7c:38,74:da:da:98:85:00,74:da:da:c0:d8:59,74:da:da:c0:d7:b9,74:da:da:c0:e2:d9,74:da:da:c0:f3:05,0c:73:eb:d0:76:50,0c:73:eb:d0:7c:08
1526455221897,-42,-47,-49,-50,-54,-57,-59,-59,-62,-64,-64,-66,-66,-67,-71,-72,-73,-75,-76,-77,-77,-78,-78,-81,-82,-82,-82,-83,-84,-85,-85,-85,-85,-85,-86,-86,-86,-86,-87,-87,-88,-88,-89,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455224914,-44,-55,-47,-43,-54,-54,-59,-75,-53,-65,-59,-62,-80,-62,-69,-75,-200,-71,-80,-200,-68,-87,-74,-65,-80,-71,-80,-83,-200,-85,-61,-200,-200,-200,-80,-72,-85,-200,-200,-200,-87,-200,-200,-200,-200,-53,-65,-71,-72,-87,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455227918,-46,-52,-44,-54,-55,-57,-53,-79,-56,-65,-65,-62,-78,-65,-68,-75,-63,-78,-72,-77,-68,-87,-74,-72,-85,-75,-83,-80,-200,-86,-82,-87,-200,-200,-79,-72,-87,-200,-86,-200,-87,-200,-200,-200,-200,-53,-66,-71,-74,-83,-87,-91,-72,-76,-87,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455230956,-46,-56,-48,-38,-50,-54,-51,-50,-57,-67,-60,-66,-67,-65,-61,-76,-65,-78,-72,-77,-200,-200,-74,-71,-81,-74,-83,-80,-200,-85,-51,-87,-200,-200,-82,-200,-87,-200,-86,-200,-200,-200,-200,-200,-200,-52,-66,-200,-74,-50,-200,-200,-71,-76,-87,-87,-81,-83,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455233970,-45,-53,-52,-39,-53,-57,-53,-80,-57,-67,-60,-70,-65,-68,-65,-76,-66,-200,-69,-200,-72,-84,-73,-72,-80,-74,-200,-200,-88,-85,-53,-200,-200,-200,-82,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-56,-62,-86,-200,-84,-85,-200,-73,-200,-200,-200,-81,-91,-87,-89,-82,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455236974,-45,-53,-55,-38,-54,-53,-60,-77,-59,-65,-62,-63,-59,-65,-62,-74,-63,-200,-78,-80,-72,-83,-79,-74,-82,-72,-200,-76,-85,-84,-82,-83,-200,-79,-81,-75,-88,-200,-83,-200,-86,-200,-85,-85,-85,-53,-68,-79,-78,-87,-88,-200,-77,-200,-200,-200,-200,-91,-200,-200,-82,-86,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455239979,-46,-53,-52,-49,-62,-55,-57,-62,-58,-65,-60,-62,-57,-62,-62,-73,-69,-200,-67,-80,-200,-83,-79,-74,-81,-72,-200,-76,-85,-84,-81,-76,-200,-78,-84,-75,-88,-200,-83,-200,-86,-86,-85,-82,-85,-62,-67,-79,-80,-86,-88,-200,-77,-200,-200,-200,-200,-86,-200,-200,-69,-200,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455242983,-39,-51,-50,-34,-50,-52,-53,-62,-62,-65,-57,-91,-68,-62,-62,-75,-74,-71,-66,-70,-200,-83,-79,-82,-75,-77,-200,-76,-85,-86,-53,-83,-200,-83,-79,-75,-88,-200,-86,-83,-86,-86,-85,-82,-85,-51,-67,-74,-77,-86,-88,-200,-73,-200,-200,-200,-200,-86,-200,-200,-69,-200,-85,-88,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455245989,-41,-51,-59,-44,-52,-56,-54,-200,-59,-71,-57,-70,-68,-62,-74,-75,-67,-84,-66,-70,-200,-87,-200,-82,-84,-78,-200,-82,-200,-85,-79,-83,-200,-83,-88,-73,-84,-200,-86,-83,-89,-200,-200,-200,-200,-62,-68,-85,-79,-200,-200,-200,-73,-200,-200,-89,-200,-200,-200,-200,-69,-200,-200,-200,-88,-89,-84,-86,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
