,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:19:a0,74:da:da:c1:3c:4d,74:da:da:98:ea:50,74:da:da:98:ea:5c,74:da:da:98:ea:51,74:da:da:c1:3c:4e,74:da:da:c0:d8:1d,74:da:da:98:8f:31,74:da:da:c1:3b:c9,0c:73:eb:d0:19:88,0c:73:eb:d0:19:b8,74:da:da:c0:d7:c5,c0:61:18:93:35:28,74:da:da:c0:d7:9d,0c:73:eb:d0:19:90,0c:73:eb:d0:13:a0,74:da:da:c1:3c:8d,74:da:da:c1:3c:55,74:da:da:c1:3b:ca,74:da:da:c1:3c:56,74:da:da:c1:3c:cd,0c:73:eb:d0:76:28,0c:73:eb:d0:76:50,0c:73:eb:d0:0e:90,74:da:da:c1:3b:cd,74:da:da:98:8f:30,0c:73:eb:d0:76:38,74:da:da:c1:3d:35,74:da:da:98:85:00,74:da:da:c0:d7:81,0c:73:eb:d0:0e:a0,0c:73:eb:d0:76:48,74:da:da:c1:3b:69,74:da:da:c1:3c:85,74:da:da:98:ea:5d,74:da:da:98:90:94,74:da:da:c1:3d:85,74:da:da:c1:3c:86,74:da:da:c0:d7:c6,0c:73:eb:d0:76:30,74:da:da:c1:3c:ce,0c:73:eb:d0:7f:10,0c:73:eb:d0:2a:50,74:da:da:c1:25:e5,74:da:da:98:ea:64,0c:73:eb:d0:2a:58,0c:73:eb:d0:76:18,74:da:da:c1:3d:0d,0c:73:eb:d0:19:98,74:da:da:98:8f:3c,74:da:da:c1:3c:11,0c:73:eb:d0:0e:d8,74:da:da:c1:56:a1,74:da:da:c1:3b:ce,74:da:da:c1:3b:65,74:da:da:98:91:d4,0c:73:eb:d0:0e:98,74:da:da:c0:d7:01,74:da:da:c1:25:69,74:da:da:c0:f3:01,74:da:da:c0:f3:05,74:da:da:c0:d8:3e,0c:73:eb:d0:0e:a8,74:da:da:c0:d7:dd,c0:61:18:93:3e:54,0c:73:eb:d0:11:e0,74:da:da:c1:3b:6a,0c:73:eb:d0:13:c8,0c:73:eb:d0:7f:08,74:da:da:c1:3c:45,74:da:da:c0:d8:3d,0c:73:eb:d0:76:10,0c:73:eb:d0:2a:40,74:da:da:c1:3b:19,0c:73:eb:d0:7e:f8,74:da:da:98:ea:4c,74:da:da:c1:25:d9,0c:73:eb:d0:19:a8,74:da:da:98:85:60,74:da:da:98:8f:34,0c:73:eb:d0:2a:98,74:da:da:98:85:1c,50:3a:a0:ea:01:66,74:da:da:98:66:cc,74:da:da:c1:25:a1,0c:73:eb:d0:7f:18,74:da:da:c0:f4:69,0c:73:eb:d0:19:c8,74:da:da:c0:d7:19,0c:73:eb:d0:2a:90,74:da:da:c0:d7:0d
1526456238856,-21,-36,-40,-46,-47,-47,-47,-47,-49,-50,-51,-52,-54,-55,-55,-56,-56,-57,-58,-58,-58,-58,-58,-61,-62,-63,-64,-66,-66,-67,-67,-68,-68,-68,-69,-69,-69,-70,-71,-74,-76,-76,-77,-77,-77,-78,-79,-80,-80,-81,-82,-83,-85,-86,-86,-86,-86,-87,-87,-89,-90,-91,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456241879,-24,-38,-39,-39,-52,-52,-65,-47,-57,-59,-53,-65,-65,-56,-65,-48,-59,-47,-61,-78,-200,-53,-58,-61,-200,-200,-65,-66,-200,-67,-74,-72,-200,-66,-69,-65,-77,-75,-80,-63,-71,-76,-77,-200,-77,-200,-79,-200,-80,-81,-82,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-66,-81,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456244889,-23,-36,-36,-36,-49,-52,-62,-200,-57,-59,-58,-56,-66,-53,-56,-56,-53,-48,-79,-73,-200,-59,-200,-58,-200,-58,-61,-64,-200,-77,-74,-72,-200,-67,-71,-61,-77,-76,-76,-62,-72,-200,-200,-200,-77,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-80,-200,-200,-200,-200,-200,-67,-81,-85,-61,-64,-70,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456247899,-19,-33,-49,-42,-51,-56,-65,-200,-57,-53,-56,-56,-63,-50,-51,-62,-61,-34,-82,-76,-67,-50,-70,-57,-62,-67,-69,-64,-200,-77,-74,-72,-200,-69,-69,-65,-74,-74,-80,-71,-73,-200,-200,-200,-77,-200,-64,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-77,-80,-200,-200,-200,-200,-200,-76,-81,-86,-66,-64,-70,-84,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456250904,-71,-35,-53,-44,-54,-54,-59,-200,-63,-59,-56,-200,-66,-52,-59,-58,-61,-61,-70,-70,-64,-49,-70,-58,-58,-67,-69,-65,-200,-200,-200,-200,-200,-74,-71,-65,-73,-77,-81,-71,-72,-200,-200,-200,-200,-200,-64,-200,-200,-86,-200,-74,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-76,-81,-86,-66,-200,-69,-200,-66,-79,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456253929,-17,-36,-43,-39,-53,-53,-62,-200,-61,-59,-52,-58,-80,-52,-54,-57,-61,-51,-53,-68,-64,-49,-66,-58,-66,-80,-69,-64,-200,-69,-200,-77,-70,-74,-70,-65,-75,-75,-80,-71,-73,-200,-90,-90,-200,-200,-69,-200,-200,-86,-200,-74,-90,-200,-200,-91,-200,-81,-91,-200,-200,-200,-200,-200,-76,-81,-85,-75,-64,-67,-86,-66,-79,-80,-77,-85,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456256984,-26,-36,-39,-41,-51,-60,-62,-200,-70,-90,-52,-59,-66,-55,-69,-56,-200,-51,-77,-70,-200,-52,-66,-55,-64,-68,-65,-64,-72,-69,-70,-77,-75,-200,-70,-200,-75,-75,-80,-67,-73,-200,-90,-90,-200,-200,-70,-200,-200,-200,-200,-200,-90,-200,-200,-91,-200,-79,-91,-200,-200,-200,-200,-200,-200,-200,-86,-75,-66,-67,-84,-68,-82,-200,-77,-85,-87,-90,-75,-76,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456259993,-19,-34,-48,-42,-53,-56,-59,-200,-64,-56,-56,-59,-66,-52,-54,-52,-200,-65,-81,-70,-79,-47,-63,-55,-64,-68,-64,-58,-72,-69,-70,-77,-75,-69,-68,-200,-75,-76,-77,-67,-72,-200,-90,-90,-200,-200,-64,-200,-200,-200,-200,-200,-90,-200,-200,-91,-200,-81,-91,-200,-200,-200,-200,-200,-200,-200,-86,-75,-66,-69,-84,-63,-82,-200,-77,-85,-77,-90,-75,-76,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456263041,-22,-37,-48,-37,-51,-58,-59,-85,-64,-73,-56,-62,-65,-52,-45,-54,-61,-47,-83,-73,-78,-43,-71,-55,-69,-68,-64,-58,-72,-200,-70,-200,-77,-72,-74,-69,-200,-75,-78,-63,-74,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-74,-200,-86,-200,-66,-69,-84,-63,-82,-200,-200,-86,-77,-200,-75,-83,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
