,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:13:b0,74:da:da:98:90:2c,74:da:da:98:66:cc,0c:73:eb:d0:76:18,74:da:da:98:66:cd,74:da:da:c1:3c:11,74:da:da:98:90:2d,0c:73:eb:d0:19:80,74:da:da:98:90:94,0c:73:eb:d0:13:98,50:3a:a0:ea:01:66,74:da:da:c1:3c:85,74:da:da:c0:d6:f5,74:da:da:98:74:74,74:da:da:c1:3c:45,0c:73:eb:d0:19:c8,0c:73:eb:d0:13:c8,74:da:da:c0:d7:11,74:da:da:c0:d6:ed,74:da:da:c1:3d:2d,0c:73:eb:d0:19:90,0c:73:eb:d0:19:c0,74:da:da:98:74:34,74:da:da:c0:d9:39,74:da:da:c1:3c:12,74:da:da:98:74:80,74:da:da:c1:3c:46,74:da:da:c1:3c:55,74:da:da:98:90:95,74:da:da:98:ea:64,74:da:da:98:ea:5c,74:da:da:c1:3c:4d,74:da:da:c1:3c:86,74:da:da:c0:e0:6d,0c:73:eb:d0:2a:50,74:da:da:c1:4a:69,74:da:da:c1:03:2d,0c:73:eb:d0:0e:a8,74:da:da:c1:3b:19,0c:73:eb:d0:7e:d0,0c:73:eb:d0:11:c8,0c:73:eb:d0:76:50,74:da:da:c0:d9:3a,74:da:da:c1:3b:29,74:da:da:c1:02:91,0c:73:eb:d0:0e:b8,0c:73:eb:d0:13:90,74:da:da:98:8f:30
1526459458802,-47,-52,-56,-58,-58,-61,-62,-64,-65,-68,-71,-73,-74,-75,-75,-75,-76,-76,-77,-77,-79,-80,-80,-81,-83,-83,-84,-87,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459461818,-34,-47,-56,-58,-54,-53,-62,-55,-65,-64,-71,-73,-74,-66,-59,-72,-76,-76,-64,-66,-67,-80,-80,-58,-81,-71,-77,-82,-86,-90,-74,-77,-82,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459464826,-34,-47,-56,-58,-54,-53,-62,-55,-65,-64,-200,-73,-74,-66,-59,-72,-76,-200,-64,-66,-67,-80,-200,-58,-81,-71,-77,-82,-86,-200,-74,-77,-82,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459467841,-39,-42,-45,-46,-57,-53,-58,-53,-60,-64,-200,-59,-74,-70,-61,-72,-63,-200,-68,-67,-61,-82,-86,-58,-85,-69,-79,-84,-89,-200,-74,-77,-81,-88,-80,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459470855,-39,-42,-45,-46,-57,-53,-58,-53,-60,-64,-200,-59,-74,-70,-61,-72,-63,-200,-68,-67,-61,-82,-86,-58,-85,-69,-79,-84,-89,-200,-74,-77,-81,-88,-80,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459473879,-38,-44,-36,-45,-52,-49,-56,-51,-60,-64,-200,-59,-74,-70,-59,-72,-63,-75,-67,-69,-61,-82,-86,-55,-80,-68,-75,-79,-84,-87,-78,-77,-80,-88,-77,-88,-90,-84,-85,-86,-87,-88,-92,-200,-200,-200,-200,-200
1526459476893,-38,-44,-36,-45,-52,-49,-56,-51,-60,-64,-200,-59,-74,-70,-59,-72,-63,-75,-67,-69,-61,-82,-86,-55,-80,-68,-75,-79,-84,-87,-78,-77,-80,-88,-77,-88,-90,-84,-85,-86,-87,-88,-92,-200,-200,-200,-200,-200
1526459479920,-39,-44,-35,-45,-52,-49,-56,-48,-60,-64,-200,-59,-200,-66,-59,-72,-60,-75,-63,-69,-61,-77,-86,-55,-76,-68,-77,-79,-84,-87,-78,-77,-81,-88,-77,-88,-90,-84,-85,-86,-87,-88,-92,-200,-200,-200,-200,-200
1526459482933,-39,-44,-35,-45,-52,-49,-56,-48,-60,-64,-200,-59,-200,-66,-59,-72,-60,-75,-63,-69,-61,-77,-86,-55,-76,-68,-77,-79,-84,-87,-78,-77,-81,-88,-77,-88,-90,-84,-85,-86,-87,-88,-92,-200,-200,-200,-200,-200
1526459485952,-34,-44,-35,-45,-52,-47,-56,-46,-63,-67,-200,-59,-200,-63,-59,-72,-60,-75,-63,-69,-61,-77,-86,-55,-76,-70,-78,-79,-83,-87,-78,-77,-82,-88,-77,-88,-90,-84,-86,-86,-87,-88,-92,-200,-200,-200,-200,-200
1526459488970,-34,-44,-35,-45,-52,-47,-56,-46,-63,-67,-200,-59,-200,-63,-59,-72,-60,-75,-63,-69,-61,-77,-86,-55,-76,-70,-78,-79,-83,-87,-78,-77,-82,-88,-77,-88,-90,-84,-86,-86,-87,-88,-92,-200,-200,-200,-200,-200
1526459491994,-36,-43,-35,-44,-52,-49,-56,-50,-62,-67,-200,-58,-67,-63,-56,-72,-60,-75,-63,-69,-60,-77,-86,-58,-76,-70,-78,-79,-83,-87,-78,-200,-82,-200,-78,-88,-90,-84,-86,-86,-87,-88,-92,-200,-200,-200,-200,-200
