,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:19:88,74:da:da:98:ea:5c,74:da:da:98:ea:50,74:da:da:c0:d7:c5,74:da:da:c1:3b:69,0c:73:eb:d0:76:30,0c:73:eb:d0:19:a0,74:da:da:c1:3b:cd,74:da:da:c1:3c:4d,0c:73:eb:d0:19:b8,74:da:da:c0:d7:c6,74:da:da:98:8f:30,c0:61:18:93:3e:54,0c:73:eb:d0:76:38,0c:73:eb:d0:76:50,74:da:da:c1:3b:c9,74:da:da:c1:56:a1,0c:73:eb:d0:7f:10,0c:73:eb:d0:19:90,74:da:da:98:ea:5d,c0:61:18:93:35:28,74:da:da:c1:3d:35,74:da:da:c0:d7:81,0c:73:eb:d0:0e:d8,0c:73:eb:d0:76:18,0c:73:eb:d0:11:e0,0c:73:eb:d0:13:a0,74:da:da:c1:3c:cd,0c:73:eb:d0:7f:08,0c:73:eb:d0:7e:f8,74:da:da:98:91:d4,74:da:da:c1:3c:8d,0c:73:eb:d0:13:c8,0c:73:eb:d0:76:28,0c:73:eb:d0:76:58,74:da:da:98:ea:51,74:da:da:c1:3b:ce,74:da:da:c1:3c:4e,0c:73:eb:d0:19:98,0c:73:eb:d0:19:a8,74:da:da:c0:f3:01,74:da:da:c1:3b:6a,74:da:da:c0:d8:1d,74:da:da:c1:3c:ce,0c:73:eb:d0:76:48,74:da:da:98:85:60,74:da:da:98:8f:31,74:da:da:c1:3c:86,0c:73:eb:d0:2a:50,74:da:da:c1:3b:ca,74:da:da:c1:3c:56,74:da:da:c1:3b:66,74:da:da:c1:3c:8e,74:da:da:98:ea:4d,74:da:da:98:8f:65,0c:73:eb:d0:0e:90,74:da:da:c0:f3:05,0c:73:eb:d0:13:a8,74:da:da:c1:3c:55,74:da:da:98:90:94,74:da:da:c1:3c:85,74:da:da:c1:3c:45,74:da:da:c1:3d:0d,0c:73:eb:d0:7c:38,74:da:da:98:8f:3c,0c:73:eb:d0:7f:18,74:da:da:98:85:00,74:da:da:98:8f:35,0c:73:eb:d0:0e:a8,74:da:da:98:8f:34,74:da:da:98:8f:64
1526462570953,-32,-35,-41,-44,-44,-45,-45,-46,-47,-47,-48,-48,-50,-51,-51,-52,-54,-55,-56,-56,-56,-56,-57,-58,-58,-59,-59,-59,-60,-62,-63,-63,-64,-65,-67,-68,-68,-68,-70,-71,-71,-73,-73,-74,-74,-74,-76,-76,-78,-79,-86,-86,-87,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462573970,-35,-24,-39,-45,-44,-39,-48,-46,-47,-47,-62,-36,-41,-48,-51,-34,-54,-55,-52,-64,-64,-56,-51,-58,-67,-52,-59,-59,-62,-60,-63,-63,-57,-65,-67,-73,-60,-63,-65,-71,-71,-75,-73,-73,-74,-74,-74,-80,-78,-74,-85,-86,-83,-88,-91,-62,-64,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462577001,-35,-24,-39,-45,-44,-43,-48,-46,-47,-47,-62,-36,-41,-48,-51,-34,-200,-55,-52,-64,-64,-56,-51,-58,-67,-52,-59,-59,-62,-60,-200,-63,-57,-65,-67,-73,-60,-63,-65,-71,-71,-75,-73,-73,-74,-74,-74,-80,-78,-74,-85,-86,-83,-88,-91,-62,-64,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462580026,-38,-24,-39,-45,-44,-44,-44,-48,-51,-47,-66,-38,-40,-48,-51,-33,-200,-55,-48,-66,-64,-56,-49,-58,-67,-52,-59,-59,-66,-60,-200,-67,-57,-65,-67,-74,-63,-76,-65,-71,-71,-72,-73,-72,-74,-74,-84,-80,-78,-68,-85,-86,-84,-88,-91,-59,-64,-70,-63,-65,-66,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462583055,-38,-24,-39,-45,-44,-41,-44,-48,-51,-47,-66,-38,-40,-48,-51,-33,-200,-55,-48,-66,-64,-56,-49,-58,-67,-52,-59,-59,-66,-60,-200,-67,-57,-65,-67,-74,-63,-76,-65,-71,-71,-72,-73,-72,-74,-74,-84,-80,-78,-68,-85,-86,-84,-88,-91,-59,-64,-70,-63,-65,-66,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462586091,-37,-24,-39,-45,-44,-41,-48,-44,-51,-47,-59,-37,-37,-48,-51,-33,-200,-51,-51,-61,-52,-56,-54,-58,-67,-54,-59,-59,-66,-71,-200,-67,-57,-78,-67,-74,-57,-78,-65,-71,-71,-70,-73,-73,-74,-78,-75,-78,-78,-69,-89,-200,-84,-89,-91,-59,-68,-70,-63,-65,-66,-76,-63,-200,-200,-200,-200,-200,-200,-200,-200
1526462589117,-37,-24,-39,-45,-44,-40,-48,-44,-51,-47,-59,-37,-37,-48,-51,-33,-200,-51,-51,-61,-52,-200,-54,-58,-67,-54,-59,-59,-66,-71,-200,-67,-57,-78,-200,-74,-57,-78,-65,-71,-200,-70,-200,-73,-74,-78,-75,-78,-200,-69,-89,-200,-84,-89,-91,-59,-68,-70,-63,-65,-66,-76,-63,-200,-200,-200,-200,-200,-200,-200,-200
1526462592146,-40,-32,-42,-49,-44,-40,-48,-39,-51,-45,-59,-38,-37,-46,-56,-29,-200,-51,-51,-61,-49,-200,-54,-58,-67,-54,-59,-50,-66,-71,-200,-59,-57,-78,-69,-78,-56,-78,-65,-63,-200,-68,-200,-69,-74,-78,-76,-80,-200,-69,-89,-90,-84,-89,-91,-62,-68,-70,-63,-65,-66,-70,-63,-60,-200,-200,-200,-200,-200,-200,-200
1526462595172,-40,-32,-42,-49,-44,-39,-48,-39,-51,-45,-59,-38,-37,-46,-56,-29,-200,-51,-51,-61,-49,-200,-54,-58,-67,-54,-59,-50,-66,-71,-200,-59,-57,-78,-69,-78,-56,-78,-65,-63,-200,-68,-200,-69,-74,-78,-76,-80,-200,-69,-89,-90,-84,-89,-91,-62,-68,-70,-63,-65,-66,-70,-63,-60,-200,-200,-200,-200,-200,-200,-200
