,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:98:8f:30,74:da:da:98:ea:5c,0c:73:eb:d0:76:30,0c:73:eb:d0:76:58,74:da:da:98:8f:34,74:da:da:c1:3b:69,0c:73:eb:d0:76:48,0c:73:eb:d0:19:98,74:da:da:98:8f:64,74:da:da:98:ea:4c,74:da:da:c1:3b:cd,0c:73:eb:d0:19:a8,74:da:da:c1:3c:8d,0c:73:eb:d0:76:20,0c:73:eb:d0:0e:c0,0c:73:eb:d0:7c:38,74:da:da:c0:d7:e9,0c:73:eb:d0:0e:d8,0c:73:eb:d0:13:a8,74:da:da:98:8f:31,0c:73:eb:d0:19:90,74:da:da:98:8f:3c,74:da:da:98:8f:65,74:da:da:c1:3b:65,74:da:da:c1:3d:09,74:da:da:c1:3b:c9,c0:61:18:93:35:28,0c:73:eb:d0:76:40,0c:73:eb:d0:7e:e0,0c:73:eb:d0:13:c8,0c:73:eb:d0:76:38,0c:73:eb:d0:2a:58,74:da:da:c0:d7:dd,0c:73:eb:d0:19:88,0c:73:eb:d0:19:b8,74:da:da:c1:3c:cd,74:da:da:98:90:94,0c:73:eb:d0:7f:10,74:da:da:98:8f:3d,74:da:da:98:8f:35,74:da:da:98:ea:5d,74:da:da:c1:3c:45,0c:73:eb:d0:2a:10,74:da:da:c1:3b:66,0c:73:eb:d0:76:50,0c:73:eb:d0:2a:98,74:da:da:c1:3b:6a,74:da:da:98:7a:60,74:da:da:98:ea:4d,74:da:da:c1:3c:ce,74:da:da:c1:3b:ca,74:da:da:c0:d7:c6,74:da:da:c1:3c:8e,74:da:da:c1:3b:86,74:da:da:98:db:45,74:da:da:c1:3b:ce,74:da:da:c1:3b:4e,74:da:da:c1:61:6a,74:da:da:c1:3c:86,74:da:da:c1:3b:9e,74:da:da:c1:3c:56,74:da:da:98:db:44,74:da:da:98:ea:50,74:da:da:c1:3c:55,74:da:da:c1:3b:46,74:da:da:c1:3b:4d,74:da:da:c1:3b:85,0c:73:eb:d0:2a:18,0c:73:eb:d0:19:a0,74:da:da:c1:3c:85,74:da:da:c0:d8:25,0c:73:eb:d0:0e:90,74:da:da:c0:e0:69,74:da:da:c1:17:75,74:da:da:c0:d8:05,c0:61:18:93:3e:54,74:da:da:c0:d7:ed,74:da:da:c1:3b:9d,0c:73:eb:d0:7c:00,74:da:da:c1:47:cd,74:da:da:c1:61:69,0c:73:eb:d0:76:18,0c:73:eb:d0:11:e0,74:da:da:c0:d8:59,74:da:da:98:7a:68,74:da:da:c0:d7:81,0c:73:eb:d0:7e:f0
1526463349597,-27,-41,-45,-45,-46,-47,-48,-49,-50,-51,-52,-53,-54,-55,-56,-57,-57,-58,-58,-59,-59,-60,-60,-61,-62,-62,-63,-63,-64,-64,-65,-65,-65,-67,-67,-69,-69,-69,-71,-71,-72,-73,-74,-75,-76,-77,-80,-80,-81,-82,-82,-83,-83,-83,-83,-84,-84,-84,-84,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463352617,-27,-41,-53,-37,-38,-47,-44,-47,-42,-49,-52,-56,-51,-55,-53,-57,-58,-58,-57,-58,-59,-60,-68,-47,-64,-62,-60,-63,-64,-64,-61,-61,-65,-60,-67,-69,-69,-69,-75,-68,-70,-73,-74,-82,-76,-68,-80,-80,-80,-82,-83,-83,-71,-75,-83,-85,-83,-91,-84,-88,-89,-49,-63,-71,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463355630,-27,-41,-50,-37,-38,-47,-44,-47,-42,-49,-52,-56,-51,-55,-53,-57,-58,-58,-57,-58,-59,-60,-68,-47,-64,-62,-60,-63,-64,-64,-61,-61,-65,-60,-67,-200,-69,-69,-75,-68,-70,-73,-74,-82,-76,-68,-80,-80,-80,-82,-83,-83,-71,-75,-83,-85,-83,-91,-84,-200,-89,-49,-63,-71,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463358664,-27,-41,-48,-37,-42,-47,-48,-49,-39,-49,-52,-50,-51,-55,-54,-60,-60,-58,-54,-60,-59,-60,-68,-47,-64,-62,-60,-61,-64,-64,-61,-61,-72,-60,-67,-200,-68,-69,-75,-65,-65,-73,-74,-80,-76,-68,-80,-80,-80,-82,-83,-84,-71,-75,-83,-83,-80,-91,-84,-200,-89,-45,-63,-71,-82,-52,-56,-62,-66,-66,-72,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463361682,-27,-41,-48,-37,-42,-47,-48,-49,-39,-49,-52,-50,-51,-55,-54,-60,-60,-58,-54,-60,-59,-60,-68,-47,-64,-200,-60,-61,-64,-200,-61,-61,-72,-60,-67,-200,-68,-69,-75,-65,-65,-73,-74,-80,-76,-68,-80,-80,-80,-82,-83,-84,-71,-75,-83,-83,-80,-91,-84,-200,-89,-45,-63,-71,-82,-52,-56,-62,-66,-66,-72,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463364722,-26,-38,-46,-37,-42,-47,-50,-47,-39,-52,-55,-52,-52,-56,-51,-63,-56,-63,-58,-57,-59,-60,-70,-47,-60,-200,-60,-61,-64,-200,-61,-61,-72,-60,-67,-200,-68,-69,-78,-64,-65,-73,-74,-80,-76,-68,-88,-80,-80,-82,-83,-80,-76,-71,-89,-86,-80,-91,-85,-200,-89,-45,-63,-71,-82,-51,-56,-62,-66,-66,-72,-74,-55,-62,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463367755,-26,-38,-46,-37,-42,-200,-50,-47,-39,-52,-55,-52,-52,-56,-51,-63,-56,-63,-58,-57,-200,-200,-70,-47,-60,-200,-60,-61,-200,-200,-61,-61,-72,-60,-67,-200,-68,-200,-78,-64,-65,-73,-74,-80,-76,-68,-88,-200,-80,-82,-83,-80,-76,-71,-89,-86,-80,-91,-85,-200,-89,-45,-63,-71,-82,-51,-56,-62,-66,-66,-72,-74,-55,-62,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463370789,-27,-38,-44,-37,-43,-200,-50,-48,-39,-52,-55,-48,-55,-57,-53,-63,-56,-63,-58,-57,-200,-200,-64,-47,-60,-200,-60,-61,-200,-200,-61,-61,-72,-60,-67,-200,-68,-200,-78,-64,-65,-73,-74,-80,-76,-68,-88,-200,-82,-83,-83,-84,-78,-75,-89,-86,-80,-91,-82,-200,-89,-49,-63,-71,-79,-51,-56,-62,-66,-66,-72,-74,-55,-58,-66,-65,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463373801,-27,-38,-44,-37,-43,-200,-50,-48,-39,-52,-55,-48,-55,-57,-53,-63,-56,-63,-58,-57,-200,-200,-64,-47,-60,-200,-60,-61,-200,-200,-61,-61,-72,-60,-67,-200,-68,-200,-78,-64,-65,-200,-200,-80,-200,-68,-88,-200,-82,-83,-83,-84,-78,-75,-89,-86,-80,-91,-82,-200,-200,-49,-63,-71,-79,-51,-56,-62,-66,-66,-72,-74,-55,-58,-66,-65,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
