,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:98:ea:5c,0c:73:eb:d0:19:88,74:da:da:98:ea:50,74:da:da:c0:d7:c5,74:da:da:98:ea:5d,74:da:da:98:8f:30,0c:73:eb:d0:76:30,0c:73:eb:d0:76:50,74:da:da:c0:d7:c6,c0:61:18:93:3e:54,74:da:da:c1:3b:ce,0c:73:eb:d0:19:a0,74:da:da:c1:3b:cd,74:da:da:c1:3b:c9,0c:73:eb:d0:7e:f8,74:da:da:98:91:d4,0c:73:eb:d0:76:38,0c:73:eb:d0:19:b8,74:da:da:c0:f3:05,0c:73:eb:d0:7f:10,74:da:da:c0:f3:01,74:da:da:c1:3c:4d,74:da:da:c0:d7:81,74:da:da:c1:3c:85,74:da:da:c1:3c:cd,74:da:da:c1:3b:69,74:da:da:c0:d8:1d,74:da:da:98:ea:51,74:da:da:c1:3d:0d,74:da:da:c1:3c:11,74:da:da:c1:3c:8d,74:da:da:c0:d7:b9,74:da:da:98:85:00,74:da:da:c1:3b:19,74:da:da:c1:3c:ce,0c:73:eb:d0:76:18,74:da:da:c1:3c:55,0c:73:eb:d0:76:48,74:da:da:c1:3d:85,74:da:da:98:8f:31,74:da:da:c1:56:a1,0c:73:eb:d0:13:a0,74:da:da:98:85:1c,74:da:da:c1:3b:29,74:da:da:c1:3c:4e,0c:73:eb:d0:19:90,0c:73:eb:d0:19:98,74:da:da:c1:3d:35,0c:73:eb:d0:11:e0,74:da:da:c1:3b:ca,0c:73:eb:d0:7c:08,0c:73:eb:d0:0e:b0,74:da:da:98:90:94,0c:73:eb:d0:76:58,74:da:da:c1:3b:6a,74:da:da:c1:3c:86,0c:73:eb:d0:2a:40,74:da:da:c0:d7:e9,0c:73:eb:d0:2a:50,74:da:da:c1:3c:56,74:da:da:c0:f3:06,74:da:da:c1:25:a1,0c:73:eb:d0:0e:d8,0c:73:eb:d0:0e:a8,74:da:da:c0:f3:59,74:da:da:c1:25:69,c0:61:18:93:35:28,74:da:da:c1:3b:65,74:da:da:c0:d8:3d,74:da:da:98:8f:3c,74:da:da:c0:f4:69,74:da:da:98:74:80,0c:73:eb:d0:7f:08,74:da:da:c1:3b:66,74:da:da:c1:3b:4d,74:da:da:c0:de:2d,0c:73:eb:d0:76:28,74:da:da:98:8f:65,0c:73:eb:d0:13:a8,74:da:da:c1:3d:05,0c:73:eb:d0:0e:90,74:da:da:c1:3c:45,74:da:da:98:90:2c,0c:73:eb:d0:7c:38,0c:73:eb:d0:13:c8,74:da:da:c0:d7:9d,74:da:da:98:8f:64,0c:73:eb:d0:2a:68,74:da:da:98:85:60,74:da:da:98:92:14,74:da:da:c1:3b:45,74:da:da:98:ea:4c,74:da:da:c1:3d:09,74:da:da:c1:3c:51
1526463094249,-38,-40,-43,-48,-50,-50,-52,-52,-54,-55,-56,-57,-57,-58,-58,-58,-59,-59,-60,-62,-62,-63,-65,-65,-66,-67,-69,-70,-70,-70,-71,-71,-72,-73,-74,-74,-74,-75,-75,-76,-76,-77,-77,-77,-78,-78,-78,-79,-79,-80,-81,-81,-82,-82,-83,-83,-84,-84,-85,-87,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463097302,-36,-25,-54,-31,-46,-57,-50,-52,-60,-50,-74,-50,-51,-54,-53,-60,-59,-200,-50,-200,-200,-63,-200,-63,-56,-67,-200,-67,-200,-61,-66,-67,-200,-200,-70,-74,-74,-75,-86,-68,-75,-62,-200,-200,-68,-67,-78,-79,-70,-71,-200,-66,-72,-200,-74,-83,-200,-200,-200,-200,-200,-89,-72,-78,-79,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463100319,-36,-31,-54,-35,-46,-57,-49,-44,-58,-50,-69,-52,-49,-56,-79,-60,-59,-62,-50,-71,-200,-57,-200,-57,-56,-200,-200,-66,-68,-64,-67,-72,-200,-200,-70,-68,-200,-200,-86,-67,-75,-65,-69,-200,-72,-67,-200,-200,-75,-71,-200,-82,-72,-200,-82,-200,-200,-200,-200,-200,-200,-200,-72,-76,-79,-88,-68,-69,-81,-81,-83,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463103343,-33,-31,-56,-32,-46,-58,-49,-52,-59,-51,-74,-50,-48,-56,-74,-58,-53,-62,-53,-71,-68,-82,-200,-57,-57,-76,-200,-66,-68,-64,-67,-72,-200,-200,-70,-68,-200,-75,-200,-68,-200,-65,-69,-200,-72,-67,-200,-200,-66,-71,-82,-66,-200,-200,-82,-200,-200,-200,-200,-200,-200,-79,-200,-76,-200,-200,-74,-74,-81,-81,-83,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463106348,-33,-31,-56,-32,-46,-57,-55,-47,-59,-51,-59,-51,-46,-56,-54,-58,-63,-50,-51,-71,-66,-56,-65,-58,-57,-76,-200,-66,-73,-63,-200,-200,-200,-200,-70,-72,-200,-73,-84,-48,-200,-74,-66,-200,-72,-200,-200,-200,-66,-71,-82,-70,-200,-200,-59,-200,-200,-200,-200,-200,-200,-79,-66,-200,-200,-200,-63,-74,-200,-200,-200,-200,-67,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463109397,-33,-24,-56,-36,-47,-57,-55,-44,-58,-51,-74,-50,-51,-56,-55,-77,-51,-60,-55,-71,-66,-56,-64,-57,-57,-76,-200,-66,-73,-63,-65,-200,-200,-200,-70,-70,-68,-69,-84,-69,-88,-74,-66,-200,-48,-85,-200,-200,-66,-71,-82,-70,-200,-200,-59,-200,-200,-200,-91,-200,-200,-79,-66,-88,-200,-200,-77,-74,-200,-200,-200,-200,-67,-90,-84,-87,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463112404,-36,-31,-63,-36,-46,-56,-49,-46,-59,-72,-74,-49,-51,-55,-54,-77,-62,-52,-53,-200,-67,-54,-64,-58,-57,-200,-200,-66,-200,-65,-65,-200,-200,-74,-70,-68,-68,-70,-200,-68,-88,-200,-200,-200,-72,-70,-200,-200,-200,-68,-200,-200,-200,-200,-82,-200,-200,-200,-91,-200,-200,-200,-200,-88,-200,-200,-64,-73,-200,-200,-200,-200,-200,-200,-84,-87,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463115408,-37,-25,-63,-36,-46,-58,-84,-53,-58,-51,-74,-53,-49,-54,-54,-77,-62,-50,-54,-67,-67,-56,-62,-56,-57,-57,-77,-67,-200,-62,-65,-68,-200,-74,-70,-68,-68,-70,-200,-68,-88,-66,-200,-200,-72,-70,-200,-200,-200,-68,-200,-200,-200,-200,-74,-200,-200,-200,-91,-200,-200,-200,-70,-88,-77,-200,-62,-73,-200,-200,-200,-200,-200,-200,-84,-87,-90,-90,-74,-78,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463118412,-36,-24,-56,-37,-46,-57,-55,-52,-58,-51,-74,-52,-49,-50,-55,-200,-54,-62,-52,-67,-67,-58,-62,-57,-57,-57,-77,-67,-200,-62,-200,-68,-200,-74,-67,-68,-200,-74,-200,-48,-200,-64,-70,-200,-72,-70,-200,-200,-200,-71,-200,-70,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-70,-200,-77,-200,-63,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-74,-78,-82,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
