,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,whu2011314
,74:da:da:c0:d8:3d,74:da:da:c1:3b:19,74:da:da:c0:d8:3e,74:da:da:c1:3c:85,74:da:da:c1:3b:29,74:da:da:98:91:d4,74:da:da:c1:3b:1a,74:da:da:c1:3c:86,74:da:da:c1:3b:2a,74:da:da:c0:f6:15,0c:73:eb:d0:11:c0,74:da:da:c0:e0:6d,74:da:da:c0:d7:c5,74:da:da:c0:d7:01,74:da:da:98:85:1c,74:da:da:98:85:1d,74:da:da:c1:3b:49,0c:73:eb:d0:19:88,74:da:da:c1:3c:4d,0c:73:eb:d0:13:d8,0c:73:eb:d0:76:18,74:da:da:c0:d7:9d,0c:73:eb:d0:19:a0,74:da:da:98:85:61,74:da:da:c1:3b:85,74:da:da:c0:d7:b9,0c:73:eb:d0:11:e0,74:da:da:c0:f3:05,0c:73:eb:d0:7f:08,0c:73:eb:d0:19:90,0c:73:eb:d0:7e:f8,74:da:da:c1:3c:51,74:da:da:98:ea:5c,0c:73:eb:d0:76:50,74:da:da:c1:3c:55,74:da:da:c1:48:bd,74:da:da:98:66:cc,74:da:da:c0:f4:69,0c:73:eb:d0:2a:50,74:da:da:c1:3c:11,74:da:da:98:85:60,74:da:da:c0:f3:01,0c:73:eb:d0:7c:38,74:da:da:c1:4a:85,0c:73:eb:d0:7c:08,0c:73:eb:d0:0e:a8,74:da:da:c0:d7:19,74:da:da:98:74:80,74:da:da:98:85:00,0c:73:eb:d0:13:b8,c0:61:18:93:3e:54,74:da:da:c0:f3:59,0c:73:eb:d0:13:98,0c:73:eb:d0:7e:e0,74:da:da:c1:5e:ed,74:da:da:c1:3c:4e,74:da:da:c1:3c:12,74:da:da:98:8f:30,74:da:da:98:ea:51,74:da:da:c1:4a:69,0c:73:eb:d0:19:80,0c:73:eb:d0:13:c8,74:da:da:c1:3b:69,0c:73:eb:d0:76:38,74:da:da:c0:e0:6e,74:da:da:98:ea:5d,0c:73:eb:d0:0e:a0,74:da:da:c0:d7:9e,74:da:da:c0:d7:02,74:da:da:98:90:94,0c:73:eb:d0:13:b0,0c:73:eb:d0:19:98,74:da:da:98:90:2c,0c:73:eb:d0:76:10,74:da:da:c0:d7:81,0c:73:eb:d0:76:28,74:da:da:c1:3b:cd,74:da:da:c1:3c:45,74:da:da:98:ea:64,74:da:da:c0:d9:39,74:da:da:c1:3b:45,50:3a:a0:ea:01:66,74:da:da:c0:f6:16,0c:73:eb:d0:2a:90,0c:73:eb:d0:19:b8,c0:61:18:93:35:28
1526460104287,-43,-51,-51,-55,-59,-68,-69,-69,-71,-73,-73,-73,-75,-75,-78,-79,-79,-82,-83,-83,-83,-83,-84,-84,-84,-84,-85,-85,-85,-86,-86,-87,-87,-87,-87,-87,-87,-88,-88,-88,-89,-89,-89,-89,-90,-90,-90,-90,-91,-91,-91,-91,-91,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460107316,-48,-52,-56,-49,-75,-90,-55,-62,-71,-80,-73,-73,-75,-72,-78,-79,-79,-82,-81,-83,-77,-85,-71,-200,-84,-84,-85,-200,-85,-81,-86,-87,-82,-87,-74,-200,-87,-88,-200,-88,-89,-200,-89,-89,-90,-90,-90,-90,-91,-200,-200,-200,-91,-87,-93,-74,-83,-83,-84,-87,-90,-90,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460110324,-49,-46,-63,-51,-75,-90,-57,-63,-200,-80,-200,-84,-200,-72,-84,-200,-200,-90,-76,-200,-74,-85,-72,-200,-200,-200,-200,-200,-91,-77,-200,-200,-82,-200,-71,-90,-200,-200,-77,-72,-89,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-82,-83,-83,-84,-87,-90,-90,-90,-91,-76,-85,-86,-86,-86,-86,-89,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460113354,-50,-50,-60,-55,-77,-88,-56,-62,-200,-83,-200,-83,-200,-67,-85,-200,-200,-82,-74,-200,-76,-78,-71,-200,-200,-200,-200,-200,-91,-80,-200,-200,-75,-200,-68,-90,-200,-200,-77,-76,-89,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-72,-86,-88,-83,-87,-90,-90,-90,-91,-76,-85,-86,-86,-86,-86,-89,-90,-91,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460116388,-48,-49,-54,-53,-75,-88,-55,-61,-200,-83,-200,-84,-82,-69,-82,-200,-200,-87,-76,-200,-78,-80,-72,-200,-200,-200,-200,-200,-91,-80,-200,-200,-75,-200,-68,-90,-200,-200,-77,-80,-89,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-72,-83,-88,-81,-87,-90,-90,-90,-91,-74,-85,-86,-86,-86,-86,-89,-90,-91,-88,-91,-81,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460119397,-48,-58,-46,-60,-79,-85,-61,-56,-200,-89,-84,-74,-82,-69,-74,-200,-200,-87,-72,-200,-78,-80,-77,-200,-200,-200,-200,-200,-91,-73,-200,-200,-78,-200,-78,-90,-200,-200,-78,-80,-89,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-83,-88,-81,-87,-200,-200,-200,-200,-74,-84,-86,-84,-86,-86,-89,-90,-91,-85,-91,-81,-91,-81,-90,-91,-200,-200,-200,-200,-200,-200
1526460122406,-49,-61,-46,-58,-79,-86,-62,-57,-200,-89,-84,-78,-86,-72,-74,-200,-200,-87,-73,-200,-80,-83,-86,-200,-200,-200,-200,-200,-200,-73,-200,-200,-84,-89,-75,-200,-200,-200,-77,-75,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-84,-88,-82,-200,-200,-200,-200,-200,-74,-84,-200,-84,-200,-85,-200,-200,-200,-85,-91,-81,-91,-81,-90,-91,-84,-89,-200,-200,-200,-200
1526460125434,-47,-58,-43,-61,-77,-86,-62,-59,-79,-83,-84,-72,-86,-72,-74,-200,-200,-87,-71,-200,-80,-81,-78,-200,-200,-200,-200,-200,-200,-74,-200,-200,-80,-89,-74,-200,-200,-200,-77,-75,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-84,-200,-82,-200,-200,-90,-200,-200,-76,-84,-200,-85,-200,-85,-200,-200,-200,-85,-200,-87,-91,-84,-88,-91,-84,-89,-200,-200,-200,-200
1526460128442,-49,-55,-43,-61,-70,-86,-54,-59,-79,-81,-86,-79,-90,-72,-75,-200,-200,-90,-71,-200,-80,-78,-79,-200,-200,-200,-200,-200,-200,-78,-200,-89,-80,-89,-77,-200,-200,-200,-80,-72,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-84,-86,-82,-200,-200,-90,-200,-200,-70,-86,-200,-85,-200,-86,-200,-200,-200,-85,-200,-84,-89,-84,-88,-91,-84,-89,-200,-200,-200,-200
