,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10
,74:da:da:c0:d7:01,74:da:da:c0:d6:f5,0c:73:eb:d0:2a:50,0c:73:eb:d0:76:10,74:da:da:c0:d7:02,74:da:da:98:ea:64,74:da:da:98:ea:54,0c:73:eb:d0:76:18,74:da:da:c0:d9:39,0c:73:eb:d0:19:80,0c:73:eb:d0:19:c8,0c:73:eb:d0:0e:c8,74:da:da:c1:3c:11,0c:73:eb:d0:19:c0,74:da:da:c0:d6:f6,74:da:da:c0:d7:9d,74:da:da:c0:d7:11,74:da:da:c1:4a:69,74:da:da:98:ea:55,74:da:da:c1:3c:85,0c:73:eb:d0:13:c8,74:da:da:98:ea:65,74:da:da:c1:3c:55,74:da:da:c1:3c:45,74:da:da:c0:d7:81,74:da:da:c1:4a:85,0c:73:eb:d0:13:b0,0c:73:eb:d0:2a:40,74:da:da:c0:e0:6d,74:da:da:c0:d6:ee,0c:73:eb:d0:0e:a0,74:da:da:c0:d8:1d,74:da:da:c0:d6:ed,74:da:da:c0:d9:3a,74:da:da:c1:3d:35,0c:73:eb:d0:76:50,0c:73:eb:d0:19:90,74:da:da:c0:f3:05,74:da:da:98:74:80,74:da:da:c1:3d:0d,74:da:da:c0:f3:59,74:da:da:c0:d7:e9,74:da:da:98:66:cc,0c:73:eb:d0:13:90,74:da:da:c0:d7:12,74:da:da:c0:d7:9e,0c:73:eb:d0:19:a0,74:da:da:c0:d7:82,74:da:da:98:ea:5c,74:da:da:98:74:74,0c:73:eb:d0:11:c8,0c:73:eb:d0:76:28,74:da:da:c1:3b:19,0c:73:eb:d0:13:98,74:da:da:c0:d8:3d,74:da:da:98:90:94,74:da:da:98:90:2c,74:da:da:c1:3b:29,0c:73:eb:d0:0e:d8,74:da:da:c0:f6:15,0c:73:eb:d0:13:a0,74:da:da:98:91:d4,74:da:da:c1:25:69,74:da:da:c1:02:91,74:da:da:c1:03:1d,74:da:da:c1:3d:05,0c:73:eb:d0:7c:08,0c:73:eb:d0:2a:90,74:da:da:c1:48:bd,0c:73:eb:d0:0e:a8,0c:73:eb:d0:19:88,74:da:da:c0:d7:c5,0c:73:eb:d0:7f:10
1526464591317,-30,-34,-38,-44,-52,-53,-55,-56,-57,-58,-60,-61,-64,-65,-67,-68,-68,-68,-68,-69,-72,-73,-73,-74,-75,-76,-76,-77,-79,-79,-80,-80,-81,-81,-83,-84,-84,-84,-85,-86,-89,-89,-90,-90,-90,-91,-92,-95,-95,-96,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464594363,-74,-51,-61,-70,-86,-51,-59,-83,-54,-68,-62,-78,-84,-74,-84,-77,-76,-86,-95,-95,-91,-85,-200,-200,-93,-93,-74,-96,-88,-86,-96,-200,-61,-91,-200,-96,-93,-92,-200,-200,-200,-96,-88,-200,-200,-200,-200,-200,-200,-94,-200,-81,-90,-93,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464597394,-72,-52,-63,-70,-90,-53,-61,-88,-56,-65,-68,-82,-91,-77,-88,-73,-73,-84,-89,-95,-91,-83,-90,-200,-95,-94,-80,-96,-87,-84,-97,-200,-62,-94,-200,-96,-82,-92,-96,-200,-200,-96,-80,-200,-200,-200,-200,-200,-200,-94,-200,-83,-92,-93,-96,-97,-88,-91,-92,-94,-96,-96,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464600436,-76,-49,-70,-65,-92,-56,-60,-84,-59,-63,-67,-70,-87,-78,-91,-77,-74,-86,-92,-92,-90,-90,-92,-200,-95,-93,-74,-96,-85,-87,-97,-96,-68,-90,-97,-95,-87,-96,-96,-200,-200,-96,-85,-200,-200,-200,-200,-200,-200,-94,-200,-84,-88,-95,-96,-94,-82,-93,-92,-94,-96,-93,-96,-97,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526464603488,-72,-48,-61,-62,-91,-50,-62,-85,-55,-65,-65,-70,-80,-77,-91,-78,-72,-85,-90,-91,-90,-82,-92,-200,-90,-95,-81,-200,-85,-87,-96,-96,-66,-85,-97,-95,-92,-95,-97,-200,-200,-96,-90,-200,-200,-200,-200,-200,-200,-94,-200,-80,-88,-95,-93,-94,-82,-91,-92,-97,-96,-93,-96,-95,-96,-97,-98,-200,-200,-200,-200,-200,-200
1526464606531,-76,-49,-64,-64,-86,-50,-69,-82,-55,-68,-67,-70,-76,-75,-92,-78,-75,-86,-90,-92,-90,-86,-92,-200,-90,-95,-78,-200,-84,-87,-95,-96,-68,-85,-97,-92,-87,-92,-97,-200,-200,-96,-85,-200,-200,-200,-200,-200,-200,-93,-200,-86,-88,-92,-93,-96,-85,-91,-92,-95,-97,-93,-200,-96,-96,-97,-98,-91,-200,-200,-200,-200,-200
1526464609575,-72,-49,-61,-63,-84,-53,-60,-82,-52,-65,-69,-200,-76,-76,-91,-77,-75,-86,-88,-92,-200,-84,-91,-200,-90,-95,-78,-200,-84,-88,-95,-200,-64,-85,-200,-92,-91,-92,-97,-200,-200,-96,-85,-200,-200,-200,-200,-200,-200,-92,-200,-77,-200,-92,-93,-96,-85,-91,-92,-95,-97,-200,-200,-96,-96,-97,-98,-91,-200,-200,-200,-200,-200
1526464612616,-75,-48,-60,-66,-85,-54,-62,-82,-55,-67,-64,-200,-81,-77,-88,-80,-72,-87,-89,-92,-200,-86,-90,-200,-90,-200,-81,-200,-86,-89,-95,-96,-65,-84,-200,-93,-86,-97,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-93,-200,-77,-95,-92,-200,-96,-86,-91,-93,-95,-97,-200,-200,-96,-200,-200,-97,-91,-200,-200,-200,-200,-200
1526464615652,-71,-50,-63,-65,-87,-53,-61,-82,-51,-67,-65,-200,-79,-76,-88,-79,-76,-88,-89,-94,-200,-83,-90,-200,-91,-200,-76,-200,-85,-86,-200,-95,-67,-86,-200,-94,-88,-96,-95,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-93,-200,-77,-91,-94,-94,-200,-84,-91,-93,-94,-96,-200,-200,-200,-96,-200,-97,-200,-95,-200,-200,-200,-200
