,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
,0c:73:eb:d0:13:a0,74:da:da:c0:d7:81,74:da:da:c1:3d:35,74:da:da:c0:d8:1d,74:da:da:c1:3d:85,0c:73:eb:d0:76:50,0c:73:eb:d0:0e:90,0c:73:eb:d0:0e:b0,74:da:da:c0:d7:9d,74:da:da:c0:f3:05,74:da:da:c1:3d:0d,74:da:da:c1:25:e5,74:da:da:98:ea:50,0c:73:eb:d0:76:28,74:da:da:c1:25:a1,74:da:da:c0:d8:1e,74:da:da:c1:3d:09,0c:73:eb:d0:2a:10,74:da:da:c1:3d:05,74:da:da:c1:25:69,74:da:da:c0:d7:e9,74:da:da:c0:d7:dd,0c:73:eb:d0:19:a0,0c:73:eb:d0:2a:40,74:da:da:c1:3c:4d,0c:73:eb:d0:0e:a8,0c:73:eb:d0:19:b8,0c:73:eb:d0:0e:d8,0c:73:eb:d0:0e:a0,74:da:da:c1:3b:c9,0c:73:eb:d0:76:10,74:da:da:c0:de:2d,0c:73:eb:d0:19:88,74:da:da:c0:d7:82,74:da:da:98:ea:64,0c:73:eb:d0:2a:18,74:da:da:c0:d8:25,0c:73:eb:d0:0e:98,74:da:da:c0:d7:9e,74:da:da:c0:f3:06,0c:73:eb:d0:2a:58,74:da:da:c1:3d:36,74:da:da:c1:3c:cd,74:da:da:c1:3b:69,74:da:da:c0:f3:59,0c:73:eb:d0:2a:68,74:da:da:c0:d8:59,c0:61:18:93:35:28,74:da:da:98:ea:5c,74:da:da:c1:3c:55,74:da:da:c1:3d:86,0c:73:eb:d0:76:38,74:da:da:c1:3c:8d,0c:73:eb:d0:2a:90,74:da:da:c0:d7:01,74:da:da:c0:d6:f5,0c:73:eb:d0:76:30,74:da:da:98:85:00,74:da:da:98:ea:54,74:da:da:c1:25:d9,0c:73:eb:d0:19:90,74:da:da:c1:4a:85,74:da:da:c0:d7:c5,74:da:da:c1:25:e6,0c:73:eb:d0:2a:60,0c:73:eb:d0:0e:b8,74:da:da:c0:d7:de,0c:73:eb:d0:19:c8,0c:73:eb:d0:7c:38,c0:61:18:93:3e:54,0c:73:eb:d0:7a:68,74:da:da:c1:3d:0e,0c:73:eb:d0:13:a8,74:da:da:c1:3b:cd,0c:73:eb:d0:2a:30,0c:73:eb:d0:0e:c8,74:da:da:c1:04:4d,0c:73:eb:d0:7f:08,74:da:da:c0:d8:7d,74:da:da:98:91:d4,0c:73:eb:d0:2a:48,74:da:da:c1:5e:ed,74:da:da:98:8f:3c,0c:73:eb:d0:11:c8,74:da:da:c1:04:45,74:da:da:98:ea:51,74:da:da:c1:3b:19,0c:73:eb:d0:0e:c0,74:da:da:c0:d7:02,0c:73:eb:d0:19:98,74:da:da:98:85:60,74:da:da:c1:17:75,74:da:da:c1:3c:85,74:da:da:c1:03:61,74:da:da:c1:56:a1,0c:73:eb:d0:2a:50,0c:73:eb:d0:2a:98,74:da:da:c0:d8:05,74:da:da:c0:d7:ea,0c:73:eb:d0:7f:10,0c:73:eb:d0:11:e0,74:da:da:c1:4a:69,0c:73:eb:d0:76:18,74:da:da:c1:04:49,74:da:da:c1:3d:06
1526451037486,-32,-41,-43,-46,-50,-52,-53,-54,-55,-56,-57,-57,-59,-59,-61,-64,-65,-65,-65,-67,-68,-69,-69,-69,-70,-72,-73,-74,-74,-76,-76,-78,-78,-79,-79,-79,-80,-80,-80,-82,-82,-83,-83,-83,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-85,-85,-85,-86,-86,-87,-87,-89,-89,-90,-90,-90,-91,-91,-91,-91,-91,-92,-92,-92,-93,-93,-93,-94,-95,-95,-96,-96,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451040517,-36,-62,-50,-47,-52,-51,-54,-68,-67,-52,-60,-63,-68,-57,-58,-64,-77,-69,-200,-66,-75,-70,-64,-65,-76,-79,-74,-68,-82,-69,-87,-79,-200,-79,-84,-200,-75,-77,-89,-77,-73,-78,-83,-200,-79,-91,-84,-200,-79,-200,-79,-200,-200,-82,-200,-200,-200,-89,-93,-76,-200,-200,-82,-92,-91,-90,-87,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-93,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451043548,-38,-62,-49,-47,-46,-50,-58,-67,-64,-51,-61,-64,-69,-63,-59,-64,-77,-69,-74,-66,-75,-69,-61,-71,-73,-71,-73,-68,-82,-69,-88,-79,-200,-78,-84,-200,-74,-78,-92,-74,-74,-78,-83,-91,-81,-88,-84,-200,-77,-200,-79,-96,-200,-82,-200,-200,-200,-90,-93,-76,-200,-200,-83,-92,-91,-90,-87,-200,-200,-200,-200,-94,-200,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-94,-97,-94,-95,-97,-100,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451046593,-35,-55,-52,-49,-49,-57,-53,-66,-64,-51,-61,-64,-65,-58,-60,-64,-78,-78,-70,-58,-75,-71,-65,-63,-73,-71,-73,-65,-82,-69,-85,-79,-200,-80,-80,-200,-74,-82,-92,-76,-73,-78,-86,-91,-80,-88,-82,-200,-78,-200,-79,-96,-87,-80,-200,-200,-200,-89,-93,-76,-200,-200,-81,-94,-94,-92,-88,-94,-200,-200,-200,-93,-200,-92,-90,-200,-200,-200,-200,-95,-200,-200,-200,-200,-92,-93,-97,-96,-95,-97,-100,-72,-95,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451049649,-36,-55,-52,-49,-49,-52,-53,-64,-65,-52,-61,-62,-69,-57,-59,-64,-78,-73,-70,-58,-77,-70,-65,-64,-75,-71,-75,-67,-80,-68,-88,-200,-200,-78,-83,-90,-75,-83,-92,-77,-73,-78,-86,-94,-80,-87,-91,-200,-77,-82,-79,-90,-87,-79,-200,-200,-200,-88,-91,-75,-200,-200,-74,-91,-91,-89,-87,-94,-200,-200,-200,-96,-200,-92,-92,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-93,-97,-96,-95,-97,-100,-72,-95,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451052700,-36,-56,-54,-50,-50,-57,-52,-64,-65,-49,-62,-63,-68,-58,-59,-64,-77,-67,-70,-65,-74,-70,-62,-65,-75,-73,-74,-68,-79,-68,-86,-82,-200,-78,-83,-88,-75,-76,-91,-77,-77,-78,-86,-92,-80,-87,-84,-200,-79,-79,-79,-90,-87,-80,-200,-200,-85,-88,-91,-75,-91,-200,-83,-92,-93,-89,-87,-94,-200,-200,-200,-96,-200,-89,-90,-95,-200,-200,-200,-95,-200,-200,-200,-200,-200,-92,-96,-96,-94,-97,-200,-72,-95,-95,-95,-77,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526451055753,-37,-58,-50,-50,-52,-55,-53,-65,-63,-50,-60,-69,-67,-56,-61,-65,-78,-74,-74,-65,-75,-71,-66,-70,-75,-73,-74,-68,-82,-69,-86,-82,-200,-78,-83,-88,-73,-84,-89,-75,-77,-78,-86,-92,-80,-75,-88,-200,-77,-83,-79,-96,-87,-80,-200,-200,-85,-90,-91,-71,-91,-200,-81,-92,-93,-89,-87,-200,-200,-200,-200,-94,-200,-91,-90,-95,-200,-200,-87,-200,-95,-200,-200,-200,-90,-92,-95,-200,-96,-99,-200,-200,-200,-95,-200,-77,-89,-85,-95,-96,-200,-200,-200,-200,-200
1526451058804,-37,-56,-53,-48,-49,-53,-54,-69,-65,-51,-57,-64,-69,-55,-61,-64,-77,-74,-74,-65,-75,-77,-66,-65,-200,-73,-75,-67,-79,-70,-84,-82,-84,-78,-83,-88,-75,-76,-91,-77,-72,-78,-85,-92,-80,-77,-88,-200,-82,-83,-79,-95,-88,-79,-200,-200,-83,-88,-91,-76,-94,-200,-81,-92,-90,-200,-87,-89,-200,-92,-200,-91,-200,-89,-90,-95,-200,-200,-87,-200,-95,-200,-200,-200,-90,-93,-95,-200,-96,-99,-200,-200,-200,-93,-200,-76,-89,-85,-95,-96,-200,-200,-200,-200,-200
1526451061866,-37,-55,-50,-49,-53,-58,-54,-65,-63,-49,-62,-63,-68,-60,-58,-64,-78,-77,-68,-70,-77,-73,-61,-64,-200,-70,-74,-64,-79,-68,-86,-81,-82,-81,-81,-200,-73,-76,-91,-77,-76,-78,-86,-91,-79,-77,-87,-200,-79,-82,-80,-95,-88,-78,-200,-200,-84,-87,-91,-75,-94,-200,-82,-93,-93,-92,-88,-86,-200,-92,-200,-93,-200,-89,-90,-200,-200,-200,-87,-200,-95,-200,-200,-200,-89,-94,-95,-200,-95,-99,-200,-200,-200,-93,-200,-76,-87,-85,-95,-96,-200,-200,-200,-200,-200
