,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A98,DLINK_D02A58,DLINK_D00E98,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018
,0c:73:eb:d0:76:50,74:da:da:c0:f3:05,0c:73:eb:d0:13:a0,74:da:da:c0:d7:81,74:da:da:c1:3d:0d,0c:73:eb:d0:0e:d8,74:da:da:c0:d7:9d,74:da:da:c0:d7:e9,74:da:da:c0:d8:1d,74:da:da:c1:3d:85,0c:73:eb:d0:0e:b0,0c:73:eb:d0:76:28,74:da:da:c1:3d:35,74:da:da:98:ea:5c,0c:73:eb:d0:0e:90,0c:73:eb:d0:19:88,74:da:da:c1:25:a1,74:da:da:c0:d7:82,74:da:da:c0:f3:06,74:da:da:c1:3d:09,74:da:da:c1:3d:05,74:da:da:c0:d7:c5,0c:73:eb:d0:76:30,74:da:da:c0:f3:59,74:da:da:c0:d7:ea,74:da:da:98:ea:64,0c:73:eb:d0:2a:50,0c:73:eb:d0:2a:18,74:da:da:c0:d7:01,0c:73:eb:d0:76:10,74:da:da:c0:d8:25,0c:73:eb:d0:0e:a8,0c:73:eb:d0:2a:90,74:da:da:c1:3b:cd,0c:73:eb:d0:2a:10,74:da:da:c1:17:75,74:da:da:c1:47:ce,0c:73:eb:d0:2a:40,74:da:da:c1:25:69,74:da:da:c1:3d:0e,74:da:da:98:ea:50,0c:73:eb:d0:0e:a0,0c:73:eb:d0:76:38,74:da:da:98:ea:65,74:da:da:c0:d8:1e,74:da:da:c1:3d:36,0c:73:eb:d0:19:a0,0c:73:eb:d0:2a:98,0c:73:eb:d0:2a:58,0c:73:eb:d0:0e:98,0c:73:eb:d0:19:b8,0c:73:eb:d0:7e:f8,74:da:da:c1:3d:06,0c:73:eb:d0:2a:60,74:da:da:98:ea:54,74:da:da:c1:3d:86,c0:61:18:93:3e:54,74:da:da:c0:d7:02,74:da:da:c0:e0:6d,74:da:da:c1:25:e5,c0:61:18:93:35:28,74:da:da:c0:de:2d,74:da:da:c0:d8:05,0c:73:eb:d0:2a:68,74:da:da:c0:d8:7d,74:da:da:c1:3c:4d,74:da:da:c0:d7:9e,74:da:da:c1:25:d9,74:da:da:c1:3b:19,74:da:da:c1:4a:69,74:da:da:c1:3c:cd,0c:73:eb:d0:19:c8,74:da:da:c1:3b:69,74:da:da:c0:d8:26,74:da:da:c1:3c:55,74:da:da:c0:d8:06,74:da:da:c0:d8:59,74:da:da:c1:3d:0a,74:da:da:c1:17:76,74:da:da:c0:d8:3d,74:da:da:c0:d7:ed,0c:73:eb:d0:19:98,0c:73:eb:d0:0e:b8,74:da:da:c1:3b:45,74:da:da:c1:4a:c9,74:da:da:c0:d9:39,74:da:da:98:ea:5d,74:da:da:98:ea:55,74:da:da:c0:d6:f5,0c:73:eb:d0:13:b0,74:da:da:c0:d7:ee,74:da:da:c1:3b:85,74:da:da:c0:d7:de,74:da:da:c1:5e:ed,74:da:da:98:85:1c,74:da:da:c1:3b:29,74:da:da:c0:d7:dd,74:da:da:c1:3b:65,0c:73:eb:d0:2a:30,0c:73:eb:d0:2a:48,74:da:da:c1:56:a1,74:da:da:98:66:cc,74:da:da:c1:03:61,74:da:da:c1:3c:8d,74:da:da:c1:4a:7d,0c:73:eb:d0:76:48,74:da:da:c0:f2:fd,74:da:da:c1:4a:85,74:da:da:c1:3b:c9,0c:73:eb:d0:19:c0,74:da:da:c0:f6:15,74:da:da:c1:25:9d,0c:73:eb:d0:2a:38,74:da:da:c0:d7:0d,74:da:da:c1:3d:2d,74:da:da:c0:f3:01,74:da:da:c1:48:bd,0c:73:eb:d0:7e:d0,0c:73:eb:d0:0e:c8,74:da:da:c1:04:4d,74:da:da:98:8f:3c,0c:73:eb:d0:13:c8,0c:73:eb:d0:13:a8,0c:73:eb:d0:19:90,0c:73:eb:d0:19:80,0c:73:eb:d0:7c:38
1526463353405,-25,-33,-40,-44,-48,-49,-49,-51,-52,-53,-53,-55,-56,-57,-60,-60,-61,-62,-62,-64,-64,-66,-67,-67,-67,-67,-67,-68,-68,-69,-70,-71,-73,-73,-74,-74,-74,-75,-75,-75,-75,-76,-76,-76,-77,-77,-77,-79,-79,-79,-80,-80,-81,-81,-82,-82,-82,-83,-83,-83,-83,-84,-84,-84,-84,-85,-85,-85,-86,-87,-87,-87,-88,-88,-88,-88,-88,-89,-89,-89,-90,-90,-90,-92,-92,-92,-93,-93,-94,-94,-94,-94,-95,-95,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463356440,-32,-48,-41,-33,-51,-50,-52,-60,-46,-64,-53,-64,-46,-65,-53,-67,-200,-55,-59,-62,-63,-69,-69,-57,-75,-62,-71,-70,-69,-69,-79,-59,-80,-75,-72,-68,-89,-67,-75,-78,-82,-79,-78,-81,-71,-75,-71,-79,-83,-87,-200,-200,-76,-200,-72,-79,-200,-85,-200,-77,-200,-77,-70,-200,-200,-84,-86,-200,-200,-200,-87,-200,-83,-200,-200,-200,-200,-200,-200,-85,-200,-85,-200,-89,-200,-200,-200,-200,-87,-200,-200,-200,-88,-200,-200,-88,-73,-88,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463359488,-23,-49,-42,-32,-47,-44,-53,-59,-43,-51,-50,-62,-45,-69,-54,-72,-200,-56,-61,-62,-73,-63,-68,-58,-77,-64,-72,-73,-73,-69,-79,-61,-77,-75,-81,-69,-89,-66,-74,-75,-79,-83,-74,-87,-70,-76,-68,-78,-83,-87,-81,-200,-71,-200,-69,-73,-200,-87,-200,-77,-200,-78,-75,-200,-200,-85,-86,-86,-200,-200,-83,-200,-84,-86,-88,-92,-200,-92,-200,-85,-90,-85,-200,-89,-200,-200,-94,-200,-83,-200,-200,-200,-85,-91,-200,-95,-74,-88,-97,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463362543,-24,-50,-41,-33,-48,-57,-50,-59,-47,-63,-54,-63,-46,-63,-54,-72,-66,-55,-57,-62,-68,-62,-67,-59,-79,-65,-76,-72,-73,-71,-81,-59,-77,-69,-72,-68,-93,-70,-74,-76,-80,-81,-79,-85,-71,-78,-68,-84,-83,-86,-76,-200,-77,-200,-70,-74,-77,-85,-200,-77,-200,-72,-75,-83,-200,-85,-88,-86,-200,-200,-95,-88,-84,-86,-89,-90,-200,-92,-200,-85,-92,-84,-200,-89,-200,-200,-94,-95,-83,-97,-200,-200,-88,-91,-200,-95,-74,-88,-97,-83,-78,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463365595,-30,-48,-41,-32,-48,-57,-58,-59,-45,-61,-59,-63,-46,-62,-53,-68,-73,-55,-57,-61,-66,-65,-69,-56,-74,-67,-76,-74,-73,-72,-77,-59,-80,-80,-68,-69,-87,-67,-74,-76,-78,-83,-77,-85,-71,-75,-69,-84,-80,-89,-77,-86,-74,-200,-72,-75,-77,-85,-200,-76,-79,-77,-75,-84,-92,-87,-88,-86,-200,-200,-95,-88,-84,-90,-89,-91,-82,-93,-95,-200,-92,-86,-200,-90,-200,-200,-94,-95,-89,-97,-200,-200,-89,-91,-200,-95,-74,-87,-200,-83,-78,-85,-90,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463368648,-25,-47,-43,-33,-49,-57,-57,-65,-44,-62,-57,-62,-44,-66,-57,-67,-71,-56,-57,-61,-64,-62,-69,-60,-72,-64,-71,-72,-73,-67,-77,-61,-80,-69,-69,-60,-89,-67,-200,-78,-78,-80,-81,-85,-72,-75,-73,-79,-80,-87,-82,-84,-75,-200,-70,-75,-79,-86,-88,-76,-79,-75,-75,-84,-92,-85,-87,-200,-200,-200,-90,-88,-85,-90,-91,-88,-83,-94,-95,-85,-92,-86,-89,-90,-200,-200,-200,-95,-86,-97,-200,-200,-89,-91,-200,-200,-73,-88,-200,-84,-78,-85,-91,-86,-91,-93,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463371701,-22,-49,-42,-33,-47,-50,-55,-61,-45,-62,-56,-62,-44,-65,-56,-71,-64,-55,-58,-63,-64,-64,-69,-57,-80,-60,-78,-72,-71,-72,-80,-59,-82,-69,-63,-68,-86,-66,-77,-75,-70,-79,-77,-82,-75,-77,-76,-78,-200,-83,-79,-84,-73,-85,-70,-75,-79,-88,-88,-200,-200,-74,-75,-70,-200,-85,-86,-200,-200,-200,-91,-87,-85,-85,-88,-86,-83,-94,-91,-86,-92,-200,-90,-88,-200,-200,-200,-93,-85,-95,-200,-200,-86,-91,-200,-92,-73,-89,-200,-84,-200,-200,-91,-86,-88,-92,-94,-76,-82,-89,-93,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463374763,-30,-46,-41,-33,-48,-58,-54,-56,-46,-64,-50,-62,-44,-68,-53,-58,-72,-56,-57,-62,-67,-66,-69,-54,-79,-66,-82,-72,-69,-71,-80,-57,-85,-72,-69,-72,-86,-67,-78,-74,-70,-83,-81,-81,-69,-82,-74,-85,-200,-83,-79,-85,-73,-85,-70,-75,-79,-86,-87,-200,-200,-74,-75,-71,-200,-83,-87,-84,-200,-92,-91,-85,-83,-88,-89,-87,-83,-92,-91,-87,-93,-95,-90,-87,-200,-200,-200,-96,-86,-96,-200,-200,-86,-91,-200,-93,-78,-87,-200,-84,-200,-200,-91,-86,-87,-92,-96,-76,-82,-89,-93,-95,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463377820,-24,-49,-41,-33,-46,-54,-57,-62,-46,-64,-52,-56,-32,-65,-52,-68,-72,-54,-55,-48,-67,-67,-68,-57,-73,-66,-80,-72,-69,-70,-80,-56,-82,-69,-73,-68,-86,-67,-78,-75,-70,-83,-77,-79,-70,-82,-70,-78,-78,-83,-79,-85,-71,-85,-70,-79,-200,-94,-86,-200,-200,-73,-75,-75,-200,-83,-87,-84,-200,-92,-89,-85,-85,-88,-87,-85,-200,-93,-89,-85,-92,-95,-90,-87,-200,-200,-200,-96,-89,-96,-200,-97,-87,-200,-200,-93,-78,-88,-200,-200,-200,-200,-200,-88,-87,-92,-96,-76,-82,-89,-93,-95,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
