,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,whu2011309,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A20,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3d:0d,0c:73:eb:d0:0e:b0,74:da:da:c1:3d:05,74:da:da:c0:d7:81,74:da:da:c1:3d:35,0c:73:eb:d0:0e:d8,74:da:da:c1:3d:0e,74:da:da:c1:3d:85,0c:73:eb:d0:76:50,0c:73:eb:d0:2a:68,74:da:da:c0:f3:05,0c:73:eb:d0:2a:18,74:da:da:c0:d7:e9,0c:73:eb:d0:76:38,74:da:da:c0:de:2d,74:da:da:c1:3d:09,74:da:da:c0:d8:1d,74:da:da:c1:17:75,74:da:da:c1:3d:06,74:da:da:c0:d8:25,74:da:da:c1:3b:69,0c:73:eb:d0:76:30,0c:73:eb:d0:0e:90,0c:73:eb:d0:13:a0,c0:61:18:93:3e:54,0c:73:eb:d0:2a:10,74:da:da:c1:3b:cd,74:da:da:c0:d7:9d,0c:73:eb:d0:2a:58,0c:73:eb:d0:19:88,74:da:da:c0:d7:c5,74:da:da:c1:03:61,74:da:da:c1:25:a1,74:da:da:98:ea:5c,0c:73:eb:d0:0e:b8,74:da:da:c0:d8:26,74:da:da:c1:3d:0a,74:da:da:c1:4a:7d,0c:73:eb:d0:76:10,74:da:da:98:ea:64,74:da:da:c1:3d:36,74:da:da:c1:3b:c9,74:da:da:c0:d8:05,0c:73:eb:d0:19:b8,74:da:da:c0:f3:06,74:da:da:c0:d7:82,74:da:da:98:8f:3c,74:da:da:c0:d8:7d,0c:73:eb:d0:19:98,74:da:da:c1:3b:65,74:da:da:c1:3d:86,74:da:da:c1:3c:cd,0c:73:eb:d0:2a:60,0c:73:eb:d0:0e:a8,0c:73:eb:d0:76:28,74:da:da:c0:d7:ea,74:da:da:c0:f3:59,0c:73:eb:d0:0e:98,74:da:da:c0:d6:f5,74:da:da:c0:d7:de,74:da:da:98:ea:54,0c:73:eb:d0:2a:90,74:da:da:c1:3b:19,74:da:da:c0:d8:3d,74:da:da:98:ea:50,0c:73:eb:d0:0e:c0,0c:73:eb:d0:2a:20,0c:73:eb:d0:76:48,c0:61:18:93:35:28,0c:73:eb:d0:2a:50,74:da:da:c1:47:cd,0c:73:eb:d0:2a:48,74:da:da:c1:25:e5,74:da:da:c0:e0:6d,74:da:da:98:8f:30,0c:73:eb:d0:2a:40,74:da:da:c1:25:69,74:da:da:c1:5e:ed,74:da:da:c1:3b:ce,74:da:da:c1:3b:45,74:da:da:c1:3c:8d,0c:73:eb:d0:2a:98,74:da:da:c1:04:45,74:da:da:c0:d7:ed,0c:73:eb:d0:7f:10,74:da:da:c1:3b:49,0c:73:eb:d0:13:b0,0c:73:eb:d0:19:c0,74:da:da:c0:d7:dd,74:da:da:c1:25:9d,74:da:da:98:91:d4,74:da:da:c0:d8:59,74:da:da:c0:d7:11,74:da:da:98:ea:65,0c:73:eb:d0:7f:18,74:da:da:c1:47:ce,74:da:da:c0:d8:1e,0c:73:eb:d0:19:a0,0c:73:eb:d0:2a:28,74:da:da:c1:3c:51,0c:73:eb:d0:0e:d0,0c:73:eb:d0:7e:e0,74:da:da:c1:25:d9,74:da:da:c0:f6:15,74:da:da:c1:3c:85,74:da:da:c0:d7:01,0c:73:eb:d0:0e:a0,74:da:da:c0:d8:06,74:da:da:c1:14:99,74:da:da:c0:d7:b9,74:da:da:c1:04:4d
1526459518877,-30,-39,-40,-45,-46,-47,-53,-54,-55,-55,-56,-58,-59,-59,-61,-61,-62,-62,-63,-65,-65,-65,-66,-69,-69,-69,-72,-72,-72,-72,-74,-76,-77,-77,-77,-78,-78,-78,-78,-79,-79,-79,-79,-80,-80,-80,-80,-80,-80,-80,-81,-81,-81,-82,-84,-84,-84,-84,-85,-86,-86,-86,-87,-87,-88,-88,-88,-89,-89,-89,-90,-90,-90,-90,-91,-91,-91,-92,-93,-93,-93,-93,-94,-94,-95,-96,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459521907,-32,-35,-40,-46,-60,-40,-65,-45,-49,-57,-60,-68,-67,-62,-77,-51,-57,-67,-55,-61,-70,-64,-57,-64,-68,-200,-59,-76,-74,-200,-200,-74,-90,-78,-83,-83,-75,-200,-84,-200,-82,-84,-65,-81,-78,-82,-77,-200,-200,-200,-85,-84,-83,-200,-73,-85,-200,-200,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-82,-93,-200,-84,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-69,-94,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459524949,-34,-38,-40,-50,-54,-41,-58,-46,-54,-58,-61,-63,-65,-64,-77,-53,-67,-68,-62,-65,-70,-67,-60,-73,-71,-71,-72,-76,-72,-200,-73,-71,-81,-80,-83,-77,-80,-200,-84,-77,-84,-86,-68,-84,-85,-84,-78,-71,-200,-200,-84,-84,-80,-200,-79,-80,-200,-80,-86,-82,-200,-200,-200,-200,-200,-85,-200,-86,-200,-84,-200,-91,-200,-200,-82,-93,-91,-85,-200,-200,-200,-200,-200,-97,-200,-200,-77,-200,-73,-94,-94,-78,-89,-91,-93,-93,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459528007,-24,-37,-42,-43,-63,-46,-60,-57,-49,-63,-53,-54,-59,-67,-74,-48,-69,-68,-57,-60,-73,-64,-57,-71,-71,-63,-64,-76,-72,-79,-82,-71,-82,-85,-83,-79,-73,-200,-84,-73,-78,-83,-68,-84,-81,-77,-77,-68,-200,-85,-81,-84,-80,-200,-79,-75,-86,-80,-86,-82,-200,-200,-84,-86,-91,-66,-200,-88,-200,-84,-200,-91,-200,-200,-82,-93,-90,-85,-200,-200,-200,-90,-200,-89,-93,-200,-77,-200,-63,-94,-94,-78,-89,-91,-93,-93,-96,-88,-90,-93,-94,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459531070,-30,-37,-36,-40,-58,-47,-57,-52,-49,-56,-53,-44,-59,-67,-71,-45,-60,-59,-56,-60,-72,-71,-58,-68,-71,-62,-63,-78,-67,-79,-79,-73,-82,-83,-200,-81,-77,-200,-81,-75,-80,-90,-68,-82,-78,-82,-77,-74,-200,-85,-82,-200,-80,-200,-78,-80,-83,-80,-78,-84,-200,-86,-84,-86,-93,-66,-200,-86,-88,-90,-91,-89,-200,-200,-200,-95,-90,-85,-200,-200,-200,-81,-200,-89,-93,-200,-77,-200,-71,-93,-200,-78,-89,-91,-95,-93,-96,-87,-90,-93,-94,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459534125,-24,-34,-38,-50,-58,-46,-60,-53,-52,-60,-51,-45,-60,-65,-60,-46,-66,-59,-55,-59,-76,-68,-61,-68,-71,-62,-66,-78,-67,-79,-79,-71,-76,-86,-77,-80,-76,-86,-78,-78,-83,-90,-68,-83,-74,-80,-83,-78,-200,-90,-84,-73,-73,-77,-71,-80,-88,-200,-84,-80,-200,-83,-84,-86,-90,-77,-200,-86,-81,-79,-87,-89,-89,-200,-200,-95,-92,-87,-200,-200,-200,-80,-200,-89,-94,-200,-200,-200,-72,-90,-90,-200,-200,-200,-98,-200,-96,-92,-90,-93,-94,-96,-98,-200,-200,-200,-200,-200,-200,-200,-200
1526459537182,-24,-35,-36,-53,-60,-46,-64,-55,-55,-58,-50,-45,-59,-58,-69,-44,-60,-58,-53,-58,-83,-67,-61,-70,-81,-61,-64,-75,-68,-77,-70,-71,-77,-86,-85,-83,-82,-86,-78,-74,-84,-90,-65,-80,-77,-82,-79,-74,-200,-90,-84,-73,-79,-77,-71,-79,-86,-200,-81,-83,-200,-83,-87,-83,-90,-79,-200,-86,-81,-79,-89,-89,-89,-200,-92,-91,-94,-88,-200,-200,-200,-83,-200,-89,-94,-200,-200,-200,-85,-90,-90,-200,-200,-200,-98,-200,-95,-86,-200,-93,-200,-96,-98,-91,-200,-200,-200,-200,-200,-200,-200
1526459540237,-23,-34,-34,-59,-60,-46,-65,-53,-51,-58,-49,-47,-63,-63,-67,-45,-65,-59,-53,-56,-81,-65,-61,-72,-79,-61,-63,-76,-75,-82,-73,-75,-77,-87,-78,-80,-80,-86,-78,-72,-85,-87,-58,-80,-77,-86,-76,-71,-200,-90,-83,-73,-79,-77,-72,-81,-86,-200,-74,-82,-200,-81,-73,-83,-89,-79,-200,-83,-81,-81,-91,-200,-89,-200,-91,-93,-94,-87,-200,-82,-200,-83,-200,-200,-94,-200,-200,-200,-85,-87,-90,-200,-200,-200,-98,-200,-95,-86,-82,-93,-200,-96,-98,-91,-94,-200,-200,-200,-200,-200,-200
1526459543285,-31,-42,-42,-47,-58,-40,-62,-50,-59,-61,-65,-54,-64,-62,-74,-44,-76,-63,-60,-59,-76,-64,-65,-64,-79,-60,-62,-76,-82,-82,-73,-78,-77,-90,-82,-82,-76,-86,-200,-80,-80,-81,-66,-80,-77,-82,-83,-70,-80,-81,-80,-84,-79,-200,-78,-78,-78,-200,-86,-82,-200,-87,-88,-83,-89,-79,-200,-83,-200,-86,-91,-90,-200,-200,-91,-92,-94,-87,-200,-82,-86,-93,-200,-200,-96,-200,-200,-200,-68,-89,-95,-200,-200,-200,-200,-200,-92,-86,-82,-200,-200,-96,-200,-91,-94,-85,-94,-200,-200,-200,-200
