,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A60,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:2a:48,74:da:da:c1:47:cd,74:da:da:c0:d8:59,74:da:da:c1:17:75,0c:73:eb:d0:2a:98,74:da:da:c0:d7:ed,74:da:da:c0:d7:81,74:da:da:c1:47:ce,0c:73:eb:d0:2a:58,0c:73:eb:d0:0e:c0,74:da:da:c0:d8:05,0c:73:eb:d0:2a:28,0c:73:eb:d0:2a:88,74:da:da:c1:14:99,0c:73:eb:d0:2a:38,0c:73:eb:d0:0e:d0,74:da:da:c1:4a:7d,74:da:da:c0:d7:09,74:da:da:c1:3d:09,0c:73:eb:d0:19:a8,0c:73:eb:d0:2a:20,74:da:da:c0:d7:dd,0c:73:eb:d0:0e:d8,74:da:da:c1:61:69,74:da:da:c1:04:4d,74:da:da:c0:d7:e9,74:da:da:c1:02:95,74:da:da:c1:3b:4d,0c:73:eb:d0:2a:10,74:da:da:c1:3d:35,74:da:da:c1:04:49,74:da:da:98:ea:4c,0c:73:eb:d0:76:40,74:da:da:c1:17:76,74:da:da:c1:3d:05,0c:73:eb:d0:19:c0,74:da:da:98:db:44,0c:73:eb:d0:2a:18,74:da:da:c1:4a:c9,74:da:da:c1:4a:a5,74:da:da:98:8f:64,74:da:da:c0:d7:ee,74:da:da:c1:3d:85,0c:73:eb:d0:76:20,74:da:da:c0:d7:ea,74:da:da:98:8f:30,74:da:da:c0:d8:25,0c:73:eb:d0:2a:30,0c:73:eb:d0:76:58,0c:73:eb:d0:76:48,74:da:da:c1:3b:9d,74:da:da:c0:d8:06,74:da:da:c1:4a:a6,0c:73:eb:d0:0e:b8,74:da:da:c0:d7:9d,74:da:da:c1:14:9a,74:da:da:c0:d7:01,0c:73:eb:d0:2a:50,0c:73:eb:d0:19:b0,74:da:da:98:ea:5c,0c:73:eb:d0:76:50,0c:73:eb:d0:13:c0,74:da:da:c0:e0:69,74:da:da:c1:04:45,74:da:da:c1:4a:7e,0c:73:eb:d0:0e:b0,74:da:da:c1:3b:45,0c:73:eb:d0:76:10,0c:73:eb:d0:19:c8,74:da:da:c1:3c:6d,74:da:da:98:ea:65,74:da:da:c0:e0:71,74:da:da:c1:4a:ca,74:da:da:c1:25:9d,0c:73:eb:d0:76:28,0c:73:eb:d0:7e:f0,74:da:da:c0:d7:0a,74:da:da:c1:3d:0d,74:da:da:98:8f:34,74:da:da:c0:d7:de,74:da:da:c0:d7:82,74:da:da:98:ea:4d,74:da:da:c1:03:61,0c:73:eb:d0:7c:30,74:da:da:c0:e0:81,74:da:da:98:7a:60,0c:73:eb:d0:0e:90,74:da:da:c1:3c:99,74:da:da:98:7a:68,0c:73:eb:d0:11:e0,74:da:da:98:ea:64,74:da:da:c1:3c:8d,74:da:da:c0:d8:1d,74:da:da:98:ea:54,0c:73:eb:d0:7e:e8,0c:73:eb:d0:11:b8,74:da:da:c1:25:e5,0c:73:eb:d0:13:a0,0c:73:eb:d0:19:98,0c:73:eb:d0:11:e8,0c:73:eb:d0:2a:60,0c:73:eb:d0:76:30,0c:73:eb:d0:11:f0,74:da:da:c1:3d:0a,74:da:da:c1:3b:65,74:da:da:c1:3b:79,0c:73:eb:d0:19:b8,0c:73:eb:d0:11:b0,74:da:da:c1:25:a1,74:da:da:c0:d7:11
1526461861137,-39,-41,-42,-45,-47,-48,-52,-55,-55,-55,-56,-56,-59,-59,-60,-60,-60,-64,-64,-65,-65,-65,-65,-65,-66,-68,-69,-69,-69,-69,-73,-73,-74,-75,-75,-75,-76,-76,-77,-77,-77,-78,-79,-79,-80,-80,-80,-82,-82,-82,-82,-83,-83,-83,-83,-85,-85,-85,-85,-85,-86,-86,-86,-86,-87,-87,-87,-87,-88,-88,-90,-91,-92,-92,-92,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461864182,-59,-48,-41,-47,-37,-56,-69,-60,-45,-64,-54,-200,-68,-200,-81,-70,-200,-72,-200,-58,-75,-200,-74,-200,-78,-59,-84,-62,-200,-72,-68,-68,-85,-77,-88,-200,-95,-74,-200,-83,-80,-84,-200,-200,-84,-81,-79,-78,-79,-71,-78,-65,-200,-200,-200,-89,-200,-200,-200,-88,-92,-83,-84,-200,-92,-200,-78,-200,-200,-200,-200,-200,-200,-86,-200,-96,-200,-75,-79,-89,-90,-91,-91,-94,-94,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461867225,-57,-50,-47,-49,-31,-57,-72,-61,-48,-62,-53,-77,-68,-66,-77,-70,-72,-75,-72,-58,-75,-59,-67,-200,-78,-62,-84,-73,-200,-73,-66,-72,-84,-77,-87,-200,-95,-74,-80,-83,-77,-85,-73,-78,-82,-79,-80,-77,-78,-74,-79,-66,-200,-200,-88,-88,-200,-200,-200,-89,-92,-83,-92,-75,-94,-86,-78,-200,-200,-200,-200,-200,-200,-84,-200,-93,-200,-75,-78,-89,-90,-91,-92,-94,-94,-94,-79,-90,-91,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461870272,-58,-49,-47,-46,-31,-56,-69,-60,-51,-65,-52,-67,-80,-64,-80,-73,-73,-72,-71,-57,-72,-57,-72,-200,-77,-60,-83,-72,-67,-71,-67,-70,-84,-76,-87,-200,-95,-69,-71,-87,-79,-82,-75,-78,-85,-79,-72,-78,-78,-73,-79,-66,-200,-200,-88,-88,-200,-200,-200,-89,-94,-84,-88,-75,-94,-83,-83,-200,-200,-200,-200,-200,-200,-85,-200,-93,-200,-75,-78,-86,-90,-91,-92,-97,-94,-94,-78,-90,-91,-97,-77,-80,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461873318,-59,-50,-46,-45,-32,-58,-68,-61,-47,-63,-53,-67,-67,-65,-80,-73,-71,-75,-72,-57,-74,-60,-67,-200,-77,-59,-84,-73,-74,-73,-67,-69,-84,-77,-88,-200,-95,-72,-74,-87,-78,-85,-74,-78,-85,-70,-80,-73,-78,-71,-78,-66,-200,-200,-93,-90,-200,-200,-200,-92,-94,-88,-88,-75,-94,-86,-84,-200,-200,-95,-200,-200,-200,-85,-200,-91,-200,-75,-77,-88,-89,-94,-92,-97,-200,-94,-79,-90,-91,-97,-77,-80,-82,-83,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461876365,-62,-51,-45,-50,-32,-58,-70,-60,-47,-65,-50,-69,-69,-64,-79,-71,-77,-73,-71,-58,-75,-61,-67,-200,-77,-62,-82,-73,-67,-73,-61,-69,-84,-77,-88,-200,-92,-72,-79,-87,-80,-85,-74,-200,-84,-79,-73,-76,-78,-75,-79,-65,-200,-200,-93,-90,-200,-200,-200,-88,-95,-81,-88,-74,-94,-86,-84,-200,-200,-95,-200,-200,-200,-85,-200,-91,-94,-77,-77,-87,-90,-93,-200,-97,-200,-200,-77,-200,-200,-200,-70,-79,-82,-83,-92,-96,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461879413,-58,-40,-45,-47,-27,-56,-70,-61,-47,-64,-47,-72,-79,-68,-76,-74,-76,-75,-71,-59,-72,-61,-72,-200,-75,-62,-82,-72,-74,-71,-67,-67,-84,-78,-88,-200,-92,-73,-79,-83,-79,-84,-74,-200,-84,-79,-80,-72,-77,-74,-78,-65,-200,-200,-88,-90,-200,-200,-200,-89,-94,-81,-200,-74,-94,-85,-83,-200,-200,-95,-200,-200,-200,-85,-200,-95,-94,-80,-78,-89,-91,-91,-91,-97,-94,-96,-79,-200,-200,-200,-80,-80,-83,-83,-92,-96,-95,-84,-84,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461882462,-61,-52,-43,-47,-33,-60,-71,-62,-54,-63,-46,-73,-80,-65,-79,-72,-75,-73,-69,-58,-77,-61,-72,-200,-73,-67,-80,-73,-74,-72,-67,-70,-200,-78,-89,-200,-92,-73,-75,-83,-80,-86,-200,-200,-78,-79,-80,-73,-78,-73,-78,-66,-200,-90,-88,-90,-200,-200,-200,-89,-94,-85,-200,-74,-94,-87,-83,-200,-200,-200,-200,-200,-200,-85,-200,-92,-94,-80,-79,-91,-89,-91,-91,-97,-94,-96,-78,-200,-200,-200,-80,-80,-84,-200,-92,-96,-95,-84,-84,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461885515,-61,-51,-44,-48,-31,-59,-74,-63,-48,-63,-47,-72,-80,-64,-78,-72,-76,-73,-67,-58,-70,-58,-82,-200,-78,-65,-82,-74,-67,-72,-66,-69,-200,-79,-87,-200,-96,-73,-74,-83,-80,-88,-63,-200,-79,-79,-81,-71,-78,-72,-78,-65,-200,-90,-88,-89,-200,-200,-200,-90,-92,-85,-200,-74,-94,-85,-82,-200,-200,-200,-200,-200,-200,-85,-200,-92,-200,-80,-78,-91,-88,-91,-91,-200,-94,-96,-80,-200,-200,-200,-80,-80,-83,-200,-92,-200,-200,-84,-84,-95,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
