,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,DLINK_D02A98,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D013A8,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c0:d7:e9,0c:73:eb:d0:0e:d8,74:da:da:c1:3d:0d,74:da:da:c0:d7:81,0c:73:eb:d0:0e:90,74:da:da:c1:3d:35,74:da:da:c0:d7:ea,74:da:da:c1:3d:05,74:da:da:c1:3d:85,0c:73:eb:d0:0e:b0,74:da:da:c1:3d:09,0c:73:eb:d0:2a:18,0c:73:eb:d0:76:30,0c:73:eb:d0:2a:98,0c:73:eb:d0:2a:48,74:da:da:c0:d7:dd,74:da:da:c0:d8:25,74:da:da:98:ea:64,0c:73:eb:d0:0e:c0,74:da:da:c0:d8:26,74:da:da:c1:3d:86,74:da:da:c1:47:ce,0c:73:eb:d0:2a:58,0c:73:eb:d0:13:a0,74:da:da:c0:de:2d,74:da:da:c0:f3:05,74:da:da:c1:3d:36,74:da:da:c0:d7:de,74:da:da:c1:3c:cd,0c:73:eb:d0:2a:60,74:da:da:c0:d8:1d,74:da:da:c1:25:a1,74:da:da:c1:47:cd,0c:73:eb:d0:76:50,74:da:da:98:ea:65,74:da:da:c0:d7:ed,0c:73:eb:d0:2a:10,74:da:da:c1:17:75,74:da:da:c0:d8:7d,0c:73:eb:d0:76:28,74:da:da:c0:d8:59,0c:73:eb:d0:0e:98,0c:73:eb:d0:2a:68,74:da:da:c0:d8:06,74:da:da:c1:3d:0a,74:da:da:98:ea:5c,0c:73:eb:d0:76:38,74:da:da:c1:3b:cd,74:da:da:c1:17:76,0c:73:eb:d0:19:b8,74:da:da:c1:3d:0e,0c:73:eb:d0:0e:b8,74:da:da:c0:d7:82,0c:73:eb:d0:0e:d0,0c:73:eb:d0:11:e0,0c:73:eb:d0:2a:90,74:da:da:c0:d7:11,0c:73:eb:d0:0e:a8,c0:61:18:93:3e:54,74:da:da:c1:25:9d,74:da:da:c1:3d:06,0c:73:eb:d0:19:98,74:da:da:c0:f3:06,74:da:da:c1:03:61,74:da:da:c0:f3:59,0c:73:eb:d0:76:10,74:da:da:c1:4a:7d,0c:73:eb:d0:19:c8,74:da:da:98:8f:3c,0c:73:eb:d0:76:48,74:da:da:c1:5e:ed,74:da:da:c1:4a:c9,74:da:da:c0:d7:ee,74:da:da:c0:d7:c5,0c:73:eb:d0:19:a8,0c:73:eb:d0:7c:38,0c:73:eb:d0:2a:40,74:da:da:c0:d8:1e,0c:73:eb:d0:2a:30,74:da:da:c1:3b:45,74:da:da:c0:d7:02,74:da:da:c0:d7:b9,74:da:da:98:8f:30,74:da:da:c1:3b:65,0c:73:eb:d0:2a:50,0c:73:eb:d0:2a:38,0c:73:eb:d0:2a:20,74:da:da:c0:d8:05,0c:73:eb:d0:13:a8,c0:61:18:93:35:28,74:da:da:c1:3b:69,74:da:da:98:ea:54,74:da:da:c1:4a:7e,0c:73:eb:d0:19:c0,74:da:da:c1:3b:c9,74:da:da:c1:04:4d,74:da:da:c1:14:99,74:da:da:98:ea:55,74:da:da:c1:04:45,0c:73:eb:d0:19:88,0c:73:eb:d0:2a:28,74:da:da:98:ea:50,74:da:da:c1:25:e5
1526464176839,-26,-27,-32,-33,-38,-43,-45,-45,-45,-50,-50,-51,-52,-52,-52,-54,-54,-55,-56,-57,-58,-58,-58,-58,-59,-60,-60,-60,-60,-60,-61,-61,-61,-62,-62,-62,-63,-63,-64,-65,-66,-66,-66,-67,-67,-68,-69,-69,-70,-70,-71,-71,-72,-72,-72,-73,-74,-75,-75,-75,-76,-76,-77,-77,-77,-77,-77,-78,-78,-81,-82,-82,-83,-83,-84,-85,-85,-86,-87,-88,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464179903,-26,-23,-48,-41,-34,-55,-41,-48,-36,-50,-41,-46,-52,-68,-52,-50,-54,-55,-61,-59,-53,-53,-53,-58,-59,-60,-62,-66,-60,-54,-61,-61,-61,-62,-60,-62,-53,-57,-64,-76,-66,-66,-73,-62,-61,-68,-69,-69,-63,-69,-67,-65,-71,-72,-72,-73,-74,-83,-75,-75,-68,-75,-78,-67,-77,-77,-77,-78,-78,-81,-82,-82,-85,-83,-84,-85,-85,-86,-87,-88,-90,-92,-57,-72,-76,-80,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464182973,-26,-27,-44,-41,-35,-50,-42,-48,-31,-49,-39,-44,-58,-60,-56,-46,-48,-51,-61,-62,-52,-55,-51,-64,-59,-200,-61,-68,-61,-54,-59,-61,-63,-61,-62,-200,-49,-55,-65,-76,-200,-200,-73,-63,-61,-200,-200,-200,-63,-67,-63,-71,-70,-72,-200,-72,-74,-83,-200,-76,-68,-75,-78,-64,-200,-68,-200,-78,-78,-70,-84,-82,-85,-83,-84,-200,-84,-86,-200,-200,-200,-200,-57,-66,-76,-80,-85,-59,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464186028,-25,-27,-45,-44,-33,-52,-41,-48,-31,-49,-36,-45,-59,-60,-56,-46,-48,-52,-61,-60,-51,-54,-50,-60,-59,-200,-60,-67,-62,-54,-59,-61,-53,-69,-61,-200,-49,-55,-61,-76,-200,-60,-73,-60,-60,-200,-200,-74,-61,-67,-64,-71,-70,-72,-200,-72,-74,-83,-200,-72,-66,-75,-77,-64,-200,-75,-200,-78,-78,-70,-84,-82,-81,-83,-84,-200,-84,-85,-200,-200,-200,-200,-55,-66,-76,-80,-85,-58,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464189088,-24,-27,-45,-40,-31,-50,-42,-51,-31,-46,-38,-41,-59,-60,-57,-47,-55,-52,-56,-59,-53,-52,-53,-60,-59,-200,-60,-67,-62,-54,-62,-61,-53,-65,-61,-200,-49,-55,-61,-76,-200,-60,-70,-60,-60,-200,-200,-74,-61,-67,-64,-70,-71,-72,-200,-72,-74,-83,-200,-72,-66,-71,-77,-64,-200,-75,-200,-70,-78,-75,-84,-82,-81,-83,-84,-200,-84,-85,-86,-90,-200,-200,-55,-66,-76,-80,-85,-58,-82,-66,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464192147,-24,-24,-45,-45,-34,-50,-41,-49,-29,-46,-38,-41,-59,-60,-57,-45,-55,-52,-59,-58,-53,-50,-53,-60,-73,-200,-59,-68,-62,-61,-62,-200,-53,-65,-61,-200,-48,-55,-61,-76,-200,-60,-70,-60,-60,-200,-81,-74,-61,-67,-65,-70,-71,-200,-200,-72,-200,-83,-200,-73,-67,-71,-79,-65,-200,-77,-200,-70,-200,-72,-84,-200,-81,-200,-200,-200,-84,-85,-84,-90,-200,-200,-55,-66,-76,-80,-85,-58,-82,-66,-66,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464195194,-25,-28,-52,-42,-37,-50,-41,-49,-32,-52,-38,-39,-59,-58,-57,-46,-51,-52,-59,-58,-51,-52,-56,-60,-73,-200,-58,-68,-62,-60,-62,-200,-48,-63,-61,-200,-47,-56,-65,-200,-200,-60,-71,-60,-60,-200,-81,-74,-61,-67,-65,-70,-71,-200,-200,-77,-200,-83,-200,-73,-68,-71,-79,-65,-200,-77,-200,-70,-200,-73,-84,-200,-84,-200,-200,-200,-84,-85,-84,-90,-200,-200,-55,-66,-75,-200,-200,-58,-82,-72,-66,-77,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464198248,-24,-24,-52,-43,-33,-47,-41,-50,-28,-48,-38,-44,-61,-58,-56,-48,-50,-53,-55,-57,-52,-52,-56,-60,-73,-200,-57,-68,-62,-56,-62,-200,-48,-63,-61,-200,-49,-56,-65,-200,-200,-60,-71,-59,-59,-74,-82,-74,-61,-200,-67,-67,-71,-200,-200,-77,-200,-200,-200,-73,-70,-71,-80,-65,-200,-74,-200,-70,-200,-73,-200,-200,-84,-200,-200,-200,-200,-86,-84,-90,-200,-200,-55,-66,-75,-200,-200,-58,-200,-72,-66,-77,-77,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464201318,-23,-21,-49,-44,-35,-49,-41,-48,-32,-49,-39,-46,-59,-58,-56,-47,-51,-56,-59,-57,-52,-51,-51,-200,-73,-200,-59,-68,-62,-56,-66,-200,-54,-72,-61,-200,-49,-56,-65,-71,-200,-200,-66,-59,-59,-74,-82,-200,-61,-200,-67,-67,-71,-200,-200,-77,-200,-90,-200,-70,-70,-70,-81,-65,-200,-74,-200,-70,-74,-73,-200,-200,-84,-200,-200,-200,-200,-88,-84,-90,-200,-200,-55,-70,-75,-74,-200,-58,-200,-72,-72,-77,-77,-78,-70,-200,-200,-200,-200,-200,-200,-200,-200
