,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c0:d7:02,74:da:da:c0:d7:01,0c:73:eb:d0:2a:50,74:da:da:c0:d6:f5,74:da:da:c0:e0:6e,74:da:da:c0:d7:9e,74:da:da:c0:d7:9d,0c:73:eb:d0:76:10,0c:73:eb:d0:2a:90,74:da:da:98:ea:64,74:da:da:c0:d6:f6,74:da:da:c1:3c:85,74:da:da:c1:4a:85,0c:73:eb:d0:76:28,74:da:da:c1:3b:1a,74:da:da:98:ea:65,74:da:da:98:ea:54,74:da:da:c1:3b:19,0c:73:eb:d0:0e:c8,0c:73:eb:d0:76:18,74:da:da:c0:d7:81,74:da:da:c1:4a:69,74:da:da:c1:3c:11,0c:73:eb:d0:76:50,74:da:da:c0:d6:ee,74:da:da:98:ea:55,74:da:da:c0:d8:1d,0c:73:eb:d0:19:c8,74:da:da:c0:e0:6d,0c:73:eb:d0:19:80,74:da:da:c0:d7:82,0c:73:eb:d0:19:c0,74:da:da:c0:f3:06,74:da:da:c0:d6:ed,74:da:da:c0:f3:05,74:da:da:c0:d7:12,74:da:da:c0:d9:3a,74:da:da:c1:4a:86,74:da:da:c1:3c:55,74:da:da:c0:d8:3d,74:da:da:c1:47:cd,74:da:da:c1:3d:05,74:da:da:c0:d7:e9,0c:73:eb:d0:2a:10,74:da:da:c0:d7:c5,74:da:da:c1:3d:0d,0c:73:eb:d0:0e:a0,74:da:da:c1:3c:4d,74:da:da:c1:25:d9,0c:73:eb:d0:2a:40,0c:73:eb:d0:0e:b0,0c:73:eb:d0:19:a0,74:da:da:c0:d8:1e,74:da:da:98:85:1c,74:da:da:c0:d9:39,74:da:da:c1:3d:35,0c:73:eb:d0:13:b0,74:da:da:c0:d7:11,74:da:da:c1:25:69,74:da:da:c0:d7:ea,74:da:da:c1:25:a1,0c:73:eb:d0:76:30,74:da:da:c0:d8:3e,0c:73:eb:d0:0e:a8,0c:73:eb:d0:0e:d8,74:da:da:98:ea:5c,74:da:da:c0:f3:59,0c:73:eb:d0:0e:90,74:da:da:c1:3d:0e,0c:73:eb:d0:19:90,0c:73:eb:d0:13:a0,0c:73:eb:d0:2a:18,74:da:da:98:90:94,74:da:da:c1:3d:85,74:da:da:c1:3c:45,74:da:da:98:8f:30,74:da:da:c1:3d:09
1526464017474,-41,-43,-45,-49,-53,-54,-59,-60,-60,-61,-61,-61,-63,-64,-64,-65,-65,-67,-67,-68,-69,-70,-71,-72,-72,-73,-73,-74,-74,-74,-76,-77,-78,-79,-79,-81,-83,-83,-83,-84,-86,-87,-90,-90,-91,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464020483,-41,-45,-41,-60,-54,-55,-55,-61,-58,-61,-64,-65,-200,-61,-73,-63,-65,-69,-66,-68,-74,-70,-71,-66,-74,-73,-200,-69,-58,-72,-76,-77,-200,-75,-76,-81,-83,-83,-83,-200,-200,-200,-200,-200,-91,-200,-72,-81,-81,-82,-83,-85,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464023517,-42,-47,-39,-55,-56,-53,-56,-60,-54,-61,-67,-66,-200,-62,-67,-63,-79,-72,-61,-68,-71,-69,-69,-61,-74,-83,-82,-69,-61,-72,-76,-200,-200,-75,-76,-200,-200,-200,-84,-200,-90,-200,-82,-200,-200,-84,-72,-81,-81,-86,-83,-85,-86,-90,-79,-82,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464026529,-42,-45,-40,-56,-52,-56,-61,-61,-50,-59,-65,-66,-200,-63,-68,-63,-82,-69,-64,-69,-71,-69,-73,-60,-74,-83,-82,-68,-53,-72,-75,-80,-200,-76,-76,-200,-200,-200,-84,-200,-90,-200,-82,-200,-200,-84,-72,-80,-81,-86,-83,-84,-86,-89,-79,-82,-87,-78,-79,-83,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464029570,-44,-46,-42,-56,-57,-55,-55,-58,-54,-63,-62,-62,-200,-59,-65,-61,-82,-67,-65,-79,-69,-68,-73,-61,-74,-79,-73,-70,-53,-72,-73,-81,-200,-74,-72,-83,-200,-83,-84,-200,-90,-200,-82,-200,-200,-84,-72,-80,-81,-84,-84,-80,-86,-89,-79,-82,-87,-79,-79,-83,-83,-87,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464032613,-43,-46,-40,-59,-56,-55,-57,-58,-57,-60,-63,-63,-63,-59,-66,-61,-82,-72,-58,-80,-65,-69,-74,-66,-200,-79,-73,-70,-56,-72,-75,-80,-200,-74,-76,-83,-200,-83,-84,-200,-90,-200,-81,-200,-200,-84,-78,-77,-200,-84,-84,-81,-86,-89,-79,-82,-87,-80,-79,-86,-83,-87,-86,-90,-79,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464035652,-43,-49,-39,-62,-55,-58,-55,-60,-54,-58,-62,-60,-73,-59,-66,-65,-78,-68,-64,-75,-65,-72,-71,-68,-200,-79,-73,-72,-58,-70,-75,-80,-80,-76,-83,-83,-200,-83,-200,-200,-200,-200,-81,-200,-200,-200,-79,-82,-200,-84,-84,-80,-83,-89,-200,-200,-200,-81,-79,-86,-82,-87,-86,-90,-79,-87,-86,-87,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526464038686,-43,-46,-39,-52,-56,-57,-57,-58,-57,-58,-60,-66,-69,-59,-64,-63,-78,-68,-66,-71,-74,-72,-72,-65,-200,-86,-73,-69,-55,-80,-80,-83,-80,-75,-83,-83,-200,-83,-200,-200,-200,-200,-81,-200,-200,-200,-73,-82,-200,-84,-84,-80,-83,-200,-200,-200,-200,-77,-200,-86,-82,-200,-87,-91,-79,-87,-86,-87,-87,-92,-200,-200,-200,-200,-200,-200,-200
1526464041724,-44,-46,-39,-49,-51,-57,-56,-59,-58,-59,-62,-63,-67,-61,-64,-66,-78,-69,-68,-71,-76,-72,-71,-63,-200,-76,-200,-69,-58,-80,-81,-83,-80,-72,-81,-81,-200,-84,-82,-82,-200,-200,-81,-200,-200,-200,-73,-81,-84,-84,-88,-82,-86,-200,-200,-200,-200,-77,-90,-86,-82,-200,-87,-91,-79,-87,-86,-87,-87,-92,-75,-91,-200,-200,-200,-200,-200
