,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz
,74:da:da:c0:d7:01,0c:73:eb:d0:2a:50,74:da:da:c0:d7:02,74:da:da:c0:d6:f6,0c:73:eb:d0:0e:c8,74:da:da:98:ea:65,74:da:da:c0:d6:f5,74:da:da:98:ea:64,0c:73:eb:d0:76:10,74:da:da:98:ea:54,74:da:da:c0:d6:ee,74:da:da:98:ea:55,0c:73:eb:d0:19:c8,0c:73:eb:d0:19:c0,74:da:da:c1:4a:69,74:da:da:c1:3c:85,74:da:da:c1:3c:11,74:da:da:c0:d9:3a,74:da:da:c1:3b:1a,74:da:da:c1:3b:19,74:da:da:c1:4a:85,74:da:da:c0:d7:9d,74:da:da:c0:e0:6d,74:da:da:c0:d9:39,74:da:da:c0:d7:9e,74:da:da:c1:3c:45,74:da:da:c0:d6:ed,74:da:da:c0:d7:12,74:da:da:c0:d7:11,74:da:da:c0:d7:81,74:da:da:c0:e0:6e,74:da:da:c1:3c:55,74:da:da:98:90:94,0c:73:eb:d0:13:b0,74:da:da:98:90:2c,0c:73:eb:d0:19:90,74:da:da:c1:25:a1,74:da:da:c1:3c:12,74:da:da:c1:4a:6a,0c:73:eb:d0:76:50,74:da:da:c0:f3:05,74:da:da:c1:25:d9,0c:73:eb:d0:13:a0,74:da:da:c0:d7:e9,0c:73:eb:d0:76:18,0c:73:eb:d0:0e:a0,74:da:da:c1:3c:4d,74:da:da:c1:25:69,74:da:da:c0:d8:3d,0c:73:eb:d0:19:80,74:da:da:c0:d8:1d,0c:73:eb:d0:2a:90,74:da:da:98:66:cc,0c:73:eb:d0:0e:d8,0c:73:eb:d0:2a:40,74:da:da:c0:f3:59,0c:73:eb:d0:76:28,74:da:da:98:85:1c,0c:73:eb:d0:0e:b0,0c:73:eb:d0:13:c8,74:da:da:c0:d7:82,74:da:da:c1:3d:35,74:da:da:98:74:80,74:da:da:c0:f3:06,0c:73:eb:d0:0e:90,74:da:da:c1:3d:05,0c:73:eb:d0:0e:a8,74:da:da:c0:d7:ea
1526464238747,-34,-37,-49,-53,-58,-59,-59,-61,-62,-64,-66,-68,-69,-69,-70,-70,-73,-74,-75,-75,-75,-76,-76,-77,-79,-79,-80,-80,-81,-81,-82,-83,-83,-84,-84,-86,-86,-86,-87,-87,-87,-88,-88,-89,-90,-90,-90,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464241775,-34,-39,-56,-56,-63,-52,-55,-54,-58,-59,-69,-68,-67,-78,-67,-64,-75,-63,-75,-80,-75,-200,-76,-61,-79,-79,-68,-200,-81,-200,-82,-200,-200,-84,-200,-86,-200,-86,-87,-200,-87,-200,-88,-89,-62,-90,-90,-90,-200,-62,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464244796,-34,-40,-47,-62,-58,-58,-49,-58,-61,-61,-65,-48,-60,-77,-59,-64,-78,-63,-200,-80,-75,-200,-85,-65,-200,-200,-69,-71,-65,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-63,-200,-200,-200,-200,-58,-78,-78,-82,-86,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464247827,-32,-40,-49,-59,-57,-55,-48,-50,-57,-57,-65,-68,-67,-69,-67,-64,-78,-72,-84,-79,-67,-200,-85,-60,-82,-200,-69,-71,-73,-200,-200,-200,-200,-82,-200,-81,-200,-90,-200,-84,-85,-200,-200,-200,-63,-200,-200,-200,-200,-61,-78,-77,-82,-86,-85,-89,-78,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464250858,-34,-44,-52,-54,-58,-54,-51,-58,-59,-66,-65,-70,-62,-69,-64,-64,-78,-66,-84,-79,-67,-73,-88,-66,-82,-200,-69,-77,-73,-71,-200,-200,-82,-78,-200,-81,-200,-90,-200,-84,-83,-200,-200,-200,-63,-200,-200,-200,-200,-61,-77,-75,-82,-86,-85,-89,-78,-89,-90,-82,-82,-88,-200,-200,-200,-200,-200,-200
1526464253892,-34,-38,-53,-61,-61,-62,-51,-54,-61,-71,-66,-67,-64,-70,-63,-200,-84,-66,-79,-79,-70,-70,-88,-66,-81,-200,-69,-74,-73,-68,-200,-84,-82,-80,-200,-82,-200,-87,-88,-84,-83,-200,-91,-200,-63,-200,-200,-200,-200,-56,-77,-75,-82,-86,-86,-89,-78,-89,-90,-82,-83,-88,-200,-200,-200,-200,-200,-200
1526464256917,-36,-41,-57,-56,-61,-55,-51,-53,-50,-71,-67,-69,-59,-70,-63,-200,-84,-73,-79,-79,-70,-70,-88,-68,-81,-79,-70,-75,-75,-72,-200,-90,-82,-88,-200,-84,-200,-86,-85,-84,-83,-89,-91,-87,-61,-200,-200,-200,-200,-59,-86,-75,-84,-200,-86,-200,-72,-89,-90,-82,-83,-88,-200,-200,-200,-200,-200,-200
1526464259946,-33,-42,-53,-56,-61,-58,-51,-53,-56,-61,-65,-53,-60,-70,-68,-200,-84,-67,-79,-78,-68,-74,-85,-63,-81,-69,-67,-77,-76,-72,-200,-82,-82,-82,-200,-83,-200,-86,-89,-200,-83,-90,-91,-87,-55,-200,-90,-200,-200,-61,-86,-74,-81,-200,-86,-200,-76,-200,-200,-82,-82,-88,-89,-200,-200,-200,-200,-200
1526464262978,-34,-41,-54,-55,-59,-55,-52,-63,-60,-61,-66,-71,-65,-71,-64,-84,-87,-67,-83,-78,-67,-74,-85,-67,-200,-83,-67,-78,-76,-72,-200,-86,-200,-82,-200,-83,-200,-86,-89,-83,-200,-90,-200,-87,-64,-81,-90,-200,-94,-56,-86,-74,-81,-200,-200,-89,-74,-200,-200,-200,-82,-88,-90,-87,-200,-200,-200,-200
1526464265986,-35,-40,-54,-55,-62,-55,-53,-61,-60,-61,-69,-70,-60,-69,-64,-81,-87,-70,-81,-82,-69,-74,-89,-67,-200,-83,-77,-71,-79,-73,-200,-86,-80,-79,-200,-83,-200,-200,-89,-83,-84,-90,-200,-87,-66,-83,-90,-200,-94,-59,-77,-77,-81,-200,-200,-89,-72,-200,-200,-200,-82,-200,-90,-86,-91,-200,-200,-200
1526464269014,-35,-40,-55,-55,-60,-56,-49,-53,-58,-71,-71,-71,-58,-69,-68,-71,-72,-71,-82,-82,-68,-74,-83,-63,-81,-83,-77,-72,-76,-73,-200,-86,-80,-79,-200,-83,-200,-200,-200,-83,-80,-90,-200,-87,-61,-83,-200,-200,-94,-58,-77,-77,-82,-200,-200,-89,-72,-200,-200,-200,-82,-200,-90,-87,-91,-200,-200,-200
1526464272025,-34,-40,-54,-58,-61,-58,-50,-53,-58,-69,-66,-68,-64,-71,-68,-71,-72,-69,-82,-78,-68,-71,-83,-62,-81,-83,-69,-79,-78,-74,-200,-88,-80,-79,-88,-200,-200,-200,-200,-85,-80,-200,-200,-87,-62,-83,-200,-200,-94,-60,-83,-72,-82,-200,-200,-89,-74,-200,-200,-200,-82,-200,-90,-84,-91,-90,-200,-200
1526464275036,-38,-40,-56,-61,-62,-60,-48,-49,-58,-77,-67,-67,-61,-68,-67,-71,-69,-72,-81,-80,-69,-74,-83,-52,-79,-200,-68,-77,-72,-74,-200,-90,-80,-79,-88,-200,-200,-200,-85,-85,-88,-200,-200,-200,-63,-82,-91,-200,-200,-57,-83,-72,-82,-200,-200,-200,-75,-200,-200,-200,-82,-200,-90,-84,-91,-90,-87,-200
1526464278060,-32,-39,-52,-63,-60,-58,-55,-59,-58,-77,-62,-68,-59,-71,-66,-71,-80,-70,-81,-80,-67,-70,-83,-59,-75,-200,-71,-81,-76,-74,-200,-83,-83,-82,-88,-200,-200,-200,-85,-85,-88,-200,-200,-200,-62,-82,-91,-200,-200,-59,-83,-75,-82,-200,-90,-90,-72,-200,-200,-200,-82,-200,-90,-84,-200,-90,-87,-84
1526464281093,-33,-42,-48,-63,-55,-54,-47,-54,-61,-58,-64,-70,-60,-67,-67,-200,-80,-64,-84,-81,-73,-68,-75,-59,-79,-200,-66,-80,-76,-74,-89,-83,-83,-82,-88,-76,-200,-200,-83,-85,-87,-200,-200,-200,-62,-82,-87,-200,-200,-56,-83,-75,-82,-200,-90,-90,-72,-200,-200,-200,-82,-200,-200,-84,-200,-90,-87,-84
1526464284105,-34,-40,-49,-60,-56,-55,-42,-56,-58,-65,-73,-76,-60,-67,-68,-200,-68,-68,-84,-83,-73,-70,-83,-59,-79,-200,-65,-75,-76,-200,-89,-83,-83,-77,-200,-79,-200,-200,-83,-200,-87,-200,-200,-200,-66,-82,-87,-200,-200,-58,-200,-72,-82,-200,-90,-90,-72,-200,-200,-83,-85,-200,-200,-200,-200,-200,-87,-84
1526464287117,-33,-36,-47,-57,-58,-55,-45,-52,-59,-66,-70,-73,-60,-74,-69,-84,-70,-67,-84,-80,-72,-72,-83,-59,-79,-82,-67,-75,-76,-200,-87,-83,-83,-77,-200,-79,-200,-200,-83,-200,-85,-200,-200,-200,-63,-200,-87,-200,-200,-55,-200,-72,-82,-200,-90,-90,-72,-200,-90,-83,-85,-200,-200,-88,-200,-200,-200,-84
1526464290124,-34,-39,-49,-57,-61,-56,-45,-53,-59,-70,-65,-71,-62,-75,-69,-84,-70,-69,-84,-82,-69,-73,-83,-72,-79,-82,-61,-75,-72,-200,-87,-200,-81,-77,-200,-79,-200,-200,-84,-89,-85,-91,-200,-87,-67,-200,-87,-200,-200,-53,-200,-72,-200,-88,-200,-200,-200,-200,-92,-83,-85,-200,-200,-88,-200,-200,-200,-200
1526464293136,-32,-42,-52,-55,-60,-54,-43,-52,-60,-66,-69,-73,-62,-72,-66,-84,-69,-52,-200,-82,-69,-75,-79,-83,-80,-82,-66,-74,-72,-200,-87,-90,-81,-84,-200,-78,-200,-87,-83,-89,-89,-90,-93,-87,-67,-200,-200,-200,-200,-55,-200,-72,-200,-88,-200,-200,-75,-200,-91,-83,-85,-200,-200,-88,-200,-200,-200,-200
1526464296147,-32,-43,-48,-60,-60,-54,-45,-50,-62,-76,-68,-66,-66,-69,-66,-82,-69,-65,-200,-82,-73,-75,-80,-83,-79,-82,-70,-73,-72,-200,-87,-90,-81,-83,-200,-80,-200,-88,-83,-89,-84,-90,-93,-88,-60,-91,-200,-200,-200,-56,-200,-200,-200,-88,-200,-200,-72,-200,-91,-83,-200,-200,-200,-88,-200,-200,-200,-200
1526464299177,-32,-39,-48,-57,-65,-55,-46,-49,-61,-76,-66,-67,-67,-66,-66,-82,-69,-65,-200,-81,-71,-69,-86,-68,-79,-200,-67,-74,-72,-76,-200,-90,-81,-82,-200,-80,-200,-88,-83,-89,-84,-94,-93,-86,-61,-91,-200,-200,-200,-54,-200,-200,-200,-88,-200,-200,-71,-200,-91,-200,-85,-200,-200,-200,-200,-200,-200,-200
