,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:0e:c8,74:da:da:c1:4a:69,0c:73:eb:d0:2a:90,74:da:da:c1:4a:6a,0c:73:eb:d0:2a:50,0c:73:eb:d0:0e:a0,74:da:da:c1:4a:85,74:da:da:c1:25:d9,74:da:da:c1:4a:86,0c:73:eb:d0:2a:40,74:da:da:c0:d7:01,74:da:da:c0:e0:6d,0c:73:eb:d0:76:10,74:da:da:c1:25:da,0c:73:eb:d0:19:80,74:da:da:c1:25:a1,74:da:da:c1:25:e6,74:da:da:c0:d6:f5,74:da:da:c0:d9:39,0c:73:eb:d0:19:c0,0c:73:eb:d0:19:c8,74:da:da:98:ea:64,74:da:da:c1:25:69,74:da:da:c1:25:a2,74:da:da:c0:f3:59,0c:73:eb:d0:76:28,74:da:da:c1:25:6a,74:da:da:c1:25:e5,74:da:da:c0:d6:ed,74:da:da:c0:f3:5a,74:da:da:c0:d7:11,0c:73:eb:d0:0e:98,0c:73:eb:d0:2a:60,74:da:da:c0:e0:6e,0c:73:eb:d0:2a:68,74:da:da:c0:d9:3a,74:da:da:c1:04:4d,0c:73:eb:d0:0e:a8,0c:73:eb:d0:76:50,74:da:da:c0:de:2d,74:da:da:c1:25:9d,74:da:da:98:90:2c,0c:73:eb:d0:13:b0,74:da:da:c1:3b:19,0c:73:eb:d0:0e:b8,74:da:da:98:ea:54,74:da:da:c1:03:61,74:da:da:98:90:94,74:da:da:c0:d7:81,0c:73:eb:d0:0e:d8,74:da:da:c1:3c:45,74:da:da:98:66:cc,0c:73:eb:d0:76:18,74:da:da:c0:d7:9d,74:da:da:98:ea:55,74:da:da:c1:3c:11,0c:73:eb:d0:19:90,74:da:da:c1:04:45,74:da:da:c1:02:95,74:da:da:c0:d8:7d,74:da:da:c1:3c:55,74:da:da:c0:d8:1d,0c:73:eb:d0:13:c8
1526447719807,-32,-38,-49,-50,-55,-57,-61,-66,-67,-69,-70,-71,-72,-72,-73,-73,-74,-75,-76,-77,-78,-78,-78,-78,-79,-80,-80,-80,-84,-84,-85,-85,-86,-86,-87,-87,-87,-88,-88,-88,-88,-88,-89,-89,-89,-89,-89,-90,-90,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447722824,-30,-43,-55,-41,-67,-59,-53,-76,-70,-63,-67,-76,-76,-70,-79,-72,-74,-80,-79,-79,-77,-83,-75,-85,-79,-80,-75,-78,-77,-84,-83,-82,-85,-85,-85,-87,-85,-81,-90,-200,-91,-86,-200,-200,-89,-82,-200,-90,-90,-91,-87,-89,-83,-87,-88,-89,-200,-200,-200,-200,-200,-200,-200
1526447725836,-31,-38,-54,-41,-61,-56,-48,-66,-62,-66,-65,-72,-70,-72,-74,-72,-82,-73,-83,-77,-68,-66,-75,-82,-86,-88,-79,-79,-84,-200,-84,-84,-83,-85,-85,-200,-85,-81,-90,-87,-91,-86,-89,-91,-200,-79,-200,-200,-91,-90,-89,-89,-83,-82,-88,-88,-80,-90,-200,-200,-200,-200,-200
1526447728873,-30,-37,-51,-41,-59,-56,-52,-62,-61,-65,-67,-72,-73,-74,-74,-68,-83,-76,-83,-74,-69,-70,-75,-82,-87,-86,-78,-77,-82,-200,-85,-84,-88,-83,-86,-200,-85,-77,-88,-87,-91,-86,-89,-91,-200,-77,-200,-89,-91,-89,-88,-89,-83,-83,-88,-91,-80,-90,-89,-90,-200,-200,-200
1526447731910,-35,-36,-50,-41,-58,-63,-54,-64,-62,-64,-63,-71,-70,-74,-77,-70,-83,-79,-79,-78,-70,-70,-73,-82,-87,-86,-78,-73,-79,-200,-83,-79,-89,-86,-86,-200,-86,-81,-88,-87,-91,-86,-90,-91,-200,-76,-200,-89,-91,-89,-88,-89,-83,-86,-88,-90,-80,-90,-89,-90,-89,-91,-200
1526447734923,-29,-35,-49,-42,-62,-64,-58,-59,-60,-69,-63,-72,-75,-74,-73,-78,-82,-79,-80,-79,-69,-72,-72,-80,-87,-87,-77,-72,-78,-200,-82,-82,-89,-85,-86,-200,-87,-75,-88,-72,-90,-200,-89,-92,-200,-79,-200,-89,-91,-88,-91,-200,-200,-83,-200,-90,-80,-90,-89,-90,-89,-91,-200
1526447737942,-29,-21,-51,-43,-58,-56,-58,-67,-58,-68,-63,-71,-75,-73,-78,-70,-80,-78,-81,-76,-70,-68,-74,-83,-90,-87,-78,-75,-80,-200,-85,-79,-86,-83,-87,-200,-87,-80,-91,-84,-89,-200,-91,-89,-200,-76,-200,-200,-89,-89,-87,-90,-200,-85,-200,-89,-200,-200,-200,-200,-89,-88,-200
1526447740972,-36,-37,-54,-42,-58,-57,-58,-65,-59,-63,-63,-71,-69,-73,-78,-71,-80,-78,-79,-76,-71,-68,-74,-82,-86,-87,-78,-75,-79,-200,-84,-80,-88,-83,-88,-200,-87,-76,-89,-84,-90,-200,-90,-89,-200,-76,-200,-200,-92,-89,-88,-90,-200,-87,-200,-89,-200,-200,-200,-200,-200,-88,-200
1526447744009,-30,-35,-54,-43,-58,-57,-58,-63,-60,-63,-61,-70,-76,-74,-74,-71,-80,-78,-80,-76,-68,-68,-74,-82,-85,-88,-77,-75,-80,-200,-84,-80,-88,-85,-88,-200,-84,-77,-90,-84,-90,-200,-90,-90,-92,-79,-200,-200,-92,-89,-88,-90,-200,-87,-200,-91,-200,-91,-91,-90,-200,-90,-200
1526447747042,-29,-36,-50,-42,-64,-60,-57,-60,-64,-67,-65,-69,-76,-74,-75,-69,-83,-73,-82,-77,-70,-68,-75,-85,-91,-88,-81,-74,-80,-200,-84,-82,-82,-85,-88,-200,-86,-76,-89,-84,-90,-200,-90,-90,-88,-76,-200,-91,-92,-87,-91,-90,-200,-84,-200,-91,-200,-90,-91,-91,-200,-90,-200
1526447750061,-37,-36,-50,-42,-67,-56,-48,-70,-61,-65,-63,-67,-68,-74,-72,-65,-83,-74,-83,-73,-72,-67,-75,-83,-91,-88,-79,-78,-82,-200,-85,-81,-82,-84,-85,-200,-86,-80,-89,-84,-90,-200,-90,-90,-88,-75,-200,-91,-88,-87,-89,-91,-200,-84,-200,-90,-200,-90,-89,-91,-200,-91,-200
1526447753101,-30,-35,-54,-41,-56,-60,-49,-70,-61,-62,-59,-69,-69,-74,-75,-68,-84,-74,-83,-77,-70,-69,-79,-84,-91,-88,-77,-78,-83,-200,-86,-82,-84,-84,-85,-200,-84,-80,-89,-85,-90,-200,-92,-91,-88,-75,-200,-91,-89,-90,-88,-94,-200,-86,-200,-90,-200,-90,-89,-91,-200,-90,-200
1526447756137,-29,-30,-49,-42,-60,-59,-56,-63,-62,-67,-63,-67,-70,-74,-75,-68,-84,-79,-81,-74,-73,-68,-75,-83,-90,-88,-75,-74,-81,-200,-85,-78,-86,-85,-86,-200,-84,-77,-88,-85,-91,-200,-92,-89,-88,-77,-200,-91,-89,-88,-88,-90,-200,-86,-200,-90,-84,-90,-89,-91,-200,-90,-200
1526447759162,-28,-36,-49,-42,-61,-58,-58,-64,-62,-67,-64,-67,-72,-76,-74,-67,-78,-79,-71,-78,-72,-68,-75,-83,-87,-87,-76,-72,-78,-200,-84,-77,-82,-85,-86,-200,-85,-76,-88,-85,-91,-200,-88,-88,-88,-75,-200,-200,-90,-89,-88,-90,-200,-86,-200,-89,-84,-200,-92,-90,-200,-90,-200
1526447762170,-30,-36,-49,-42,-56,-58,-60,-64,-61,-67,-62,-67,-73,-76,-73,-67,-79,-78,-80,-74,-70,-68,-73,-82,-89,-87,-77,-76,-77,-200,-84,-78,-85,-84,-88,-200,-84,-77,-92,-85,-91,-88,-90,-88,-88,-75,-200,-200,-87,-90,-90,-92,-200,-86,-200,-89,-84,-200,-91,-92,-200,-90,-200
1526447765205,-29,-36,-51,-43,-58,-62,-60,-64,-63,-63,-63,-68,-73,-75,-79,-67,-77,-81,-80,-76,-68,-69,-72,-85,-90,-86,-76,-73,-76,-200,-83,-79,-83,-84,-89,-87,-85,-76,-90,-84,-92,-87,-88,-90,-88,-77,-200,-200,-89,-89,-89,-90,-200,-81,-200,-91,-200,-200,-88,-92,-200,-88,-91
1526447768217,-31,-36,-49,-44,-58,-59,-59,-65,-60,-60,-65,-67,-69,-79,-79,-64,-76,-85,-78,-79,-78,-68,-72,-85,-90,-87,-81,-73,-79,-200,-83,-79,-85,-87,-89,-87,-85,-76,-89,-85,-91,-88,-88,-91,-88,-77,-200,-200,-89,-90,-92,-91,-200,-89,-200,-91,-200,-200,-88,-92,-200,-88,-91
1526447771228,-35,-36,-50,-43,-57,-59,-58,-65,-60,-66,-64,-67,-69,-74,-77,-68,-77,-81,-80,-76,-72,-69,-72,-84,-90,-88,-77,-71,-76,-200,-86,-78,-85,-84,-89,-87,-85,-77,-89,-85,-91,-89,-91,-88,-86,-75,-200,-200,-87,-88,-92,-90,-200,-89,-200,-89,-200,-200,-88,-200,-200,-90,-91
1526447774236,-35,-36,-52,-44,-62,-56,-52,-64,-60,-67,-68,-68,-67,-73,-77,-69,-77,-69,-83,-76,-73,-68,-83,-82,-200,-88,-79,-75,-80,-200,-85,-81,-84,-83,-84,-87,-85,-76,-90,-86,-91,-89,-91,-90,-86,-73,-200,-200,-86,-88,-90,-91,-200,-89,-200,-91,-200,-200,-200,-88,-200,-90,-91
1526447777247,-30,-38,-50,-42,-59,-55,-50,-64,-61,-62,-67,-66,-73,-73,-73,-66,-81,-73,-81,-79,-73,-67,-83,-83,-200,-89,-80,-77,-81,-200,-86,-80,-84,-84,-82,-87,-83,-78,-90,-86,-91,-89,-89,-90,-86,-72,-200,-200,-86,-91,-90,-91,-200,-89,-200,-91,-200,-200,-200,-89,-200,-90,-200
1526447780279,-30,-37,-50,-42,-56,-57,-52,-65,-60,-66,-66,-69,-72,-73,-72,-66,-79,-75,-85,-78,-74,-69,-80,-83,-200,-88,-78,-77,-81,-200,-89,-81,-84,-82,-87,-200,-83,-77,-86,-86,-200,-87,-89,-90,-86,-69,-200,-200,-82,-88,-90,-91,-200,-89,-200,-91,-200,-200,-200,-89,-200,-90,-200
