,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:2a:90,74:da:da:c1:4a:69,74:da:da:c1:4a:85,74:da:da:c1:4a:86,0c:73:eb:d0:0e:c8,74:da:da:c0:e0:6d,74:da:da:c1:25:d9,0c:73:eb:d0:2a:40,0c:73:eb:d0:0e:a0,74:da:da:c1:25:a1,74:da:da:c0:d7:01,74:da:da:c1:4a:6a,74:da:da:c0:e0:6e,74:da:da:c1:25:69,74:da:da:c1:25:da,74:da:da:c0:f3:59,0c:73:eb:d0:0e:a8,74:da:da:c1:04:4d,0c:73:eb:d0:2a:50,74:da:da:c1:25:6a,0c:73:eb:d0:76:28,74:da:da:c1:25:e5,0c:73:eb:d0:0e:98,0c:73:eb:d0:2a:60,74:da:da:c0:d7:9d,74:da:da:c1:25:e6,0c:73:eb:d0:19:c8,74:da:da:c0:d7:02,0c:73:eb:d0:76:10,74:da:da:c1:25:a2,0c:73:eb:d0:76:50,74:da:da:c0:d8:7d,74:da:da:c1:04:4e,74:da:da:c1:3c:85,74:da:da:c1:3b:19,74:da:da:98:ea:64,74:da:da:c0:f3:5a,74:da:da:c0:d7:81,0c:73:eb:d0:19:80,74:da:da:c0:de:2e,74:da:da:98:ea:54,0c:73:eb:d0:2a:68,74:da:da:c0:d6:f5,74:da:da:c0:d8:3d,74:da:da:c1:04:45,74:da:da:c1:03:61,74:da:da:c0:f3:05,74:da:da:c1:25:9d,74:da:da:c0:de:2d,0c:73:eb:d0:13:a0,0c:73:eb:d0:0e:b8,74:da:da:c1:5e:ed,0c:73:eb:d0:2a:30,0c:73:eb:d0:19:c0,74:da:da:c0:d7:e9,74:da:da:c0:d9:39,0c:73:eb:d0:0e:d8,0c:73:eb:d0:0e:b0,74:da:da:c0:d8:1d,0c:73:eb:d0:0e:90,74:da:da:c1:3c:11,74:da:da:c1:3d:35,74:da:da:c0:d6:ed,74:da:da:c0:d7:11,74:da:da:98:ea:5c,74:da:da:c1:3d:0d,0c:73:eb:d0:76:18
1526448478392,-34,-45,-46,-47,-53,-53,-53,-55,-56,-56,-61,-63,-64,-64,-65,-71,-71,-74,-74,-75,-75,-76,-77,-77,-77,-78,-79,-79,-80,-80,-81,-81,-81,-82,-83,-83,-84,-85,-85,-85,-86,-87,-87,-87,-87,-87,-88,-88,-88,-88,-88,-88,-89,-89,-89,-90,-91,-91,-91,-94,-200,-200,-200,-200,-200,-200,-200
1526448481409,-45,-56,-39,-37,-49,-54,-68,-66,-59,-70,-46,-54,-65,-64,-67,-78,-76,-82,-67,-75,-75,-78,-90,-77,-81,-78,-82,-82,-87,-85,-88,-81,-81,-79,-57,-81,-81,-85,-85,-200,-90,-88,-85,-84,-87,-87,-88,-200,-87,-88,-88,-200,-89,-88,-200,-84,-91,-89,-91,-94,-88,-91,-93,-200,-200,-200,-200
1526448484425,-47,-56,-38,-37,-50,-54,-70,-69,-56,-72,-43,-55,-60,-75,-37,-78,-80,-84,-63,-86,-79,-78,-84,-200,-79,-84,-84,-82,-87,-84,-88,-200,-200,-81,-73,-78,-82,-200,-83,-200,-90,-88,-82,-83,-200,-200,-200,-200,-87,-200,-200,-200,-200,-86,-200,-87,-200,-89,-200,-200,-88,-90,-93,-88,-90,-200,-200
1526448487456,-45,-51,-38,-39,-49,-53,-70,-69,-59,-70,-45,-54,-68,-75,-66,-78,-80,-83,-65,-83,-83,-79,-85,-200,-83,-84,-82,-80,-87,-84,-92,-200,-200,-80,-74,-77,-79,-200,-88,-200,-90,-89,-83,-84,-200,-200,-200,-200,-86,-200,-200,-200,-200,-84,-200,-86,-91,-89,-200,-200,-89,-91,-90,-88,-90,-200,-200
1526448490487,-48,-55,-39,-38,-49,-52,-70,-71,-58,-70,-44,-56,-68,-74,-68,-80,-80,-84,-65,-86,-79,-85,-85,-200,-84,-85,-85,-83,-82,-84,-90,-90,-200,-80,-71,-79,-83,-200,-87,-200,-90,-88,-86,-84,-200,-200,-200,-200,-86,-200,-88,-200,-200,-86,-200,-84,-91,-89,-200,-200,-89,-91,-90,-88,-90,-89,-200
1526448493525,-47,-59,-39,-37,-49,-56,-69,-72,-58,-70,-44,-59,-69,-74,-68,-80,-79,-83,-66,-84,-79,-81,-90,-88,-85,-86,-86,-83,-86,-85,-90,-90,-200,-80,-71,-82,-82,-78,-89,-200,-200,-91,-86,-85,-200,-200,-200,-200,-86,-200,-88,-200,-200,-88,-200,-82,-91,-90,-200,-200,-91,-92,-89,-77,-200,-90,-200
1526448496535,-45,-58,-39,-38,-55,-54,-64,-74,-61,-76,-43,-63,-66,-78,-69,-80,-80,-83,-65,-84,-78,-82,-90,-88,-84,-85,-84,-81,-86,-80,-90,-90,-200,-80,-69,-80,-82,-90,-88,-200,-87,-91,-83,-83,-200,-200,-88,-200,-82,-200,-88,-200,-200,-88,-200,-80,-200,-90,-200,-200,-89,-89,-88,-77,-200,-92,-200
1526448499555,-47,-63,-39,-37,-49,-64,-71,-68,-58,-76,-43,-58,-65,-75,-68,-81,-79,-86,-73,-85,-86,-81,-90,-88,-84,-87,-87,-81,-85,-82,-89,-88,-200,-79,-70,-80,-82,-90,-87,-200,-87,-89,-86,-84,-200,-200,-88,-200,-82,-200,-95,-200,-200,-89,-200,-83,-200,-90,-200,-200,-89,-89,-87,-77,-200,-92,-89
1526448502586,-47,-59,-41,-37,-55,-53,-70,-68,-56,-78,-43,-58,-63,-76,-68,-83,-77,-86,-67,-84,-84,-81,-85,-88,-84,-86,-85,-81,-85,-80,-91,-90,-200,-80,-72,-76,-82,-90,-88,-200,-90,-89,-87,-84,-200,-200,-88,-200,-85,-200,-89,-200,-200,-89,-200,-83,-90,-90,-200,-200,-90,-89,-87,-89,-200,-95,-89
