,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
,0c:73:eb:d0:0e:a8,74:da:da:c0:f3:5a,74:da:da:c0:f3:59,74:da:da:c1:25:a1,74:da:da:c1:25:a2,0c:73:eb:d0:2a:68,74:da:da:c0:de:2d,0c:73:eb:d0:2a:40,74:da:da:c1:25:d9,74:da:da:c0:d7:81,74:da:da:c1:25:69,74:da:da:c1:25:e5,74:da:da:c0:d8:7d,0c:73:eb:d0:76:50,74:da:da:c1:03:61,0c:73:eb:d0:0e:b8,74:da:da:c0:de:2e,74:da:da:c1:04:4d,0c:73:eb:d0:2a:90,74:da:da:c1:25:6a,0c:73:eb:d0:0e:a0,0c:73:eb:d0:2a:60,74:da:da:c1:25:9d,0c:73:eb:d0:0e:98,74:da:da:c0:d8:7e,74:da:da:c1:25:e6,74:da:da:c1:4a:69,74:da:da:c1:04:4e,74:da:da:c1:25:da,74:da:da:c1:3d:0d,74:da:da:c1:25:9e,74:da:da:c0:d8:1d,74:da:da:c0:e0:6d,74:da:da:c1:4a:86,0c:73:eb:d0:2a:30,74:da:da:c1:02:95,0c:73:eb:d0:0e:b0,74:da:da:c1:5e:ed,0c:73:eb:d0:2a:88,0c:73:eb:d0:19:c8,74:da:da:c1:4a:6a,0c:73:eb:d0:13:a0,74:da:da:98:ea:5c,0c:73:eb:d0:0e:d8,74:da:da:c1:4a:85,74:da:da:c0:d7:c5,74:da:da:c1:04:45,74:da:da:c0:f3:06,74:da:da:c1:3d:09,74:da:da:c1:04:49,74:da:da:98:ea:54,74:da:da:c1:3b:45,0c:73:eb:d0:0e:c8,0c:73:eb:d0:19:88,74:da:da:c0:f3:05,74:da:da:c0:d7:01,74:da:da:c0:d8:3d,0c:73:eb:d0:0e:d0,74:da:da:c0:d7:9d,0c:73:eb:d0:19:c0,74:da:da:c1:3b:79,0c:73:eb:d0:2a:50,74:da:da:c1:3d:35,74:da:da:c0:d7:e9,0c:73:eb:d0:2a:18,74:da:da:c1:3b:19,74:da:da:c1:5e:ee,0c:73:eb:d0:19:98,74:da:da:c1:3d:85,0c:73:eb:d0:76:38,74:da:da:c0:d6:f5,74:da:da:c1:48:bd,74:da:da:c0:d7:dd,74:da:da:c1:03:62,0c:73:eb:d0:76:28,0c:73:eb:d0:2a:10,74:da:da:c1:3b:85,0c:73:eb:d0:13:b0,74:da:da:c1:4a:a5,0c:73:eb:d0:7c:08,74:da:da:c1:3d:05,0c:73:eb:d0:0e:90,0c:73:eb:d0:19:80,0c:73:eb:d0:76:10,0c:73:eb:d0:2a:48,0c:73:eb:d0:7e:e0,74:da:da:c0:d7:82,74:da:da:c1:3c:51
1526448881243,-39,-42,-45,-48,-49,-50,-50,-56,-57,-59,-60,-60,-60,-63,-63,-65,-66,-66,-67,-67,-70,-71,-71,-72,-72,-75,-75,-77,-78,-78,-78,-79,-79,-79,-79,-81,-82,-82,-82,-83,-84,-85,-85,-85,-85,-85,-85,-86,-86,-86,-87,-88,-88,-88,-88,-88,-89,-89,-89,-90,-90,-91,-91,-91,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448884268,-38,-46,-56,-59,-48,-55,-49,-58,-60,-74,-58,-66,-55,-56,-64,-61,-60,-72,-61,-62,-63,-75,-73,-68,-76,-72,-75,-47,-71,-68,-78,-88,-78,-80,-83,-83,-72,-72,-89,-89,-84,-76,-81,-81,-74,-80,-82,-200,-91,-88,-200,-88,-74,-86,-73,-89,-89,-200,-89,-90,-88,-200,-69,-91,-92,-92,-84,-89,-89,-91,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448887311,-39,-50,-56,-62,-52,-56,-50,-59,-61,-72,-49,-69,-54,-58,-65,-62,-65,-70,-60,-65,-71,-75,-73,-69,-73,-70,-200,-81,-70,-79,-200,-89,-82,-80,-79,-83,-74,-72,-85,-86,-87,-73,-83,-77,-74,-81,-82,-200,-89,-88,-200,-200,-78,-84,-79,-89,-90,-200,-88,-200,-89,-200,-82,-86,-200,-88,-84,-89,-88,-91,-90,-91,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448890352,-34,-46,-54,-62,-53,-53,-50,-58,-62,-71,-52,-69,-57,-56,-65,-58,-64,-73,-59,-68,-66,-75,-73,-69,-71,-68,-77,-79,-69,-76,-82,-85,-82,-77,-82,-86,-76,-75,-85,-86,-87,-76,-82,-77,-74,-90,-82,-200,-90,-88,-200,-200,-74,-84,-75,-89,-87,-200,-88,-200,-89,-200,-79,-86,-200,-89,-88,-89,-88,-91,-90,-91,-90,-85,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448893368,-15,-48,-53,-57,-51,-52,-51,-58,-60,-71,-50,-67,-57,-57,-64,-66,-62,-70,-61,-64,-67,-74,-73,-70,-51,-71,-78,-76,-69,-76,-82,-87,-82,-79,-82,-86,-76,-75,-85,-86,-88,-76,-83,-78,-74,-90,-82,-200,-92,-88,-200,-200,-77,-86,-73,-89,-88,-200,-90,-200,-88,-200,-82,-84,-200,-87,-86,-89,-87,-91,-94,-91,-90,-85,-88,-91,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448896403,-32,-46,-53,-62,-55,-51,-50,-55,-58,-74,-52,-67,-56,-58,-63,-66,-63,-68,-67,-68,-68,-72,-78,-73,-68,-70,-77,-75,-69,-76,-77,-87,-83,-79,-78,-85,-74,-75,-87,-81,-88,-79,-86,-81,-80,-87,-200,-86,-90,-200,-200,-89,-76,-85,-76,-200,-88,-200,-89,-200,-89,-200,-82,-84,-200,-87,-86,-200,-87,-200,-89,-91,-200,-85,-89,-91,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448899443,-32,-48,-51,-63,-54,-53,-50,-54,-61,-76,-51,-67,-56,-60,-63,-60,-64,-66,-59,-68,-67,-70,-78,-76,-69,-70,-77,-80,-70,-75,-70,-87,-83,-76,-78,-85,-73,-200,-86,-85,-88,-80,-85,-79,-80,-89,-200,-86,-90,-200,-200,-89,-76,-85,-77,-200,-87,-200,-90,-200,-89,-200,-82,-84,-90,-87,-86,-200,-89,-200,-91,-91,-200,-85,-89,-200,-88,-90,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526448902460,-33,-48,-51,-58,-49,-56,-53,-54,-62,-73,-50,-69,-56,-58,-65,-61,-68,-68,-70,-69,-64,-72,-78,-73,-68,-69,-74,-81,-69,-76,-81,-87,-83,-74,-78,-85,-75,-200,-88,-85,-200,-75,-84,-83,-77,-86,-82,-86,-91,-200,-200,-90,-79,-86,-72,-200,-87,-200,-89,-200,-89,-200,-84,-90,-90,-88,-86,-200,-88,-200,-90,-200,-200,-85,-89,-200,-88,-90,-90,-91,-71,-200,-200,-200,-200,-200,-200,-200
1526448905499,-33,-45,-52,-66,-52,-55,-55,-58,-63,-74,-53,-61,-56,-60,-64,-57,-66,-69,-64,-69,-65,-76,-74,-67,-69,-69,-74,-80,-70,-75,-81,-87,-81,-77,-79,-84,-73,-75,-84,-84,-200,-77,-84,-82,-75,-86,-81,-86,-91,-200,-200,-90,-79,-84,-72,-200,-87,-200,-88,-200,-90,-200,-83,-85,-90,-91,-86,-200,-87,-200,-90,-200,-200,-85,-89,-200,-88,-200,-90,-91,-71,-200,-200,-200,-200,-200,-200,-200
