,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro
,74:da:da:c1:4a:85,0c:73:eb:d0:2a:90,74:da:da:c1:4a:86,0c:73:eb:d0:0e:c8,74:da:da:c1:25:a1,74:da:da:c1:25:a2,74:da:da:c1:4a:69,0c:73:eb:d0:0e:a0,74:da:da:c0:e0:6d,0c:73:eb:d0:2a:40,74:da:da:c0:d7:01,74:da:da:c1:4a:6a,74:da:da:c0:e0:6e,0c:73:eb:d0:19:c8,74:da:da:c1:25:da,74:da:da:c1:25:d9,74:da:da:98:ea:64,0c:73:eb:d0:0e:a8,74:da:da:c1:04:4e,74:da:da:c1:25:69,0c:73:eb:d0:2a:60,74:da:da:c0:f3:59,74:da:da:c0:f3:5a,0c:73:eb:d0:76:10,0c:73:eb:d0:2a:68,74:da:da:c0:de:2d,74:da:da:c1:25:6a,74:da:da:c1:25:e6,74:da:da:c0:d8:7d,0c:73:eb:d0:19:c0,74:da:da:c1:25:e5,74:da:da:98:ea:54,0c:73:eb:d0:76:50,0c:73:eb:d0:2a:50,74:da:da:c0:d6:ed,74:da:da:c0:d8:7e,74:da:da:c0:de:2e,74:da:da:c0:d7:81,74:da:da:98:ea:55,74:da:da:c0:f3:05,0c:73:eb:d0:0e:98,0c:73:eb:d0:0e:d8,74:da:da:c0:d7:9d,74:da:da:c0:d6:f5,74:da:da:c0:d7:02,0c:73:eb:d0:19:80,0c:73:eb:d0:13:a0,74:da:da:c0:d9:39,74:da:da:c0:d7:11,74:da:da:c0:d7:e9,74:da:da:c1:3b:19,0c:73:eb:d0:2a:48,74:da:da:c0:d8:1d,74:da:da:c1:3c:45,74:da:da:c0:d8:3d,74:da:da:c1:3c:85,0c:73:eb:d0:19:a0,0c:73:eb:d0:76:28,74:da:da:c1:03:61,74:da:da:c0:d7:ed,74:da:da:c1:4a:c9,74:da:da:c1:3d:35,74:da:da:c1:04:4d,74:da:da:c1:25:9d,0c:73:eb:d0:19:90,74:da:da:98:ea:5c,0c:73:eb:d0:2a:30,0c:73:eb:d0:2a:88,74:da:da:c1:25:9e,74:da:da:c1:04:45,74:da:da:c1:5e:ed,0c:73:eb:d0:0e:b8,0c:73:eb:d0:76:18,0c:73:eb:d0:0e:d0,74:da:da:c1:02:95
1526451531133,-39,-41,-44,-52,-53,-56,-59,-61,-61,-65,-66,-67,-68,-69,-69,-69,-69,-71,-72,-74,-74,-75,-76,-76,-77,-77,-77,-78,-79,-80,-80,-81,-81,-81,-81,-82,-83,-84,-84,-84,-85,-85,-86,-86,-86,-87,-87,-88,-88,-89,-89,-89,-90,-90,-90,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451534166,-40,-42,-47,-52,-53,-58,-59,-63,-60,-64,-69,-64,-67,-68,-76,-75,-69,-78,-73,-73,-69,-75,-76,-74,-81,-200,-81,-79,-200,-80,-80,-77,-200,-200,-80,-82,-200,-200,-84,-200,-85,-86,-89,-200,-84,-82,-200,-79,-88,-89,-89,-89,-90,-90,-91,-91,-92,-84,-88,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451537204,-40,-43,-47,-56,-53,-63,-55,-62,-63,-66,-77,-60,-63,-67,-71,-69,-69,-77,-71,-73,-67,-75,-71,-77,-81,-200,-81,-79,-200,-72,-80,-77,-200,-77,-80,-200,-84,-80,-86,-200,-85,-90,-89,-200,-84,-84,-200,-79,-200,-200,-200,-89,-200,-90,-91,-200,-92,-84,-88,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451540213,-42,-47,-47,-56,-55,-59,-59,-54,-65,-68,-68,-64,-63,-64,-68,-66,-69,-74,-77,-73,-77,-75,-78,-77,-86,-200,-75,-76,-200,-76,-78,-83,-200,-79,-82,-83,-84,-80,-86,-200,-77,-90,-87,-85,-84,-84,-200,-86,-200,-200,-91,-91,-200,-90,-91,-200,-92,-84,-88,-90,-91,-91,-81,-88,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451543248,-42,-43,-45,-55,-54,-64,-64,-55,-66,-67,-74,-68,-64,-64,-68,-63,-76,-74,-77,-77,-80,-200,-78,-76,-83,-200,-75,-78,-200,-75,-78,-83,-84,-79,-79,-83,-85,-81,-87,-89,-77,-81,-87,-86,-84,-87,-200,-86,-82,-200,-91,-91,-200,-200,-91,-200,-200,-84,-89,-90,-91,-91,-81,-88,-89,-90,-88,-90,-200,-200,-200,-200,-200,-200,-200
1526451546274,-43,-43,-43,-55,-52,-64,-62,-53,-66,-70,-66,-58,-68,-71,-66,-63,-65,-75,-77,-77,-77,-200,-77,-76,-83,-200,-79,-78,-85,-73,-78,-82,-83,-79,-79,-84,-85,-81,-87,-89,-77,-81,-87,-86,-89,-87,-200,-86,-82,-200,-91,-88,-200,-200,-91,-200,-200,-84,-89,-200,-200,-91,-77,-88,-89,-90,-88,-90,-85,-91,-200,-200,-200,-200,-200
1526451549310,-43,-39,-44,-57,-54,-60,-62,-56,-66,-67,-69,-59,-64,-71,-71,-65,-74,-76,-71,-77,-74,-78,-77,-78,-83,-200,-79,-77,-86,-78,-78,-70,-83,-79,-79,-84,-85,-82,-87,-87,-82,-81,-84,-89,-89,-87,-200,-83,-82,-200,-91,-88,-200,-200,-91,-89,-200,-200,-89,-200,-200,-200,-77,-88,-89,-90,-88,-90,-85,-91,-89,-200,-200,-200,-200
1526451552348,-45,-40,-43,-58,-55,-63,-61,-58,-67,-67,-67,-61,-65,-67,-67,-66,-74,-72,-73,-77,-74,-78,-77,-77,-83,-200,-79,-77,-86,-74,-200,-85,-81,-79,-82,-85,-85,-82,-87,-87,-78,-81,-84,-91,-89,-86,-200,-85,-82,-200,-200,-88,-200,-200,-91,-89,-200,-200,-89,-200,-200,-200,-77,-200,-200,-90,-88,-90,-85,-91,-89,-200,-200,-200,-200
1526451555379,-38,-42,-43,-53,-54,-61,-61,-58,-66,-66,-67,-62,-64,-70,-69,-67,-73,-77,-72,-75,-74,-75,-77,-78,-200,-200,-79,-77,-86,-74,-200,-82,-81,-76,-79,-85,-85,-82,-200,-87,-81,-200,-84,-91,-83,-86,-200,-85,-200,-200,-200,-90,-200,-200,-90,-89,-200,-200,-200,-200,-200,-200,-74,-200,-200,-90,-88,-200,-85,-91,-85,-86,-91,-200,-200
