,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D00EB8,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A68,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,WHU-2018,DLINK_D02A20,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz
,74:da:da:c1:04:4e,74:da:da:c1:04:4d,0c:73:eb:d0:2a:30,0c:73:eb:d0:0e:b8,0c:73:eb:d0:2a:88,74:da:da:c1:04:45,74:da:da:c1:5e:ed,0c:73:eb:d0:2a:60,74:da:da:c1:5e:ee,74:da:da:c1:25:9d,74:da:da:c1:25:e5,74:da:da:c1:25:a1,74:da:da:c1:25:9e,74:da:da:c1:04:46,74:da:da:c1:25:a2,74:da:da:c1:02:96,0c:73:eb:d0:2a:58,74:da:da:c1:03:61,74:da:da:c1:04:4a,74:da:da:c0:de:2d,0c:73:eb:d0:2a:90,74:da:da:c1:03:62,0c:73:eb:d0:0e:98,74:da:da:c1:04:49,0c:73:eb:d0:2a:68,0c:73:eb:d0:0e:d0,74:da:da:c1:02:95,0c:73:eb:d0:0e:c0,0c:73:eb:d0:2a:48,74:da:da:c1:47:cd,74:da:da:c1:25:e6,74:da:da:c0:d7:e9,74:da:da:c1:3b:7a,0c:73:eb:d0:2a:18,74:da:da:c0:d8:7d,74:da:da:c0:d8:7e,0c:73:eb:d0:0e:d8,74:da:da:c1:25:69,74:da:da:c0:d8:25,0c:73:eb:d0:2a:10,74:da:da:c0:f3:5a,74:da:da:c1:3d:05,74:da:da:c0:d8:05,74:da:da:c0:d7:ed,74:da:da:c1:4a:c9,0c:73:eb:d0:0e:a8,74:da:da:c1:3b:79,74:da:da:c0:de:2e,74:da:da:c0:f3:59,74:da:da:c1:4a:7d,0c:73:eb:d0:2a:98,0c:73:eb:d0:19:c8,0c:73:eb:d0:2a:40,0c:73:eb:d0:2a:20,0c:73:eb:d0:2a:38,74:da:da:98:ea:54,0c:73:eb:d0:0e:c8,0c:73:eb:d0:0e:a0,0c:73:eb:d0:19:c0,0c:73:eb:d0:2a:28,74:da:da:c1:3c:8d,74:da:da:c1:3d:09,74:da:da:c1:14:99,74:da:da:c1:3b:65,74:da:da:c0:d8:59,0c:73:eb:d0:0e:b0,0c:73:eb:d0:76:48,0c:73:eb:d0:0e:90,74:da:da:c1:17:75,0c:73:eb:d0:19:98,74:da:da:c1:3b:45,0c:73:eb:d0:76:58,74:da:da:c1:4a:a5,74:da:da:c1:3d:0d,74:da:da:98:8f:34,0c:73:eb:d0:76:40,74:da:da:98:8f:64,74:da:da:c0:d7:ee,74:da:da:c1:3d:35,74:da:da:c1:25:d9,74:da:da:98:8f:30,74:da:da:c1:4a:69,74:da:da:c1:25:6a,74:da:da:c1:3b:46
1526457414643,-36,-47,-53,-57,-60,-60,-60,-61,-61,-61,-61,-61,-62,-62,-63,-63,-66,-67,-68,-68,-69,-69,-69,-70,-73,-73,-74,-74,-75,-75,-75,-76,-76,-76,-77,-78,-79,-79,-79,-80,-80,-80,-81,-81,-82,-82,-83,-83,-83,-84,-84,-84,-84,-84,-85,-85,-85,-86,-87,-88,-88,-89,-89,-89,-90,-90,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457417672,-46,-45,-59,-68,-61,-61,-60,-57,-71,-64,-76,-54,-67,-76,-65,-59,-66,-74,-68,-65,-72,-76,-69,-74,-77,-73,-57,-71,-75,-75,-75,-72,-64,-76,-77,-78,-78,-79,-87,-80,-80,-80,-83,-81,-82,-82,-53,-83,-83,-84,-84,-84,-88,-84,-82,-200,-85,-88,-200,-88,-88,-87,-89,-89,-90,-90,-91,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457420701,-52,-45,-57,-68,-62,-60,-200,-60,-71,-67,-78,-55,-70,-77,-59,-57,-200,-74,-73,-68,-69,-73,-68,-74,-74,-200,-58,-66,-76,-200,-82,-74,-64,-200,-74,-200,-78,-89,-89,-89,-200,-200,-83,-78,-200,-200,-53,-200,-86,-86,-200,-200,-88,-84,-78,-200,-200,-88,-200,-85,-200,-89,-200,-200,-200,-200,-89,-200,-80,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457423735,-46,-49,-54,-67,-64,-61,-200,-59,-70,-77,-78,-58,-64,-77,-63,-56,-76,-74,-70,-68,-67,-74,-67,-69,-78,-73,-55,-66,-72,-76,-82,-81,-67,-200,-74,-200,-78,-89,-89,-89,-82,-200,-76,-78,-83,-200,-58,-200,-82,-86,-81,-200,-88,-78,-80,-200,-200,-88,-200,-86,-200,-89,-200,-200,-90,-200,-89,-200,-80,-90,-80,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457426754,-46,-49,-53,-71,-65,-61,-66,-57,-71,-78,-78,-57,-63,-77,-60,-53,-76,-74,-66,-71,-68,-75,-68,-68,-79,-73,-58,-66,-73,-76,-83,-82,-67,-200,-75,-200,-78,-89,-89,-87,-82,-200,-83,-78,-83,-88,-58,-200,-82,-86,-81,-200,-88,-83,-79,-200,-200,-88,-200,-86,-200,-89,-87,-200,-88,-200,-91,-200,-80,-90,-80,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457429789,-45,-49,-55,-73,-65,-61,-66,-65,-76,-78,-78,-59,-67,-73,-59,-60,-73,-200,-66,-71,-67,-73,-68,-68,-80,-73,-58,-67,-71,-78,-83,-82,-64,-200,-76,-86,-200,-89,-89,-87,-82,-200,-81,-78,-82,-88,-58,-200,-82,-86,-85,-81,-200,-80,-80,-200,-90,-88,-200,-85,-200,-88,-89,-200,-88,-200,-91,-200,-200,-90,-80,-89,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457432823,-45,-52,-54,-71,-58,-62,-70,-57,-72,-72,-200,-60,-69,-74,-67,-61,-73,-78,-61,-71,-69,-74,-76,-69,-80,-74,-57,-70,-70,-75,-83,-77,-56,-200,-76,-86,-200,-200,-200,-88,-82,-200,-83,-80,-82,-88,-64,-200,-82,-200,-85,-83,-200,-82,-80,-200,-90,-88,-200,-85,-200,-88,-91,-200,-90,-200,-91,-200,-200,-200,-80,-89,-84,-88,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526457435851,-45,-48,-57,-66,-60,-69,-63,-53,-67,-69,-82,-66,-67,-76,-64,-57,-75,-78,-67,-69,-70,-72,-72,-67,-78,-74,-67,-71,-72,-77,-82,-78,-56,-200,-76,-84,-84,-85,-200,-85,-200,-200,-77,-80,-82,-86,-54,-200,-200,-200,-83,-76,-88,-82,-82,-200,-86,-88,-200,-83,-200,-88,-91,-200,-90,-200,-91,-200,-83,-200,-82,-89,-84,-89,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526457438884,-47,-47,-58,-68,-58,-70,-63,-52,-67,-70,-79,-66,-69,-74,-68,-58,-75,-78,-66,-70,-69,-75,-72,-68,-77,-86,-61,-69,-73,-76,-82,-78,-56,-200,-75,-84,-85,-85,-200,-84,-200,-200,-78,-80,-79,-85,-57,-200,-80,-200,-83,-76,-88,-84,-86,-200,-86,-89,-200,-82,-200,-88,-75,-200,-89,-200,-200,-200,-83,-200,-82,-200,-84,-89,-86,-90,-88,-200,-200,-200,-200,-200,-200,-200
