,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:0e:a0,0c:73:eb:d0:2a:90,74:da:da:c1:25:d9,74:da:da:c1:4a:69,74:da:da:c1:25:da,0c:73:eb:d0:2a:40,0c:73:eb:d0:0e:c8,74:da:da:c1:4a:85,74:da:da:c0:d7:9d,0c:73:eb:d0:0e:a8,74:da:da:c1:4a:86,74:da:da:c1:25:69,74:da:da:c0:f3:59,74:da:da:98:ea:64,74:da:da:c1:4a:6a,74:da:da:c1:25:6a,0c:73:eb:d0:0e:98,0c:73:eb:d0:76:10,0c:73:eb:d0:76:28,74:da:da:c1:3c:55,74:da:da:c1:25:e5,74:da:da:98:90:94,74:da:da:c1:5e:ed,0c:73:eb:d0:2a:68,74:da:da:c0:d7:01,74:da:da:98:ea:54,74:da:da:c0:f3:5a,74:da:da:c1:25:9d,74:da:da:c1:25:a2,0c:73:eb:d0:19:c8,74:da:da:c0:d7:11,0c:73:eb:d0:19:90,74:da:da:c1:03:61,0c:73:eb:d0:2a:60,74:da:da:c0:de:2d,74:da:da:c1:25:e6,0c:73:eb:d0:13:c8,74:da:da:c1:04:45,0c:73:eb:d0:11:c8,0c:73:eb:d0:2a:30,0c:73:eb:d0:13:a0,0c:73:eb:d0:19:a0,0c:73:eb:d0:19:c0,74:da:da:98:85:00,74:da:da:c1:6b:4d,74:da:da:c0:e0:69,74:da:da:98:8f:34,74:da:da:c1:3a:dd,74:da:da:c0:d6:ed,0c:73:eb:d0:7c:40,0c:73:eb:d0:76:50,74:da:da:c1:25:a1,74:da:da:c0:e0:6d,74:da:da:c1:3c:45,0c:73:eb:d0:0e:b8,74:da:da:c1:3c:4d,74:da:da:c1:04:4d,0c:73:eb:d0:2a:50,74:da:da:c1:02:8d,74:da:da:c1:03:21,0c:73:eb:d0:19:80,0c:73:eb:d0:7f:08,d8:15:0d:6c:13:98,74:da:da:c0:d8:7d,74:da:da:c0:d8:1d,74:da:da:c0:d9:39,74:da:da:c0:d6:f5,0c:73:eb:d0:13:b8
1526450704205,-47,-48,-50,-55,-56,-57,-59,-63,-64,-65,-65,-67,-69,-70,-72,-73,-74,-75,-75,-77,-78,-79,-79,-80,-80,-80,-81,-81,-81,-82,-82,-82,-82,-83,-84,-85,-85,-85,-86,-87,-87,-88,-88,-89,-89,-90,-90,-91,-91,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450707266,-49,-52,-50,-55,-55,-60,-62,-60,-68,-65,-64,-67,-69,-66,-69,-73,-79,-76,-75,-79,-74,-79,-79,-83,-76,-78,-81,-79,-81,-82,-80,-82,-85,-83,-84,-83,-85,-85,-86,-87,-83,-86,-88,-200,-89,-90,-90,-200,-91,-200,-94,-66,-80,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450710308,-49,-52,-47,-57,-55,-54,-62,-61,-66,-63,-65,-62,-200,-66,-70,-71,-72,-71,-75,-79,-74,-200,-79,-83,-76,-78,-200,-79,-81,-82,-80,-82,-84,-200,-81,-83,-85,-85,-200,-200,-83,-86,-88,-200,-89,-90,-90,-200,-200,-200,-200,-64,-77,-90,-78,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450713353,-48,-56,-49,-55,-55,-57,-60,-65,-70,-63,-68,-62,-200,-65,-71,-71,-69,-70,-75,-79,-74,-200,-79,-84,-75,-78,-81,-79,-81,-86,-80,-72,-84,-87,-81,-84,-86,-85,-79,-200,-83,-85,-88,-200,-89,-90,-90,-200,-200,-200,-200,-59,-77,-90,-78,-79,-78,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450716404,-49,-50,-48,-55,-54,-55,-60,-61,-71,-65,-68,-63,-67,-65,-71,-71,-73,-70,-79,-79,-74,-200,-79,-78,-75,-81,-81,-80,-81,-86,-80,-72,-84,-81,-80,-84,-86,-85,-87,-200,-83,-86,-88,-200,-89,-90,-90,-200,-89,-200,-200,-63,-77,-90,-79,-79,-78,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450719465,-50,-50,-51,-57,-53,-55,-56,-61,-71,-65,-68,-63,-67,-69,-73,-71,-73,-73,-79,-79,-74,-200,-200,-78,-79,-81,-81,-80,-200,-85,-80,-72,-84,-81,-80,-84,-86,-200,-87,-200,-83,-86,-89,-200,-86,-200,-200,-88,-89,-200,-200,-63,-77,-90,-79,-79,-78,-84,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526450722516,-51,-49,-50,-58,-53,-54,-54,-61,-74,-64,-67,-59,-67,-69,-74,-71,-71,-72,-79,-200,-74,-200,-200,-78,-75,-79,-81,-80,-200,-84,-80,-72,-84,-80,-80,-85,-86,-200,-87,-200,-86,-86,-89,-200,-86,-200,-200,-88,-89,-200,-200,-61,-77,-200,-79,-79,-72,-84,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526450725573,-54,-53,-51,-56,-52,-58,-54,-66,-71,-66,-63,-62,-68,-66,-75,-75,-71,-76,-79,-200,-74,-200,-200,-78,-75,-83,-81,-80,-200,-84,-200,-72,-200,-80,-82,-86,-86,-200,-87,-200,-86,-86,-89,-200,-86,-200,-200,-88,-89,-200,-93,-62,-200,-200,-79,-79,-75,-84,-88,-88,-85,-88,-90,-200,-200,-200,-200,-200
1526450728632,-44,-55,-51,-52,-55,-50,-59,-54,-73,-69,-65,-62,-68,-70,-75,-73,-70,-72,-76,-78,-74,-200,-200,-83,-75,-82,-81,-80,-200,-84,-200,-200,-200,-80,-73,-83,-200,-200,-88,-200,-86,-86,-89,-200,-86,-200,-200,-90,-89,-200,-93,-58,-200,-200,-79,-80,-75,-200,-89,-88,-85,-88,-90,-80,-82,-200,-200,-200
