,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A28,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,DLINK_D02A38,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:3b:79,74:da:da:c1:3b:7a,74:da:da:c1:02:95,74:da:da:c1:04:4d,0c:73:eb:d0:2a:88,74:da:da:c1:04:4e,74:da:da:c1:14:99,0c:73:eb:d0:2a:30,0c:73:eb:d0:2a:28,0c:73:eb:d0:0e:b8,74:da:da:c0:de:2d,74:da:da:c1:25:9d,74:da:da:c1:17:75,74:da:da:c1:04:45,0c:73:eb:d0:0e:c0,0c:73:eb:d0:2a:60,74:da:da:c1:3b:45,74:da:da:c1:04:49,74:da:da:c1:5e:ed,74:da:da:c1:4a:a5,74:da:da:c1:03:61,74:da:da:c1:3b:85,74:da:da:c1:14:9a,74:da:da:c1:02:96,0c:73:eb:d0:0e:98,0c:73:eb:d0:2a:68,74:da:da:c0:d7:09,74:da:da:c0:d8:05,74:da:da:c1:25:9e,0c:73:eb:d0:0e:d0,74:da:da:c1:3b:46,74:da:da:c1:04:46,0c:73:eb:d0:2a:48,0c:73:eb:d0:76:58,74:da:da:c1:5e:ee,74:da:da:c1:47:cd,74:da:da:c0:d8:25,74:da:da:c0:d7:ed,74:da:da:c1:04:4a,0c:73:eb:d0:2a:18,74:da:da:c0:d8:7d,74:da:da:c1:03:62,0c:73:eb:d0:2a:20,0c:73:eb:d0:2a:38,0c:73:eb:d0:2a:90,0c:73:eb:d0:2a:98,74:da:da:c1:4a:c9,0c:73:eb:d0:2a:10,74:da:da:c0:f3:59,74:da:da:c0:f3:05,74:da:da:98:8f:3c,74:da:da:c1:3b:e9,0c:73:eb:d0:2a:40,74:da:da:c1:25:e5,0c:73:eb:d0:19:98,0c:73:eb:d0:76:20,0c:73:eb:d0:0e:a8,0c:73:eb:d0:7e:e0,74:da:da:c1:3d:05,74:da:da:98:74:74,74:da:da:c1:4a:7d,0c:73:eb:d0:19:b0,74:da:da:c0:d7:e9,0c:73:eb:d0:2a:58,0c:73:eb:d0:0e:a0,74:da:da:c1:25:69,74:da:da:c1:3b:49,0c:73:eb:d0:11:d0,74:da:da:c1:3b:65,74:da:da:98:db:44,74:da:da:c1:25:a1,74:da:da:c1:3d:09,74:da:da:c1:3c:51,74:da:da:c0:f2:fd,74:da:da:c1:3b:86,0c:73:eb:d0:7e:d8,74:da:da:c1:3c:6d
1526460990741,-45,-49,-50,-55,-59,-61,-61,-62,-64,-65,-67,-69,-69,-69,-69,-70,-70,-70,-71,-73,-74,-74,-75,-75,-76,-79,-79,-79,-80,-80,-82,-82,-82,-82,-82,-83,-84,-84,-85,-85,-85,-86,-87,-87,-88,-88,-88,-88,-89,-89,-89,-90,-90,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460993756,-44,-49,-54,-60,-60,-63,-69,-60,-62,-70,-67,-77,-58,-72,-200,-200,-63,-71,-65,-71,-76,-74,-75,-71,-81,-78,-79,-79,-76,-200,-82,-200,-200,-200,-82,-84,-79,-200,-82,-85,-73,-86,-87,-200,-88,-90,-88,-88,-89,-200,-200,-90,-90,-91,-91,-80,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460996781,-45,-48,-51,-60,-53,-62,-61,-61,-63,-72,-68,-75,-70,-71,-73,-200,-63,-71,-67,-71,-80,-200,-76,-71,-81,-80,-79,-79,-77,-200,-200,-85,-200,-200,-200,-84,-83,-200,-82,-200,-76,-200,-81,-81,-200,-90,-200,-200,-89,-200,-200,-200,-200,-200,-91,-79,-89,-91,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460999809,-48,-54,-52,-67,-54,-64,-64,-59,-67,-77,-68,-78,-70,-71,-69,-73,-60,-74,-71,-71,-80,-200,-78,-72,-81,-80,-78,-87,-76,-200,-79,-85,-81,-200,-200,-84,-83,-86,-83,-200,-76,-200,-81,-85,-200,-90,-200,-200,-89,-200,-200,-200,-200,-200,-91,-82,-89,-91,-89,-90,-76,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461002837,-43,-50,-52,-79,-54,-60,-66,-60,-62,-76,-68,-76,-70,-72,-73,-73,-62,-72,-71,-71,-80,-71,-78,-71,-81,-80,-78,-87,-78,-82,-77,-81,-81,-200,-200,-84,-82,-86,-83,-200,-76,-200,-81,-84,-200,-90,-200,-200,-89,-200,-200,-200,-200,-200,-91,-73,-89,-91,-89,-90,-76,-90,-90,-83,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461005864,-44,-50,-52,-65,-54,-66,-70,-60,-63,-71,-68,-76,-70,-78,-71,-69,-64,-72,-72,-71,-80,-71,-78,-74,-80,-78,-76,-78,-78,-82,-75,-79,-83,-200,-200,-200,-82,-86,-86,-200,-76,-200,-80,-84,-200,-200,-200,-91,-91,-200,-200,-200,-200,-200,-200,-82,-200,-200,-89,-90,-76,-90,-91,-83,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461008879,-50,-50,-51,-73,-53,-70,-66,-68,-68,-75,-68,-76,-70,-78,-71,-69,-63,-73,-63,-61,-80,-71,-77,-73,-80,-78,-71,-78,-78,-79,-72,-80,-83,-86,-200,-200,-82,-86,-86,-83,-200,-200,-84,-83,-200,-200,-200,-91,-91,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-76,-90,-91,-83,-88,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461011889,-47,-48,-51,-69,-55,-65,-60,-62,-66,-74,-64,-77,-70,-74,-71,-69,-60,-73,-61,-61,-80,-72,-75,-74,-80,-78,-75,-87,-77,-79,-79,-80,-82,-86,-82,-200,-82,-200,-86,-83,-78,-85,-84,-80,-200,-200,-200,-91,-91,-200,-200,-200,-200,-200,-90,-84,-90,-200,-200,-200,-200,-94,-91,-83,-88,-90,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526461014926,-44,-53,-50,-67,-53,-67,-60,-63,-65,-71,-64,-77,-70,-74,-69,-72,-61,-73,-59,-72,-80,-71,-73,-75,-80,-78,-75,-87,-77,-84,-71,-80,-82,-86,-82,-200,-86,-200,-86,-83,-78,-85,-85,-85,-200,-200,-200,-91,-91,-200,-200,-200,-200,-200,-90,-82,-90,-200,-200,-93,-78,-94,-91,-81,-90,-90,-88,-90,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526461017966,-45,-52,-51,-67,-53,-68,-59,-61,-67,-76,-65,-77,-70,-78,-74,-73,-62,-76,-58,-74,-82,-71,-75,-74,-75,-200,-75,-83,-79,-80,-52,-80,-83,-86,-85,-78,-86,-200,-200,-83,-80,-84,-86,-84,-200,-200,-200,-91,-200,-200,-200,-89,-89,-200,-90,-84,-90,-200,-200,-93,-79,-91,-200,-81,-90,-90,-88,-90,-88,-81,-200,-200,-200,-200,-200,-200,-200
1526461021002,-44,-50,-50,-71,-53,-66,-57,-59,-67,-73,-64,-75,-70,-75,-70,-73,-62,-74,-58,-75,-80,-71,-75,-73,-75,-80,-73,-84,-79,-80,-73,-81,-84,-86,-85,-78,-84,-200,-200,-82,-80,-84,-84,-84,-200,-200,-200,-91,-86,-200,-200,-89,-89,-200,-90,-81,-90,-200,-200,-90,-79,-91,-200,-77,-90,-200,-88,-90,-88,-81,-200,-200,-200,-200,-200,-200,-200
1526461024012,-47,-49,-51,-71,-57,-69,-58,-61,-67,-71,-64,-76,-71,-75,-72,-75,-63,-74,-57,-75,-80,-74,-75,-73,-79,-80,-73,-84,-79,-85,-74,-83,-84,-86,-85,-78,-82,-200,-200,-78,-80,-84,-82,-82,-200,-200,-200,-200,-86,-200,-200,-89,-89,-84,-90,-85,-200,-200,-200,-92,-70,-91,-200,-77,-90,-200,-88,-200,-88,-81,-86,-200,-200,-200,-200,-200,-200
1526461027048,-47,-49,-50,-71,-57,-65,-57,-58,-67,-75,-64,-76,-71,-81,-73,-71,-62,-72,-57,-75,-82,-74,-75,-73,-80,-79,-73,-82,-79,-85,-73,-83,-84,-91,-85,-78,-84,-200,-200,-78,-78,-84,-82,-81,-200,-91,-200,-200,-86,-200,-200,-89,-89,-84,-90,-79,-86,-200,-200,-92,-78,-91,-200,-77,-200,-200,-88,-200,-88,-81,-86,-200,-200,-200,-200,-200,-200
1526461030085,-46,-50,-49,-69,-53,-67,-56,-62,-69,-71,-64,-76,-71,-75,-68,-75,-60,-72,-57,-75,-80,-74,-76,-72,-80,-78,-73,-82,-82,-85,-75,-83,-84,-91,-84,-200,-84,-200,-200,-78,-78,-200,-81,-81,-200,-91,-84,-200,-86,-200,-200,-89,-200,-85,-200,-84,-86,-200,-200,-91,-78,-200,-200,-77,-200,-200,-88,-90,-88,-200,-86,-90,-200,-200,-200,-200,-200
1526461033117,-43,-50,-51,-69,-54,-70,-51,-56,-63,-75,-61,-76,-69,-75,-67,-70,-62,-72,-54,-79,-80,-74,-76,-72,-81,-78,-200,-81,-82,-85,-79,-83,-86,-91,-84,-200,-84,-85,-83,-78,-78,-85,-80,-81,-200,-91,-84,-200,-86,-200,-90,-90,-200,-85,-200,-77,-85,-200,-200,-91,-78,-90,-200,-200,-200,-200,-88,-90,-88,-200,-86,-90,-200,-200,-200,-200,-200
